"Label (Grouping)","Census Tract 102.06, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 102.06, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 102.06, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 104.03, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 104.03, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 104.03, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 104.04, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 104.04, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 104.04, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 104.05, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 104.05, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 104.05, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 105, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 105, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 105, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 106, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 106, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 106, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 705.02, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 705.02, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 705.02, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 706, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 706, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 706, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 707, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 707, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 707, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 708.01, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 708.01, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 708.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 708.02, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 708.02, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 708.02, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 709.01, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 709.01, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 709.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 709.02, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 709.02, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 709.02, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 711.01, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 711.01, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 711.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 808.01, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 808.01, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 808.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 809, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 809, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 809, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 813.01, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 813.01, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 813.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 813.02, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 813.02, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 813.02, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 817, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 817, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 817, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 818, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 818, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 818, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 821, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 821, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 821, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 903, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 903, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 903, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 906, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 906, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 906, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 1101.05, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 1101.05, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 1101.05, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 1203.01, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 1203.01, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 1203.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    15 to 24 years","284","24.8%","-","67","25.5%","25,809","352","20.7%","-","541","45.1%","17,031","204","23.3%","18,036","237","13.5%","-","128","5.9%","-","6","0.3%","-","32","2.8%","-","15","1.0%","-","107","20.2%","-","26","1.7%","-","12","1.7%","-","88","8.8%","-","79","3.6%","-","16","2.3%","-","28","3.0%","-","34","2.5%","-","106","6.9%","26,944","84","10.5%","26,429","24","2.1%","-","362","24.1%","48,077","65","6.2%","-","66","5.8%","9,184","150","11.9%","60,250","28","2.8%","-","60","2.9%","81,100","38","2.8%","-","39","2.6%","-","13","1.0%","-","117","5.3%","-","66","3.3%","-","25","3.4%","-","67","5.9%","-","28","2.0%","-","28","3.3%","60,000","73","4.5%","77,083","63","7.5%","-","39","3.6%","-","159","7.6%","95,450","32","2.7%","-","98","4.9%","74,028","80","3.9%","92,813","0","-","-","0","0.0%","-"
"    25 to 44 years","699","60.9%","113,750","125","47.5%","76,875","794","46.7%","67,965","342","28.5%","-","226","25.8%","48,750","902","51.5%","-","1,123","52.0%","123,203","624","31.8%","-","533","46.3%","190,469","661","45.1%","165,987","305","57.4%","185,208","836","54.3%","154,744","385","53.6%","44,324","543","54.4%","226,406","955","43.5%","77,425","319","44.9%","42,461","444","47.3%","39,000","431","32.1%","40,355","450","29.5%","49,808","132","16.5%","-","411","36.0%","-","586","39.0%","98,977","234","22.3%","51,630","255","22.3%","-","357","28.4%","95,375","276","27.2%","61,731","653","31.6%","30,625","488","35.5%","22,077","444","29.0%","-","461","35.9%","67,125","719","32.7%","39,861","746","37.3%","36,667","231","31.6%","20,304","412","36.3%","40,385","490","35.3%","23,200","268","31.5%","44,688","814","49.9%","158,962","315","37.4%","39,511","379","34.9%","41,250","752","35.8%","21,505","630","53.8%","134,688","1,329","66.1%","98,460","923","44.8%","134,750","0","-","-","5","100.0%","-"
"    45 to 64 years","133","11.6%","-","47","17.9%","-","190","11.2%","49,583","224","18.7%","57,436","127","14.5%","33,125","317","18.1%","64,492","433","20.1%","-","997","50.8%","20,015","431","37.5%","207,276","458","31.3%","-","37","7.0%","-","412","26.8%","50,991","235","32.7%","23,565","240","24.0%","-","782","35.6%","75,565","259","36.4%","36,576","409","43.6%","38,403","491","36.5%","30,974","698","45.7%","45,087","397","49.6%","14,766","536","47.0%","25,625","241","16.0%","83,125","360","34.4%","35,761","313","27.3%","22,773","515","40.9%","61,615","411","40.5%","45,179","779","37.7%","29,821","554","40.3%","58,000","811","53.0%","-","520","40.5%","87,200","883","40.1%","29,748","633","31.6%","34,770","310","42.5%","46,786","492","43.3%","30,313","608","43.8%","69,706","345","40.5%","52,199","405","24.8%","51,211","348","41.3%","43,947","414","38.1%","43,846","759","36.2%","76,106","379","32.3%","108,652","375","18.7%","103,021","770","37.4%","74,569","0","-","-","0","0.0%","-"
"    65 years and over","31","2.7%","-","24","9.1%","15,500","364","21.4%","21,768","93","7.8%","99,821","320","36.5%","13,125","294","16.8%","15,978","474","22.0%","83,250","334","17.0%","14,048","154","13.4%","143,750","331","22.6%","77,823","82","15.4%","-","266","17.3%","9,422","86","12.0%","19,919","128","12.8%","-","379","17.3%","-","117","16.5%","48,542","58","6.2%","-","388","28.9%","17,024","272","17.8%","17,333","188","23.5%","11,210","170","14.9%","13,243","315","20.9%","44,261","389","37.1%","12,248","512","44.7%","22,532","237","18.8%","26,528","299","29.5%","-","572","27.7%","16,915","293","21.3%","20,901","235","15.4%","28,125","291","22.6%","51,458","482","21.9%","13,148","557","27.8%","-","164","22.5%","-","164","14.4%","32,500","262","18.9%","18,158","211","24.8%","14,085","340","20.8%","-","117","13.9%","42,232","255","23.5%","75,019","429","20.4%","23,494","131","11.2%","75,536","208","10.3%","14,405","288","14.0%","89,063","0","-","-","0","0.0%","-"
"FAMILIES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Families","218","218","-","62","62","90,333","305","305","53,177","243","243","72,656","200","200","48,051","331","331","57,202","725","725","210,391","994","994","36,667","560","560","247,250","648","648","-","95","95","-","405","405","195,954","320","320","44,713","296","296","250,000+","755","755","83,375","381","381","51,576","471","471","62,031","609","609","18,719","788","788","45,238","359","359","27,604","674","674","28,750","168","168","78,452","510","510","51,087","539","539","23,414","506","506","100,682","628","628","55,577","780","780","42,286","714","714","43,750","892","892","81,136","869","869","80,380","1,178","1,178","28,351","1,331","1,331","33,139","498","498","34,773","680","680","44,583","1,050","1,050","50,465","516","516","53,929","753","753","129,896","543","543","44,570","761","761","56,745","1,622","1,622","36,167","565","565","133,844","797","797","116,218","892","892","123,625","0","0","-","0","0","-"
"        With own children of householder under 18 years","0","0.0%","-","10","16.1%","-","45","14.8%","-","37","15.2%","-","92","46.0%","48,708","109","32.9%","62,539","95","13.1%","-","404","40.6%","20,952","192","34.3%","250,000+","119","18.4%","250,000+","17","17.9%","-","116","28.6%","248,813","156","48.8%","43,443","135","45.6%","250,000+","282","37.4%","-","200","52.5%","42,115","245","52.0%","-","337","55.3%","16,914","335","42.5%","-","151","42.1%","21,445","308","45.7%","13,340","51","30.4%","-","283","55.5%","50,231","241","44.7%","-","157","31.0%","-","160","25.5%","29,074","312","40.0%","56,083","376","52.7%","38,594","393","44.1%","-","444","51.1%","76,957","598","50.8%","35,069","561","42.1%","28,233","257","51.6%","38,906","437","64.3%","42,019","533","50.8%","33,565","166","32.2%","48,667","247","32.8%","159,489","225","41.4%","37,566","384","50.5%","44,808","897","55.3%","21,250","195","34.5%","125,893","367","46.0%","124,044","395","44.3%","105,888","0","-","-","0","-","-"
"        With no own children of householder under 18 years","218","100.0%","-","52","83.9%","91,167","260","85.2%","68,021","206","84.8%","56,859","108","54.0%","24,808","222","67.1%","-","630","86.9%","198,750","590","59.4%","103,750","368","65.7%","217,639","529","81.6%","130,972","78","82.1%","-","289","71.4%","165,694","164","51.3%","-","161","54.4%","232,188","473","62.6%","89,620","181","47.5%","54,931","226","48.0%","78,462","272","44.7%","31,136","453","57.5%","47,101","208","57.9%","34,250","366","54.3%","51,136","117","69.6%","78,155","227","44.5%","113,341","298","55.3%","23,918","349","69.0%","101,932","468","74.5%","71,500","468","60.0%","38,000","338","47.3%","54,677","499","55.9%","-","425","48.9%","97,250","580","49.2%","24,239","770","57.9%","35,833","241","48.4%","32,022","243","35.7%","50,724","517","49.2%","62,226","350","67.8%","71,429","506","67.2%","103,468","318","58.6%","62,222","377","49.5%","75,392","725","44.7%","54,243","370","65.5%","151,643","430","54.0%","115,886","497","55.7%","146,023","0","-","-","0","-","-"
"        Married-couple families","95","43.6%","-","47","75.8%","91,583","210","68.9%","69,375","171","70.4%","113,036","58","29.0%","24,038","201","60.7%","-","630","86.9%","250,000+","718","72.2%","-","536","95.7%","246,250","337","52.0%","250,000+","78","82.1%","-","368","90.9%","197,171","162","50.6%","-","272","91.9%","250,000+","414","54.8%","-","218","57.2%","77,935","201","42.7%","71,392","138","22.7%","92,368","215","27.3%","64,310","145","40.4%","-","124","18.4%","46,750","91","54.2%","128,036","239","46.9%","51,019","212","39.3%","24,227","281","55.5%","135,709","167","26.6%","-","295","37.8%","56,542","159","22.3%","-","341","38.2%","210,336","345","39.7%","116,850","351","29.8%","-","494","37.1%","-","182","36.5%","54,167","133","19.6%","31,887","523","49.8%","66,250","254","49.2%","91,250","393","52.2%","159,688","132","24.3%","85,469","300","39.4%","75,299","448","27.6%","84,022","458","81.1%","143,750","550","69.0%","127,188","579","64.9%","159,293","0","-","-","0","-","-"
"            With own children under 18 years","0","0.0%","-","10","16.1%","-","0","0.0%","-","37","15.2%","-","0","0.0%","-","67","20.2%","62,930","95","13.1%","-","194","19.5%","-","168","30.0%","250,000+","65","10.0%","250,000+","0","0.0%","-","79","19.5%","-","23","7.2%","-","135","45.6%","250,000+","107","14.2%","250,000+","99","26.0%","-","129","27.4%","-","64","10.5%","95,588","74","9.4%","93,000","78","21.7%","-","47","7.0%","34,450","37","22.0%","-","109","21.4%","-","4","0.7%","-","73","14.4%","191,688","18","2.9%","110,455","109","14.0%","94,539","77","10.8%","-","82","9.2%","159,762","159","18.3%","250,000+","179","15.2%","132,693","109","8.2%","68,558","114","22.9%","53,393","99","14.6%","31,344","292","27.8%","65,147","61","11.8%","-","143","19.0%","211,917","44","8.1%","85,375","140","18.4%","67,875","135","8.3%","-","195","34.5%","125,893","253","31.7%","153,229","254","28.5%","145,833","0","-","-","0","-","-"
"        Female householder, no spouse present","0","0.0%","-","2","3.2%","-","71","23.3%","-","67","27.6%","55,865","127","63.5%","48,563","118","35.6%","39,706","95","13.1%","2,500-","235","23.6%","-","24","4.3%","-","203","31.3%","-","0","0.0%","-","37","9.1%","-","158","49.4%","43,156","24","8.1%","-","182","24.1%","-","147","38.6%","31,594","244","51.8%","38,667","415","68.1%","15,350","426","54.1%","45,198","196","54.6%","26,379","530","78.6%","-","46","27.4%","49,800","230","45.1%","-","295","54.7%","-","173","34.2%","36,116","398","63.4%","56,154","397","50.9%","35,417","468","65.5%","-","496","55.6%","37,759","414","47.6%","-","745","63.2%","24,493","682","51.2%","33,452","278","55.8%","21,852","380","55.9%","31,706","510","48.6%","27,353","174","33.7%","50,345","247","32.8%","-","311","57.3%","32,154","416","54.7%","40,300","980","60.4%","23,026","72","12.7%","76,548","153","19.2%","46,932","231","25.9%","-","0","-","-","0","-","-"
"            With own children under 18 years","0","0.0%","-","0","0.0%","-","45","14.8%","-","0","0.0%","-","83","41.5%","48,521","42","12.7%","-","0","0.0%","-","188","18.9%","-","24","4.3%","-","54","8.3%","-","0","0.0%","-","37","9.1%","-","133","41.6%","42,971","0","0.0%","-","59","7.8%","-","101","26.5%","31,156","116","24.6%","-","259","42.5%","13,902","203","25.8%","23,802","73","20.3%","-","251","37.2%","12,750","14","8.3%","-","133","26.1%","-","237","44.0%","-","68","13.4%","37,232","138","22.0%","-","161","20.6%","35,917","275","38.5%","-","267","29.9%","17,390","231","26.6%","20,250","419","35.6%","22,712","430","32.3%","25,109","128","25.7%","-","178","26.2%","30,769","241","23.0%","19,369","70","13.6%","42,917","54","7.2%","-","168","30.9%","31,489","232","30.5%","40,100","651","40.1%","20,363","0","0.0%","-","62","7.8%","77,708","86","9.6%","-","0","-","-","0","-","-"
"        Male householder, no spouse present","123","56.4%","-","13","21.0%","-","24","7.9%","-","5","2.1%","-","15","7.5%","-","12","3.6%","-","0","0.0%","-","41","4.1%","-","0","0.0%","-","108","16.7%","-","17","17.9%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","159","21.1%","76,713","16","4.2%","-","26","5.5%","-","56","9.2%","53,571","147","18.7%","17,196","18","5.0%","-","20","3.0%","-","31","18.5%","-","41","8.0%","-","32","5.9%","-","52","10.3%","138,125","63","10.0%","65,550","88","11.3%","-","87","12.2%","-","55","6.2%","31,858","110","12.7%","158,241","82","7.0%","-","155","11.6%","73,144","38","7.6%","101,875","167","24.6%","77,681","17","1.6%","-","88","17.1%","54,821","113","15.0%","77,083","100","18.4%","-","45","5.9%","102,188","194","12.0%","33,696","35","6.2%","-","94","11.8%","85,568","82","9.2%","58,148","0","-","-","0","-","-"
"            With own children under 18 years","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","9","4.5%","-","0","0.0%","-","0","0.0%","-","22","2.2%","-","0","0.0%","-","0","0.0%","-","17","17.9%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","116","15.4%","-","0","0.0%","-","0","0.0%","-","14","2.3%","-","58","7.4%","-","0","0.0%","-","10","1.5%","-","0","0.0%","-","41","8.0%","-","0","0.0%","-","16","3.2%","-","4","0.6%","-","42","5.4%","-","24","3.4%","-","44","4.9%","-","54","6.2%","-","0","0.0%","-","22","1.7%","11,346","15","3.0%","-","160","23.5%","77,540","0","0.0%","-","35","6.8%","43,125","50","6.6%","92,917","13","2.4%","-","12","1.6%","-","111","6.8%","-","0","0.0%","-","52","6.5%","-","55","6.2%","-","0","-","-","0","-","-"
"FAMILY INCOME BY FAMILY SIZE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2-person families","218","100.0%","-","52","83.9%","91,167","212","69.5%","69,271","152","62.6%","73,125","105","52.5%","27,981","218","65.9%","-","617","85.1%","198,381","479","48.2%","113,542","283","50.5%","245,792","478","73.8%","-","95","100.0%","-","313","77.3%","159,063","171","53.4%","57,132","161","54.4%","232,188","580","76.8%","76,750","128","33.6%","-","198","42.0%","40,375","302","49.6%","-","424","53.8%","35,741","121","33.7%","26,042","301","44.7%","-","89","53.0%","-","159","31.2%","-","325","60.3%","24,487","273","54.0%","60,917","237","37.7%","48,899","412","52.8%","39,000","399","55.9%","32,083","326","36.5%","53,971","266","30.6%","60,833","579","49.2%","20,800","313","23.5%","26,827","111","22.3%","42,019","249","36.6%","58,424","308","29.3%","19,136","161","31.2%","-","349","46.3%","69,375","138","25.4%","-","274","36.0%","51,058","657","40.5%","-","325","57.5%","152,036","486","61.0%","112,250","489","54.8%","123,533","0","-","-","0","-","-"
"    3-person families","0","0.0%","-","0","0.0%","-","93","30.5%","-","83","34.2%","-","15","7.5%","-","58","17.5%","55,119","85","11.7%","-","239","24.0%","-","124","22.1%","250,000+","112","17.3%","-","0","0.0%","-","53","13.1%","248,969","96","30.0%","43,033","130","43.9%","250,000+","114","15.1%","-","76","19.9%","52,639","178","37.8%","84,758","137","22.5%","-","159","20.2%","34,271","109","30.4%","26,908","175","26.0%","-","79","47.0%","78,631","230","45.1%","45,761","210","39.0%","-","200","39.5%","137,656","203","32.3%","85,916","126","16.2%","-","98","13.7%","-","446","50.0%","-","276","31.8%","-","255","21.6%","38,194","568","42.7%","27,045","149","29.9%","-","256","37.6%","31,844","246","23.4%","61,159","127","24.6%","83,125","219","29.1%","159,148","187","34.4%","44,023","275","36.1%","59,464","385","23.7%","-","138","24.4%","108,088","184","23.1%","230,833","215","24.1%","123,309","0","-","-","0","-","-"
"    4-person families","0","0.0%","-","10","16.1%","-","0","0.0%","-","8","3.3%","-","65","32.5%","-","55","16.6%","64,648","23","3.2%","-","125","12.6%","37,825","96","17.1%","250,000+","33","5.1%","250,000+","0","0.0%","-","39","9.6%","-","53","16.6%","-","0","0.0%","-","61","8.1%","-","115","30.2%","51,033","55","11.7%","-","132","21.7%","-","99","12.6%","51,597","64","17.8%","-","126","18.7%","-","0","0.0%","-","106","20.8%","-","0","0.0%","-","17","3.4%","-","98","15.6%","35,000","149","19.1%","55,625","182","25.5%","117,560","36","4.0%","157,976","140","16.1%","158,102","198","16.8%","132,938","288","21.6%","53,088","80","16.1%","21,019","67","9.9%","32,159","326","31.0%","77,798","129","25.0%","77,875","158","21.0%","203,462","142","26.2%","46,528","114","15.0%","63,077","399","24.6%","-","70","12.4%","-","68","8.5%","-","111","12.4%","148,456","0","-","-","0","-","-"
"    5-person families","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","15","7.5%","-","0","0.0%","-","0","0.0%","-","94","9.5%","-","57","10.2%","-","25","3.9%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","5","1.7%","-","0","0.0%","-","16","4.2%","-","15","3.2%","-","38","6.2%","-","53","6.7%","-","65","18.1%","-","15","2.2%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","40","6.4%","-","31","4.0%","-","35","4.9%","-","73","8.2%","-","138","15.9%","250,000+","47","4.0%","-","96","7.2%","110,595","68","13.7%","-","73","10.7%","62,243","64","6.1%","-","73","14.1%","51,550","11","1.5%","-","28","5.2%","40,357","33","4.3%","-","105","6.5%","-","32","5.7%","-","38","4.8%","-","77","8.6%","118,906","0","-","-","0","-","-"
"    6-person families","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","57","5.7%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","30","7.9%","-","25","5.3%","-","0","0.0%","-","28","3.6%","-","0","0.0%","-","53","7.9%","-","0","0.0%","-","15","2.9%","-","4","0.7%","-","0","0.0%","-","11","1.8%","-","19","2.4%","-","0","0.0%","-","4","0.4%","-","25","2.9%","-","34","2.9%","-","66","5.0%","-","42","8.4%","-","18","2.6%","-","94","9.0%","86,786","19","3.7%","-","16","2.1%","-","18","3.3%","-","25","3.3%","163,942","76","4.7%","-","0","0.0%","-","21","2.6%","-","0","0.0%","-","0","-","-","0","-","-"
"    7-or-more person families","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","16","4.2%","-","0","0.0%","-","0","0.0%","-","25","3.2%","-","0","0.0%","-","4","0.6%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","16","3.2%","-","39","6.2%","-","43","5.5%","-","0","0.0%","-","7","0.8%","-","24","2.8%","-","65","5.5%","-","0","0.0%","-","48","9.6%","-","17","2.5%","-","12","1.1%","-","7","1.4%","-","0","0.0%","-","30","5.5%","79,583","40","5.3%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","-","-","0","-","-"
