"Label (Grouping)","Census Tract 103, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 104.03, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 104.03, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 104.04, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 104.04, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 104.05, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 104.05, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 105, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 105, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 106, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 106, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 706, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 706, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 707, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 707, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 711.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 711.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 808.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 808.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 809, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 809, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 817, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 817, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 818, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 818, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 821, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 821, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 903, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 903, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 906, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 906, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 1203.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 1203.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate"
"Hispanic or Latino origin (of any race)","22.7%","33,068","15.9%","(X)","16.0%","2,500-","13.8%","51,786","13.2%","25,045","2.6%","(X)","4.0%","(X)","5.4%","46,250","14.4%","16,388","26.0%","25,486","31.8%","17,224","33.7%","14,196","46.0%","22,636","24.3%","12,107","45.0%","23,125","4.5%","60,625","11.3%","27,237","24.7%","21,786","13.4%","(X)","26.3%","21,467","24.6%","(X)","18.8%","17,383","32.9%","11,809","20.0%","(X)","36.7%","23,090","25.9%","11,555","32.3%","(X)","22.1%","34,803","11.2%","(X)","27.3%","26,985","30.1%","25,284","29.4%","18,190","30.3%","18,229","29.2%","39,100","-","-","19.0%","-"
"White alone, not Hispanic or Latino","48.3%","46,786","53.4%","54,191","46.9%","17,192","61.0%","20,972","58.1%","58,333","72.7%","119,541","87.9%","125,625","61.1%","149,167","49.8%","133,417","17.7%","(X)","3.4%","(X)","8.5%","98,611","8.4%","29,063","13.6%","52,569","4.4%","(X)","69.6%","54,597","26.1%","66,953","14.7%","58,942","4.7%","71,705","2.0%","41,375","0.5%","-","1.5%","-","3.1%","(X)","3.7%","(X)","0.7%","-","2.5%","-","3.3%","(X)","7.5%","18,854","57.6%","66,856","12.0%","51,042","10.2%","(X)","0.5%","-","61.0%","78,814","49.6%","106,912","-","-","20.8%","110,729"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    15 to 24 years","7.3%","(X)","19.7%","3,508","54.6%","(X)","24.6%","(X)","16.6%","16,250","5.4%","(X)","1.2%","-","4.8%","(X)","2.9%","(X)","6.1%","(X)","11.5%","(X)","3.3%","7,721","5.5%","29,609","17.5%","5,924","7.6%","(X)","28.2%","(X)","17.0%","31,080","3.8%","(X)","2.1%","-","6.1%","(X)","2.3%","(X)","1.9%","-","4.9%","19,779","5.8%","(X)","5.7%","(X)","5.6%","(X)","3.9%","(X)","0.8%","-","8.4%","(X)","6.0%","(X)","3.8%","(X)","9.2%","31,167","4.6%","(X)","1.8%","(X)","-","-","6.5%","(X)"
"    25 to 44 years","61.5%","(X)","38.4%","105,518","25.9%","(X)","20.0%","(X)","51.0%","63,149","43.2%","(X)","61.3%","104,899","45.4%","(X)","56.5%","(X)","40.7%","(X)","42.3%","(X)","38.4%","52,411","40.3%","21,429","30.2%","27,609","27.9%","(X)","32.2%","(X)","31.9%","50,766","35.5%","(X)","32.1%","36,425","38.4%","(X)","34.7%","(X)","28.8%","30,463","37.5%","12,262","42.4%","(X)","45.6%","(X)","35.9%","(X)","31.8%","(X)","44.6%","37,125","39.0%","(X)","44.8%","(X)","25.2%","(X)","30.2%","35,171","52.9%","(X)","45.2%","(X)","-","-","30.4%","(X)"
"    45 to 64 years","21.0%","(X)","26.6%","43,618","11.2%","(X)","23.4%","(X)","15.5%","27,227","25.6%","(X)","29.4%","160,114","35.3%","(X)","23.4%","(X)","42.7%","(X)","32.6%","(X)","38.3%","25,500","43.5%","23,304","36.6%","24,405","51.3%","(X)","22.6%","(X)","32.9%","45,000","42.8%","(X)","40.1%","33,333","35.3%","(X)","46.6%","(X)","37.8%","37,639","35.3%","26,667","33.2%","(X)","33.5%","(X)","45.2%","(X)","44.8%","(X)","42.2%","58,750","36.9%","(X)","29.7%","(X)","53.0%","(X)","45.9%","33,750","29.5%","(X)","38.0%","(X)","-","-","53.0%","(X)"
"    65 years and over","10.1%","(X)","15.2%","10,883","8.3%","(X)","32.1%","(X)","16.9%","15,029","25.8%","(X)","8.1%","131,667","14.5%","(X)","17.2%","(X)","10.5%","(X)","13.6%","(X)","19.9%","10,600","10.6%","16,250","15.7%","11,295","13.2%","(X)","17.0%","(X)","18.2%","21,014","17.9%","(X)","25.6%","15,703","20.2%","(X)","16.3%","(X)","31.5%","18,083","22.3%","12,933","18.5%","(X)","15.2%","(X)","13.3%","(X)","19.5%","(X)","12.3%","16,917","15.6%","(X)","19.5%","(X)","18.1%","(X)","14.7%","25,813","13.1%","(X)","14.9%","(X)","-","-","10.1%","(X)"
"FAMILIES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Families","72","33,182","279","129,583","184","59,423","158","42,000","322","48,163","768","201,591","453","248,854","659","105,795","580","(X)","362","30,400","475","28,651","756","41,563","820","24,315","440","22,543","638","31,121","375","73,125","534","36,042","465","39,583","770","32,083","778","35,444","848","29,167","674","46,579","1,237","15,043","1,098","32,976","587","25,506","906","31,007","932","38,112","536","40,833","710","51,212","537","36,989","592","47,935","1,296","36,312","787","76,250","1,053","83,237","0","-","140","31,875"
"        With own children of householder under 18 years","22.2%","34,091","18.6%","(X)","20.1%","(X)","27.8%","(X)","40.4%","48,980","15.5%","(X)","43.0%","250,000+","34.7%","(X)","34.7%","(X)","48.6%","21,413","43.6%","27,083","57.8%","(X)","55.1%","22,864","53.9%","17,318","41.7%","26,563","34.4%","110,885","51.5%","(X)","51.8%","39,306","50.6%","(X)","60.0%","(X)","60.1%","(X)","35.6%","32,315","62.1%","11,365","55.4%","30,523","60.6%","24,628","61.5%","22,390","50.2%","32,177","55.8%","33,393","53.7%","39,132","51.0%","25,441","48.3%","42,708","53.3%","31,474","42.3%","52,679","38.3%","109,375","-","-","44.3%","(X)"
"        With no own children of householder under 18 years","77.8%","26,731","81.4%","(X)","79.9%","(X)","72.2%","(X)","59.6%","40,682","84.5%","(X)","57.0%","223,750","65.3%","(X)","65.3%","(X)","51.4%","41,591","56.4%","29,231","42.2%","(X)","44.9%","35,417","46.1%","35,625","58.3%","35,000","65.6%","70,238","48.5%","(X)","48.2%","40,192","49.4%","(X)","40.0%","(X)","39.9%","(X)","64.4%","52,330","37.9%","20,332","44.6%","46,111","39.4%","25,923","38.5%","52,375","49.8%","44,861","44.2%","52,917","46.3%","60,804","49.0%","53,125","51.7%","53,194","46.7%","44,223","57.7%","86,146","61.7%","66,389","-","-","55.7%","(X)"
"        Married-couple families","61.1%","(X)","61.6%","(X)","67.4%","(X)","85.4%","(X)","78.6%","(X)","82.8%","(X)","96.5%","250,000+","72.7%","(X)","63.8%","(X)","18.0%","(X)","28.6%","(X)","21.6%","(X)","21.2%","(X)","18.4%","(X)","25.4%","(X)","75.5%","(X)","49.4%","77,813","36.3%","84,083","25.5%","(X)","36.1%","61,250","30.5%","(X)","35.3%","65,132","11.6%","(X)","19.1%","(X)","29.8%","(X)","12.5%","(X)","29.9%","(X)","38.4%","(X)","78.7%","(X)","41.0%","(X)","29.1%","(X)","24.0%","(X)","64.0%","(X)","65.0%","(X)","-","-","37.1%","(X)"
"        Female householder, no husband present","23.6%","(X)","29.7%","(X)","21.7%","(X)","5.7%","(X)","11.2%","(X)","16.1%","(X)","1.1%","-","22.2%","(X)","30.3%","(X)","55.2%","(X)","53.5%","(X)","69.3%","(X)","62.2%","(X)","67.3%","(X)","67.1%","(X)","16.5%","(X)","38.6%","21,389","44.9%","27,292","54.0%","(X)","62.9%","26,313","60.5%","(X)","50.6%","37,760","80.1%","(X)","62.7%","(X)","52.0%","(X)","73.5%","(X)","65.3%","(X)","55.0%","(X)","14.6%","(X)","47.7%","(X)","56.1%","(X)","64.5%","(X)","29.2%","(X)","26.7%","(X)","-","-","62.9%","(X)"
"        Male householder, no wife present","15.3%","(X)","8.6%","(X)","10.9%","(X)","8.9%","(X)","10.2%","(X)","1.0%","(X)","2.4%","-","5.2%","(X)","5.9%","(X)","26.8%","(X)","17.9%","(X)","9.1%","(X)","16.6%","(X)","14.3%","(X)","7.5%","(X)","8.0%","(X)","12.0%","31,591","18.7%","23,194","20.5%","(X)","1.0%","-","9.0%","(X)","14.1%","46,193","8.3%","(X)","18.2%","(X)","18.2%","(X)","14.0%","(X)","4.7%","(X)","6.5%","(X)","6.6%","(X)","11.4%","(X)","14.9%","(X)","11.5%","(X)","6.7%","(X)","8.4%","(X)","-","-","0.0%","(X)"
"NONFAMILY HOUSEHOLDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Nonfamily households","214","41,477","1,571","19,007","1,219","16,754","709","14,432","1,354","41,765","1,230","65,000","808","90,294","702","72,000","1,516","38,389","331","31,042","326","21,714","590","14,826","534","16,196","494","10,804","279","12,083","1,074","45,583","706","42,542","385","25,852","720","28,083","601","20,137","565","16,972","486","12,394","893","18,173","709","14,232","227","22,232","358","12,264","292","12,826","201","34,276","1,112","51,607","274","21,607","322","19,375","733","15,657","961","41,484","943","61,932","0","-","28","(X)"
"        Female householder","45.8%","(X)","49.6%","(X)","48.2%","(X)","43.3%","12,224","61.2%","(X)","66.5%","(X)","38.9%","(X)","54.3%","(X)","41.2%","(X)","38.4%","(X)","58.0%","(X)","51.5%","(X)","47.9%","(X)","42.3%","30,069","57.3%","(X)","38.5%","(X)","49.6%","38,889","48.3%","(X)","59.0%","(X)","47.1%","21,151","55.6%","(X)","67.5%","(X)","53.8%","14,615","58.0%","(X)","52.4%","(X)","55.3%","(X)","74.0%","(X)","50.2%","(X)","33.9%","31,080","49.3%","(X)","44.1%","(X)","55.7%","(X)","52.1%","(X)","39.2%","(X)","-","-","100.0%","(X)"
"            Living alone","34.6%","(X)","42.3%","(X)","21.6%","(X)","30.3%","11,487","44.3%","(X)","61.4%","(X)","36.9%","(X)","38.7%","(X)","32.4%","(X)","36.6%","(X)","43.3%","(X)","46.1%","(X)","43.4%","(X)","38.3%","29,732","43.4%","(X)","20.2%","(X)","37.1%","36,667","40.0%","(X)","56.0%","(X)","43.8%","21,042","52.2%","(X)","67.5%","(X)","47.7%","12,885","51.9%","(X)","34.8%","(X)","55.3%","(X)","62.3%","(X)","43.8%","(X)","26.7%","22,721","37.2%","(X)","42.5%","(X)","47.5%","(X)","30.5%","(X)","22.9%","(X)","-","-","82.1%","(X)"
"            Not living alone","11.2%","(X)","7.3%","(X)","26.6%","(X)","13.0%","38,958","16.9%","(X)","5.1%","(X)","2.0%","(X)","15.5%","(X)","8.8%","(X)","1.8%","(X)","14.7%","(X)","5.4%","(X)","4.5%","(X)","4.0%","30,625","14.0%","(X)","18.3%","(X)","12.5%","62,250","8.3%","(X)","3.1%","(X)","3.3%","-","3.4%","(X)","0.0%","(X)","6.0%","165,676","6.1%","(X)","17.6%","(X)","0.0%","(X)","11.6%","(X)","6.5%","(X)","7.2%","106,618","12.0%","(X)","1.6%","(X)","8.2%","(X)","21.6%","(X)","16.3%","(X)","-","-","17.9%","(X)"
"        Male householder","54.2%","(X)","50.4%","(X)","51.8%","(X)","56.7%","19,286","38.8%","(X)","33.5%","(X)","61.1%","(X)","45.7%","(X)","58.8%","(X)","61.6%","(X)","42.0%","(X)","48.5%","(X)","52.1%","(X)","57.7%","6,850","42.7%","(X)","61.5%","(X)","50.4%","43,750","51.7%","(X)","41.0%","(X)","52.9%","14,167","44.4%","(X)","32.5%","(X)","46.2%","24,554","42.0%","(X)","47.6%","(X)","44.7%","(X)","26.0%","(X)","49.8%","(X)","66.1%","65,250","50.7%","(X)","55.9%","(X)","44.3%","(X)","47.9%","(X)","60.8%","(X)","-","-","0.0%","(X)"
"            Living alone","50.0%","(X)","38.1%","(X)","29.6%","(X)","39.4%","13,405","28.7%","(X)","28.7%","(X)","45.9%","(X)","26.2%","(X)","34.4%","(X)","42.6%","(X)","40.2%","(X)","48.5%","(X)","45.5%","(X)","43.7%","9,500","31.9%","(X)","28.7%","(X)","32.4%","31,295","35.8%","(X)","36.3%","(X)","45.9%","12,917","30.8%","(X)","21.6%","(X)","43.8%","23,899","39.2%","(X)","33.5%","(X)","44.7%","(X)","20.5%","(X)","33.8%","(X)","33.5%","33,750","27.7%","(X)","48.4%","(X)","38.6%","(X)","33.0%","(X)","30.1%","(X)","-","-","0.0%","(X)"
