"Label (Grouping)","Census Tract 103, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 104.03, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 104.03, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 104.03, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 104.04, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 104.04, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 104.04, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 104.05, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 104.05, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 104.05, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 105, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 105, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 105, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 106, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 106, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 106, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 706, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 706, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 706, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 707, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 707, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 707, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 711.01, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 711.01, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 711.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 808.01, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 808.01, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 808.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 809, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 809, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 809, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 817, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 817, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 817, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 818, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 818, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 818, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 821, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 821, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 821, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 903, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 903, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 903, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 906, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 906, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 906, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 1203.01, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 1203.01, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 1203.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate"
"        White alone, not Hispanic or Latino","140","52.0%","44,875","1,012","52.9%","47,500","598","48.2%","46,923","345","41.6%","21,685","968","63.1%","100,208","1,330","63.6%","111,389","955","83.9%","185,809","903","65.4%","165,347","1,116","52.6%","123,315","156","21.4%","20,119","57","6.5%","47,125","158","11.5%","81,346","100","7.3%","60,870","87","9.9%","-","72","6.7%","12,143","883","59.9%","59,742","392","32.0%","88,269","151","15.8%","96,458","76","4.5%","-","100","7.3%","-","41","2.8%","-","26","2.1%","-","181","8.1%","-","77","4.2%","104,886","6","0.8%","-","49","4.1%","-","21","1.6%","-","36","4.5%","-","1,198","68.8%","82,000","78","9.4%","53,529","61","6.2%","-","0","0.0%","-","999","54.6%","108,194","996","49.1%","115,588","0","-","-","37","31.9%","117,614"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    15 to 24 years","34","12.6%","23,750","355","18.6%","-","593","47.8%","12,589","230","27.7%","21,500","242","15.8%","-","96","4.6%","2,500-","33","2.9%","-","27","2.0%","60,250","66","3.1%","-","13","1.8%","-","35","4.0%","-","30","2.2%","-","89","6.5%","26,705","108","12.3%","20,250","29","2.7%","-","393","26.7%","46,063","150","12.3%","70,750","31","3.3%","38,618","79","4.6%","-","33","2.4%","-","46","3.2%","-","35","2.8%","-","70","3.1%","-","96","5.3%","-","29","3.7%","25,972","70","5.8%","-","46","3.5%","-","32","4.0%","-","77","4.4%","91,146","85","10.3%","54,659","43","4.4%","-","162","7.8%","-","130","7.1%","72,672","89","4.4%","-","0","-","-","0","0.0%","-"
"    25 to 44 years","137","50.9%","54,196","825","43.1%","87,750","296","23.9%","57,604","132","15.9%","70,833","744","48.5%","102,500","1,090","52.2%","106,977","590","51.8%","187,750","672","48.7%","166,556","959","45.2%","105,540","355","48.8%","40,670","353","40.3%","41,652","506","36.7%","39,926","517","37.5%","33,628","175","19.9%","25,774","319","29.9%","-","540","36.7%","86,857","394","32.2%","-","335","35.2%","48,229","626","36.8%","32,302","566","41.3%","31,615","460","32.0%","-","494","39.8%","43,214","709","31.9%","36,899","766","42.0%","37,778","284","35.9%","25,000","455","37.6%","32,242","418","31.5%","21,511","271","33.8%","44,375","773","44.4%","136,063","262","31.7%","40,938","292","29.6%","36,571","716","34.3%","22,225","977","53.4%","108,750","893","44.0%","115,221","0","-","-","42","36.2%","44,231"
"    45 to 64 years","64","23.8%","-","347","18.1%","31,115","267","21.5%","55,609","143","17.2%","26,094","249","16.2%","73,750","433","20.7%","192,875","330","29.0%","174,167","405","29.3%","134,336","827","39.0%","49,438","258","35.4%","30,278","404","46.1%","-","504","36.5%","-","531","38.6%","-","399","45.4%","19,180","541","50.7%","32,806","282","19.1%","59,904","437","35.7%","74,583","382","40.1%","34,917","519","30.5%","-","506","36.9%","38,409","677","47.0%","30,596","368","29.6%","-","983","44.2%","40,396","606","33.3%","34,776","285","36.0%","31,895","485","40.1%","-","636","48.0%","71,875","383","47.8%","51,621","475","27.3%","48,274","303","36.7%","-","446","45.3%","53,929","739","35.4%","59,083","486","26.6%","78,088","786","38.7%","89,000","0","-","-","51","44.0%","-"
"    65 years and over","34","12.6%","20,000","385","20.1%","20,270","85","6.8%","-","325","39.2%","13,708","299","19.5%","16,181","471","22.5%","-","185","16.3%","145,924","276","20.0%","75,700","271","12.8%","-","102","14.0%","-","85","9.7%","-","339","24.6%","15,438","240","17.4%","16,471","197","22.4%","11,761","179","16.8%","11,771","258","17.5%","41,875","243","19.9%","26,007","205","21.5%","30,511","478","28.1%","25,227","267","19.5%","12,992","256","17.8%","28,750","345","27.8%","37,417","461","20.7%","12,555","354","19.4%","31,974","193","24.4%","22,250","199","16.5%","32,902","225","17.0%","-","116","14.5%","21,111","416","23.9%","14,231","176","21.3%","41,667","204","20.7%","43,571","468","22.4%","31,389","236","12.9%","21,250","262","12.9%","54,091","0","-","-","23","19.8%","-"
"FAMILIES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Families","49","49","70,625","354","354","54,900","235","235","55,929","157","157","26,719","382","382","62,759","716","716","216,500","550","550","240,500","620","620","200,221","649","649","83,945","388","388","42,500","522","522","49,091","723","723","26,477","818","818","42,813","389","389","28,417","655","655","31,992","191","191","74,297","564","564","79,773","630","630","37,981","863","863","42,470","666","666","38,611","855","855","35,036","798","798","52,750","1,201","1,201","22,938","1,077","1,077","45,307","502","502","33,529","682","682","31,464","897","897","47,344","532","532","52,800","700","700","77,866","509","509","42,409","668","668","54,286","1,539","1,539","34,604","780","780","113,424","975","975","106,709","0","0","-","88","88","44,038"
"        With own children of householder under 18 years","4","8.2%","-","0","0.0%","-","27","11.5%","-","34","21.7%","46,111","131","34.3%","63,405","69","9.6%","-","161","29.3%","250,000+","150","24.2%","-","311","47.9%","-","218","56.2%","35,769","240","46.0%","42,500","444","61.4%","18,214","366","44.7%","43,190","168","43.2%","-","192","29.3%","-","50","26.2%","-","232","41.1%","42,143","262","41.6%","-","357","41.4%","43,843","423","63.5%","31,033","457","53.5%","28,274","425","53.3%","33,301","573","47.7%","-","525","48.7%","27,279","269","53.6%","31,920","428","62.8%","31,157","435","48.5%","27,730","226","42.5%","43,516","183","26.1%","74,293","195","38.3%","32,917","333","49.9%","42,625","823","53.5%","23,398","346","44.4%","101,250","432","44.3%","105,909","0","-","-","41","46.6%","34,271"
"        With no own children of householder under 18 years","45","91.8%","71,125","354","100.0%","54,900","208","88.5%","56,218","123","78.3%","22,604","251","65.7%","-","647","90.4%","245,694","389","70.7%","204,893","470","75.8%","194,583","338","52.1%","111,111","170","43.8%","54,205","282","54.0%","69,643","279","38.6%","-","452","55.3%","37,232","221","56.8%","34,659","463","70.7%","33,980","141","73.8%","74,453","332","58.9%","96,875","368","58.4%","56,094","506","58.6%","40,625","243","36.5%","81,150","398","46.5%","43,333","373","46.7%","56,458","628","52.3%","23,250","552","51.3%","74,224","233","46.4%","34,485","254","37.2%","33,125","462","51.5%","83,770","306","57.5%","82,969","517","73.9%","78,262","314","61.7%","49,722","335","50.1%","68,173","716","46.5%","46,975","434","55.6%","114,076","543","55.7%","107,361","0","-","-","47","53.4%","-"
"        Married-couple families","37","75.5%","-","233","65.8%","91,058","147","62.6%","110,469","80","51.0%","23,542","249","65.2%","86,607","570","79.6%","250,000+","550","100.0%","240,500","411","66.3%","250,000+","380","58.6%","152,344","157","40.5%","52,557","202","38.7%","70,100","158","21.9%","91,625","215","26.3%","63,583","102","26.2%","79,333","147","22.4%","44,688","112","58.6%","114,722","298","52.8%","112,384","187","29.7%","-","279","32.3%","56,625","196","29.4%","-","206","24.1%","155,815","350","43.9%","72,500","213","17.7%","-","253","23.5%","69,196","176","35.1%","46,250","133","19.5%","31,742","346","38.6%","78,542","218","41.0%","96,923","358","51.1%","102,697","166","32.6%","60,313","250","37.4%","66,310","401","26.1%","83,048","560","71.8%","125,750","578","59.3%","129,688","0","-","-","35","39.8%","117,841"
"            With own children under 18 years","4","8.2%","-","0","0.0%","-","17","7.2%","-","0","0.0%","-","88","23.0%","63,707","28","3.9%","-","161","29.3%","250,000+","88","14.2%","250,000+","114","17.6%","250,000+","74","19.1%","46,146","80","15.3%","-","86","11.9%","-","119","14.5%","92,703","48","12.3%","-","45","6.9%","44,063","34","17.8%","-","82","14.5%","161,250","44","7.0%","-","100","11.6%","92,321","110","16.5%","-","116","13.6%","-","105","13.2%","84,583","85","7.1%","49,543","124","11.5%","67,679","114","22.7%","-","97","14.2%","31,276","235","26.2%","49,653","94","17.7%","51,429","54","7.7%","133,889","35","6.9%","61,094","153","22.9%","66,771","159","10.3%","-","229","29.4%","146,012","297","30.5%","150,021","0","-","-","4","4.5%","-"
"        Female householder, no spouse present","2","4.1%","-","73","20.6%","6,250","82","34.9%","55,449","49","31.2%","-","122","31.9%","39,762","146","20.4%","-","0","0.0%","-","209","33.7%","-","126","19.4%","46,397","207","53.4%","28,843","304","58.2%","43,021","494","68.3%","13,621","449","54.9%","43,491","248","63.8%","26,190","463","70.7%","30,820","37","19.4%","-","216","38.3%","27,394","327","51.9%","29,958","451","52.3%","41,292","433","65.0%","31,359","548","64.1%","26,042","338","42.4%","26,026","812","67.6%","22,076","657","61.0%","32,819","256","51.0%","26,875","372","54.5%","30,375","521","58.1%","31,685","221","41.5%","49,904","216","30.9%","-","293","57.6%","37,159","342","51.2%","36,538","958","62.2%","30,000","162","20.8%","46,833","349","35.8%","-","0","-","-","49","55.7%","32,604"
"            With own children under 18 years","0","0.0%","-","0","0.0%","-","10","4.3%","-","14","8.9%","-","43","11.3%","-","41","5.7%","-","0","0.0%","-","62","10.0%","31,026","73","11.2%","-","144","37.1%","28,519","160","30.7%","40,893","342","47.3%","12,000","237","29.0%","20,139","120","30.8%","-","136","20.8%","8,088","16","8.4%","-","134","23.8%","26,875","167","26.5%","-","214","24.8%","36,379","286","42.9%","21,306","263","30.8%","17,128","244","30.6%","18,950","423","35.2%","-","379","35.2%","21,360","114","22.7%","30,658","170","24.9%","30,119","200","22.3%","19,315","98","18.4%","34,231","73","10.4%","-","147","28.9%","31,549","146","21.9%","26,429","600","39.0%","20,600","73","9.4%","77,574","98","10.1%","102,880","0","-","-","37","42.0%","33,854"
"        Male householder, no spouse present","10","20.4%","-","48","13.6%","53,400","6","2.6%","-","28","17.8%","38,654","11","2.9%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","143","22.0%","76,442","24","6.2%","89,808","16","3.1%","-","71","9.8%","-","154","18.8%","21,707","39","10.0%","49,013","45","6.9%","-","42","22.0%","-","50","8.9%","138,281","116","18.4%","-","133","15.4%","-","37","5.6%","-","101","11.8%","31,076","110","13.8%","-","176","14.7%","-","167","15.5%","84,946","70","13.9%","98,047","177","26.0%","55,650","30","3.3%","-","93","17.5%","64,125","126","18.0%","82,500","50","9.8%","60,769","76","11.4%","78,571","180","11.7%","45,294","58","7.4%","-","48","4.9%","-","0","-","-","4","4.5%","-"
"            With own children under 18 years","0","0.0%","-","0","0.0%","-","0","0.0%","-","20","12.7%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","124","19.1%","-","0","0.0%","-","0","0.0%","-","16","2.2%","-","10","1.2%","-","0","0.0%","-","11","1.7%","-","0","0.0%","-","16","2.8%","-","51","8.1%","-","43","5.0%","-","27","4.1%","-","78","9.1%","-","76","9.5%","-","65","5.4%","-","22","2.0%","13,750","41","8.2%","98,398","161","23.6%","-","0","0.0%","-","34","6.4%","42,679","56","8.0%","90,536","13","2.6%","-","34","5.1%","-","64","4.2%","-","44","5.6%","-","37","3.8%","-","0","-","-","0","0.0%","-"
"FAMILY INCOME BY FAMILY SIZE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2-person families","45","91.8%","71,125","303","85.6%","68,277","151","64.3%","49,402","145","92.4%","26,406","244","63.9%","-","663","92.6%","208,618","291","52.9%","241,750","418","67.4%","194,028","462","71.2%","77,273","123","31.7%","28,843","188","36.0%","46,875","295","40.8%","-","377","46.1%","26,563","171","44.0%","27,176","253","38.6%","21,250","133","69.6%","85,179","338","59.9%","55,500","280","44.4%","46,667","469","54.3%","37,566","299","44.9%","37,526","391","45.7%","28,950","306","38.3%","37,857","591","49.2%","19,413","316","29.3%","35,250","169","33.7%","41,979","260","38.1%","31,123","257","28.7%","22,473","110","20.7%","48,571","403","57.6%","64,223","136","26.7%","40,938","241","36.1%","45,568","632","41.1%","33,409","475","60.9%","112,527","515","52.8%","103,342","0","-","-","59","67.0%","63,646"
"    3-person families","0","0.0%","-","51","14.4%","-","76","32.3%","-","7","4.5%","-","83","21.7%","53,693","53","7.4%","250,000+","113","20.5%","204,250","126","20.3%","-","122","18.8%","-","141","36.3%","47,768","236","45.2%","71,600","251","34.7%","51,016","211","25.8%","44,957","139","35.7%","26,359","202","30.8%","33,750","47","24.6%","-","154","27.3%","111,512","120","19.0%","63,043","140","16.2%","-","111","16.7%","-","268","31.3%","36,571","241","30.2%","-","289","24.1%","-","305","28.3%","44,063","129","25.7%","7,938","213","31.2%","32,019","230","25.6%","-","143","26.9%","82,969","181","25.9%","91,146","175","34.4%","40,365","198","29.6%","62,500","306","19.9%","43,854","161","20.6%","185,156","240","24.6%","103,333","0","-","-","16","18.2%","-"
"    4-person families","4","8.2%","-","0","0.0%","-","8","3.4%","-","5","3.2%","-","55","14.4%","64,871","0","0.0%","-","91","16.5%","250,000+","50","8.1%","250,000+","65","10.0%","-","77","19.8%","42,946","56","10.7%","-","156","21.6%","-","97","11.9%","50,083","57","14.7%","-","109","16.6%","-","11","5.8%","-","41","7.3%","-","120","19.0%","35,000","163","18.9%","37,198","182","27.3%","38,167","55","6.4%","116,442","125","15.7%","130,139","90","7.5%","-","332","30.8%","54,583","78","15.5%","-","75","11.0%","31,181","194","21.6%","77,708","157","29.5%","53,875","85","12.1%","104,375","117","23.0%","60,139","112","16.8%","52,500","362","23.5%","-","83","10.6%","-","168","17.2%","151,500","0","-","-","13","14.8%","-"
"    5-person families","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","55","10.0%","136,336","26","4.2%","-","0","0.0%","-","19","4.9%","-","20","3.8%","-","21","2.9%","-","58","7.1%","-","22","5.7%","-","19","2.9%","-","0","0.0%","-","17","3.0%","-","87","13.8%","2,500-","30","3.5%","-","33","5.0%","-","86","10.1%","-","50","6.3%","-","95","7.9%","-","71","6.6%","-","48","9.6%","55,000","74","10.9%","61,985","86","9.6%","-","114","21.4%","52,054","22","3.1%","-","37","7.3%","40,139","41","6.1%","-","153","9.9%","-","36","4.6%","-","32","3.3%","127,045","0","-","-","0","0.0%","-"
"    6-person families","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","11","2.8%","-","22","4.2%","-","0","0.0%","-","32","3.9%","-","0","0.0%","-","63","9.6%","-","0","0.0%","-","0","0.0%","-","8","1.3%","-","14","1.6%","-","0","0.0%","-","9","1.1%","-","36","4.5%","-","55","4.6%","-","53","4.9%","-","11","2.2%","-","0","0.0%","-","113","12.6%","83,750","0","0.0%","-","9","1.3%","-","25","4.9%","-","33","4.9%","163,125","86","5.6%","-","25","3.2%","-","20","2.1%","-","0","-","-","0","0.0%","-"
"    7-or-more person families","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","17","4.4%","-","0","0.0%","-","0","0.0%","-","43","5.3%","-","0","0.0%","-","9","1.4%","-","0","0.0%","-","14","2.5%","-","15","2.4%","-","47","5.4%","-","41","6.2%","-","46","5.4%","-","40","5.0%","-","81","6.7%","-","0","0.0%","-","67","13.3%","27,829","60","8.8%","-","17","1.9%","-","8","1.5%","-","0","0.0%","-","19","3.7%","77,875","43","6.4%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","-","-","0","0.0%","-"
"FAMILY INCOME BY NUMBER OF EARNERS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    No earners","0","0.0%","-","39","11.0%","36,917","47","20.0%","5,850","41","26.1%","15,114","71","18.6%","-","106","14.8%","2,500-","34","6.2%","-","90","14.5%","25,833","49","7.6%","-","34","8.8%","13,875","34","6.5%","-","136","18.8%","8,362","84","10.3%","9,786","69","17.7%","-","122","18.6%","-","11","5.8%","-","13","2.3%","-","133","21.1%","8,878","120","13.9%","14,302","96","14.4%","2,500-","130","15.2%","-","127","15.9%","-","253","21.1%","13,007","137","12.7%","-","70","13.9%","-","182","26.7%","2,500-","48","5.4%","-","34","6.4%","2,500-","188","26.9%","12,448","54","10.6%","20,357","63","9.4%","11,302","192","12.5%","-","45","5.8%","21,806","44","4.5%","18,750","0","-","-","4","4.5%","-"
"    1 earner","0","0.0%","-","168","47.5%","46,513","36","15.3%","23,750","67","42.7%","37,981","130","34.0%","-","309","43.2%","208,750","164","29.8%","-","180","29.0%","90,179","274","42.2%","76,431","169","43.6%","28,472","250","47.9%","35,556","340","47.0%","14,483","357","43.6%","27,277","184","47.3%","27,500","277","42.3%","15,708","30","15.7%","-","260","46.1%","36,037","239","37.9%","40,163","395","45.8%","39,408","253","38.0%","20,728","341","39.9%","22,060","308","38.6%","49,432","476","39.6%","20,292","489","45.4%","32,266","231","46.0%","30,121","314","46.0%","31,154","370","41.2%","21,304","132","24.8%","43,214","168","24.0%","77,988","229","45.0%","32,310","262","39.2%","35,761","766","49.8%","27,500","220","28.2%","77,188","234","24.0%","87,000","0","-","-","41","46.6%","44,135"
"    2 earners","49","100.0%","70,625","147","41.5%","188,565","113","48.1%","-","44","28.0%","60,536","158","41.4%","109,063","301","42.0%","250,000+","312","56.7%","244,375","336","54.2%","250,000+","311","47.9%","196,118","149","38.4%","53,011","155","29.7%","71,050","193","26.7%","75,150","348","42.5%","61,912","95","24.4%","54,917","190","29.0%","56,771","138","72.3%","84,444","212","37.6%","133,919","210","33.3%","75,500","262","30.4%","73,594","242","36.3%","82,100","209","24.4%","-","255","32.0%","-","227","18.9%","64,958","279","25.9%","67,768","156","31.1%","59,118","121","17.7%","52,608","237","26.4%","83,710","183","34.4%","54,150","273","39.0%","104,896","129","25.3%","57,212","201","30.1%","70,880","368","23.9%","43,021","497","63.7%","124,485","584","59.9%","116,875","0","-","-","43","48.9%","-"
"    3 or more earners","0","0.0%","-","0","0.0%","-","39","16.6%","-","5","3.2%","-","23","6.0%","-","0","0.0%","-","40","7.3%","188,333","14","2.3%","-","15","2.3%","-","36","9.3%","104,583","83","15.9%","119,458","54","7.5%","125,227","29","3.5%","-","41","10.5%","101,250","66","10.1%","64,643","12","6.3%","-","79","14.0%","111,483","48","7.6%","-","86","10.0%","56,167","75","11.3%","58,567","175","20.5%","98,942","108","13.5%","123,000","245","20.4%","120,633","172","16.0%","99,286","45","9.0%","65,982","65","9.5%","62,390","242","27.0%","105,000","183","34.4%","91,688","71","10.1%","-","97","19.1%","79,125","142","21.3%","128,788","213","13.8%","-","18","2.3%","-","113","11.6%","250,000+","0","-","-","0","0.0%","-"
"NONFAMILY HOUSEHOLDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Nonfamily households","220","220","34,583","1,558","1,558","26,458","1,006","1,006","22,090","673","673","18,063","1,152","1,152","53,261","1,374","1,374","61,500","588","588","125,104","760","760","106,071","1,474","1,474","49,837","340","340","20,119","355","355","-","656","656","16,591","559","559","11,789","490","490","9,515","413","413","11,835","1,282","1,282","58,532","660","660","46,250","323","323","26,339","839","839","25,170","706","706","-","584","584","14,519","444","444","37,969","1,022","1,022","24,155","745","745","27,938","289","289","15,341","527","527","-","428","428","21,287","270","270","21,641","1,041","1,041","51,637","317","317","26,641","317","317","14,250","546","546","24,891","1,049","1,049","68,281","1,055","1,055","72,426","0","0","-","28","28","60,000"
