"Label (Grouping)","Census Tract 103, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 104.03, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 104.03, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 104.04, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 104.04, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 104.05, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 104.05, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 105, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 105, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 106, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 106, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 706, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 706, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 707, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 707, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 711.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 711.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 808.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 808.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 809, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 809, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 817, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 817, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 818, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 818, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 821, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 821, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 903, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 903, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 906, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 906, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 1203.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 1203.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate"
"    65 years and over","11.1%","-","18.1%","11,517","4.7%","47,109","33.8%","13,260","17.6%","15,824","25.3%","57,250","12.2%","145,739","14.3%","72,986","14.9%","12,201","13.0%","35,417","13.0%","20,139","18.8%","13,708","14.2%","16,464","17.6%","10,722","14.8%","11,625","16.1%","-","23.2%","18,218","20.1%","27,500","28.6%","16,587","18.6%","-","18.1%","26,927","24.8%","20,568","24.7%","11,907","17.8%","17,500","14.4%","24,063","15.0%","31,620","19.5%","19,708","9.7%","-","14.7%","-","19.6%","24,542","18.2%","26,518","17.5%","15,843","11.4%","12,250","13.9%","18,475","-","-","10.9%","-"
"FAMILIES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Families","83","33,438","266","-","148","17,639","179","36,250","394","47,549","821","211,094","518","245,385","555","141,106","576","207,845","398","43,750","442","38,309","792","51,603","771","28,189","418","23,093","689","28,432","358","71,394","516","34,911","516","40,714","767","30,179","876","37,219","812","26,923","705","50,506","1,267","17,227","1,159","31,011","574","31,111","885","33,438","996","35,720","611","39,688","691","65,804","534","45,929","633","52,788","1,327","34,121","778","76,818","924","80,000","0","-","134","35,625"
"        With own children of householder under 18 years","22.9%","33,854","18.8%","-","30.4%","-","23.5%","36,346","36.8%","-","11.3%","-","39.6%","250,000+","34.6%","141,538","42.5%","208,922","47.0%","24,267","45.9%","32,125","53.5%","36,750","49.0%","20,978","55.7%","18,750","40.1%","23,529","29.6%","100,000","51.7%","29,602","50.4%","43,125","44.3%","20,611","60.2%","35,059","61.6%","20,893","44.5%","-","53.0%","11,444","50.4%","19,500","53.8%","32,083","61.1%","28,173","50.5%","-","52.0%","31,667","51.5%","54,519","46.6%","35,052","50.1%","44,777","60.8%","31,652","44.1%","50,208","37.0%","84,048","-","-","42.5%","31,563"
"        With no own children of householder under 18 years","77.1%","-","81.2%","-","69.6%","-","76.5%","-","63.2%","36,202","88.7%","220,313","60.4%","228,472","65.4%","-","57.5%","205,662","53.0%","63,594","54.1%","40,125","46.5%","55,682","51.0%","35,739","44.3%","39,531","59.9%","29,911","70.4%","70,337","48.3%","48,750","49.6%","40,357","55.7%","37,277","39.8%","58,906","38.4%","41,944","55.5%","50,923","47.0%","20,131","49.6%","44,023","46.2%","28,542","38.9%","51,568","49.5%","43,188","48.0%","49,583","48.5%","71,563","53.4%","53,563","49.9%","56,500","39.2%","39,135","55.9%","97,656","63.0%","62,500","-","-","57.5%","58,125"
"        Married-couple families","49.4%","-","46.2%","162,330","61.5%","-","70.4%","43,077","71.1%","-","86.5%","250,000+","98.3%","246,250","68.8%","250,000+","74.7%","250,000+","22.1%","51,250","37.3%","-","22.6%","102,344","26.6%","42,125","16.5%","87,813","20.6%","23,529","70.4%","73,750","49.2%","79,375","37.2%","67,262","20.7%","-","36.5%","-","27.2%","-","36.2%","77,875","13.4%","-","19.6%","50,625","32.6%","60,551","20.7%","51,851","31.8%","52,396","33.2%","44,583","79.2%","71,313","44.8%","47,464","30.0%","73,654","27.6%","57,700","64.7%","111,607","60.4%","104,000","-","-","41.0%","-"
"        Female householder, no husband present","21.7%","-","36.5%","-","17.6%","19,306","22.3%","-","21.3%","35,214","12.4%","-","1.7%","-","25.0%","41,926","16.8%","-","53.0%","30,956","43.9%","37,868","67.4%","20,000","55.0%","16,813","68.9%","16,646","71.3%","30,708","19.8%","50,417","39.9%","21,471","43.0%","34,107","60.9%","29,602","60.0%","30,263","62.8%","18,571","51.3%","38,462","79.7%","17,031","64.3%","22,582","50.2%","23,041","65.5%","23,500","64.0%","30,801","53.2%","38,036","13.6%","-","47.4%","23,958","55.0%","37,065","64.6%","28,591","26.3%","32,969","32.8%","30,980","-","-","59.0%","33,125"
"        Male householder, no wife present","28.9%","-","17.3%","48,750","20.9%","-","7.3%","-","7.6%","-","1.1%","-","0.0%","-","6.1%","-","8.5%","-","24.9%","64,427","18.8%","-","10.0%","55,705","18.4%","69,583","14.6%","45,972","8.1%","-","9.8%","-","10.9%","31,136","19.8%","23,879","18.4%","-","3.4%","-","10.0%","-","12.5%","-","6.9%","-","16.1%","53,967","17.2%","33,750","13.8%","-","4.2%","46,429","13.6%","40,417","7.2%","-","7.9%","72,500","15.0%","44,018","7.8%","37,344","9.0%","-","6.8%","60,804","-","-","0.0%","-"
"NONFAMILY HOUSEHOLDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Nonfamily households","206","41,765","1,612","25,357","1,160","21,100","658","16,939","1,202","42,833","1,187","69,028","718","98,611","791","68,646","1,519","32,061","317","25,440","378","21,250","573","16,270","570","16,300","492","9,669","252","10,625","1,134","45,994","730","26,932","378","21,538","739","-","562","25,692","593","16,042","430","14,730","838","18,354","627","13,723","226","19,674","404","25,449","294","13,333","176","39,808","1,141","59,712","320","20,893","317","17,981","753","14,861","963","38,098","1,047","62,477","0","-","13","63,750"
"        Female householder","48.1%","65,139","47.0%","18,357","56.7%","17,230","42.4%","13,722","52.2%","34,896","67.1%","73,750","40.7%","79,722","54.0%","58,906","48.8%","-","37.9%","26,447","63.0%","20,700","45.7%","14,900","47.4%","12,292","48.6%","-","57.1%","9,219","39.8%","42,344","51.1%","19,560","43.9%","9,625","58.5%","30,081","36.7%","25,682","62.9%","17,208","63.3%","10,482","46.8%","13,673","63.2%","12,321","61.1%","15,167","52.5%","-","73.1%","16,597","51.1%","-","31.7%","44,792","56.9%","16,875","42.9%","13,750","62.8%","-","48.4%","39,348","53.3%","60,426","-","-","100.0%","63,750"
"            Living alone","39.8%","65,278","37.2%","17,161","26.8%","-","31.0%","12,417","37.3%","-","59.9%","64,325","36.6%","79,139","42.2%","-","40.2%","-","33.4%","26,711","49.7%","21,200","40.1%","14,000","43.7%","11,940","42.5%","9,496","48.8%","7,578","21.2%","42,206","41.2%","19,190","41.8%","9,458","53.5%","18,750","32.9%","19,531","58.9%","16,208","63.3%","10,482","41.3%","12,500","56.1%","11,536","47.8%","11,250","52.5%","-","59.9%","14,821","44.9%","-","23.1%","30,577","47.5%","16,250","40.4%","12,357","53.0%","12,750","26.8%","-","31.7%","24,659","-","-","69.2%","-"
"            Not living alone","8.3%","-","9.9%","-","29.9%","-","11.4%","34,464","15.0%","76,667","7.2%","-","4.0%","110,469","11.8%","150,924","8.6%","-","4.4%","-","13.2%","-","5.6%","-","3.7%","-","6.1%","32,188","8.3%","-","18.6%","50,197","9.9%","-","2.1%","-","5.0%","-","3.7%","-","4.0%","-","0.0%","-","5.5%","-","7.0%","100,978","13.3%","-","0.0%","-","13.3%","-","6.3%","-","8.6%","107,794","9.4%","48,636","2.5%","-","9.8%","53,750","21.6%","90,167","21.6%","96,591","-","-","30.8%","-"
"        Male householder","51.9%","40,521","53.0%","29,362","43.3%","32,083","57.6%","22,708","47.8%","52,500","32.9%","61,528","59.3%","107,250","46.0%","115,667","51.2%","53,333","62.1%","22,429","37.0%","-","54.3%","18,221","52.6%","22,500","51.4%","7,455","42.9%","15,526","60.2%","46,973","48.9%","45,096","56.1%","32,500","41.5%","-","63.3%","25,703","37.1%","-","36.7%","38,182","53.2%","25,591","36.8%","-","38.9%","45,625","47.5%","27,333","26.9%","7,583","48.9%","-","68.3%","72,054","43.1%","-","57.1%","-","37.2%","20,143","51.6%","31,750","46.7%","77,107","-","-","0.0%","-"
"            Living alone","49.0%","40,104","40.0%","28,351","21.7%","-","38.0%","15,000","33.7%","41,861","29.7%","50,391","39.6%","106,333","29.3%","60,921","29.6%","-","56.5%","22,005","35.4%","-","54.3%","18,221","44.6%","-","37.2%","10,719","29.0%","9,958","31.2%","47,070","32.1%","22,361","41.3%","23,500","36.3%","-","54.3%","-","31.5%","-","28.1%","39,205","53.2%","25,591","34.8%","-","23.0%","23,824","47.5%","27,333","21.8%","-","23.3%","-","35.8%","35,575","25.6%","-","53.0%","-","32.3%","20,893","37.8%","26,979","22.8%","33,281","-","-","0.0%","-"
"            Not living alone","2.9%","-","13.0%","-","21.6%","34,732","19.6%","42,159","14.1%","-","3.2%","-","19.8%","127,813","16.7%","165,500","21.6%","160,417","5.7%","-","1.6%","-","0.0%","-","8.1%","35,500","14.2%","2,500-","13.9%","46,750","29.0%","-","16.8%","83,558","14.8%","108,529","5.3%","41,250","9.1%","41,250","5.6%","-","8.6%","-","0.0%","-","2.1%","-","15.9%","55,938","0.0%","-","5.1%","-","25.6%","-","32.4%","97,083","17.5%","-","4.1%","-","4.9%","-","13.8%","71,319","23.9%","117,045","-","-","0.0%","-"
"PERCENT ALLOCATED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
