"Label (Grouping)","Census Tract 103, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 104.03, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 104.03, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 104.04, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 104.04, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 104.05, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 104.05, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 105, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 105, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 106, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 106, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 706, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 706, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 707, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 707, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 711.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 711.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 808.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 808.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 809, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 809, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 817, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 817, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 818, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 818, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 821, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 821, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 903, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 903, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 906, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 906, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 1203.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 1203.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate"
"Hispanic or Latino origin (of any race)","10.6%","34,327","15.4%","21,974","9.7%","2,500-","8.1%","18,833","4.8%","26,215","3.7%","17,250","6.0%","65,121","7.3%","27,788","8.4%","17,000","16.7%","25,489","39.9%","16,042","40.2%","17,813","55.5%","16,797","27.5%","19,125","47.1%","12,392","5.1%","50,729","16.4%","24,844","17.0%","30,313","12.0%","20,250","25.2%","22,200","22.6%","49,196","11.4%","15,504","32.5%","14,645","17.6%","8,417","36.0%","22,050","32.0%","13,793","31.5%","43,250","18.9%","32,768","9.0%","41,429","22.9%","21,974","29.2%","20,208","28.8%","19,602","25.1%","27,857","27.5%","37,125","-","-","0.0%","-"
"White alone, not Hispanic or Latino","68.9%","29,625","50.0%","24,464","64.0%","16,284","57.2%","17,258","69.9%","52,383","80.6%","115,051","78.5%","102,240","55.9%","124,000","40.3%","75,583","15.9%","29,375","2.6%","-","5.0%","91,875","5.2%","37,798","19.3%","37,407","7.2%","23,750","63.5%","46,972","25.1%","75,547","12.4%","27,422","2.2%","28,882","2.9%","46,204","0.0%","-","1.7%","-","3.8%","24,875","2.7%","64,167","0.6%","-","0.0%","-","3.5%","10,208","2.3%","-","62.6%","68,468","10.1%","80,278","14.0%","52,885","2.0%","-","60.5%","81,341","45.5%","97,083","-","-","23.4%","91,250"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    15 to 24 years","21.3%","2,500-","23.3%","9,821","63.0%","6,240","22.9%","17,432","20.2%","26,071","8.1%","12,361","1.4%","-","5.8%","42,137","7.2%","65,441","6.0%","30,938","10.4%","4,338","3.5%","7,167","5.5%","27,109","23.0%","10,700","13.6%","17,356","29.2%","23,421","18.3%","27,125","6.1%","11,938","0.4%","-","10.7%","11,488","2.1%","-","1.4%","-","5.2%","32,813","3.3%","8,333","7.4%","17,396","7.6%","7,321","3.2%","-","0.6%","-","6.8%","78,603","7.2%","112,672","5.8%","50,391","6.2%","31,188","3.7%","19,375","1.7%","-","-","-","0.0%","-"
"    25 to 44 years","52.4%","40,694","38.8%","66,548","16.7%","48,558","18.6%","19,667","40.1%","69,306","43.1%","126,918","61.7%","97,344","43.4%","100,227","56.1%","50,064","35.7%","44,375","29.8%","28,667","37.6%","36,667","44.7%","17,321","31.4%","31,964","20.2%","35,268","33.2%","54,375","32.9%","67,708","30.3%","49,345","29.2%","26,154","35.5%","26,477","34.5%","31,172","27.0%","21,250","36.3%","12,576","38.2%","32,164","45.4%","22,201","38.4%","27,407","43.8%","37,646","45.3%","54,896","46.6%","53,397","40.5%","40,000","30.7%","31,591","40.3%","41,658","56.5%","78,594","48.2%","97,798","-","-","54.5%","9,783"
"    45 to 64 years","22.8%","37,000","17.9%","39,788","14.6%","32,102","27.9%","30,132","18.2%","43,810","21.9%","140,682","29.8%","102,292","39.0%","44,626","21.3%","48,750","44.7%","26,389","42.7%","36,607","35.7%","18,206","37.2%","20,841","34.5%","19,750","49.4%","19,875","18.3%","50,625","30.3%","45,893","46.2%","27,083","43.0%","28,443","35.6%","52,548","42.3%","30,197","47.8%","52,339","41.0%","25,563","41.3%","46,094","33.1%","36,050","38.7%","26,402","33.2%","50,625","39.3%","47,308","33.2%","63,787","35.3%","39,875","49.3%","35,611","44.1%","26,821","27.3%","56,719","39.5%","52,313","-","-","40.3%","10,809"
"    65 years and over","3.5%","-","19.9%","11,732","5.8%","47,216","30.6%","11,867","21.5%","13,875","26.9%","48,542","7.0%","54,250","11.9%","53,750","15.4%","13,143","13.6%","30,000","17.1%","17,059","23.1%","11,615","12.6%","11,744","11.0%","15,500","16.8%","13,224","19.4%","16,435","18.4%","14,726","17.4%","32,159","27.4%","12,932","18.2%","43,654","21.1%","32,176","23.8%","21,806","17.4%","18,210","17.2%","17,614","14.0%","14,696","15.4%","47,037","19.9%","26,050","14.7%","48,393","13.4%","32,461","17.0%","15,227","14.2%","23,000","9.3%","16,661","12.4%","17,031","10.7%","19,676","-","-","5.2%","-"
"FAMILIES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Families","44","58,750","283","74,653","162","50,625","174","30,789","217","28,984","649","197,625","418","241,250","641","86,571","507","43,594","359","32,169","420","17,440","610","19,746","836","21,494","353","22,188","528","24,948","413","67,981","504","49,464","459","41,696","781","29,010","706","36,827","753","56,838","673","55,213","1,172","18,857","1,061","38,015","552","25,588","923","30,265","867","33,356","507","51,625","749","49,844","519","38,984","459","45,250","1,384","37,412","783","75,804","1,036","79,318","0","-","73","10,515"
"        With own children under 18 years","40.9%","-","25.4%","-","8.6%","-","19.0%","50,469","7.8%","-","17.3%","250,000+","56.7%","250,000+","34.5%","101,023","56.6%","39,886","47.9%","22,321","48.8%","23,958","55.1%","18,553","66.9%","19,150","54.1%","16,927","41.7%","22,955","38.7%","51,250","39.3%","44,821","52.7%","43,333","57.0%","22,327","52.1%","10,476","54.3%","27,721","40.3%","35,568","62.4%","13,371","58.3%","37,981","60.0%","22,837","49.7%","14,115","55.7%","33,866","52.9%","36,290","56.6%","32,041","56.6%","33,571","45.5%","27,212","56.1%","29,559","44.4%","53,750","38.5%","119,659","-","-","64.4%","9,598"
"        With no own children under 18 years","59.1%","126,250","74.6%","150,859","91.4%","50,469","81.0%","30,592","92.2%","27,656","82.7%","184,844","43.3%","153,906","65.5%","49,554","43.4%","60,714","52.1%","39,205","51.2%","17,292","44.9%","23,889","33.1%","32,188","45.9%","24,688","58.3%","29,018","61.3%","69,135","60.7%","80,278","47.3%","41,518","43.0%","34,737","47.9%","63,277","45.7%","85,625","59.7%","68,889","37.6%","20,474","41.7%","38,125","40.0%","33,688","50.3%","53,500","44.3%","31,915","47.1%","91,648","43.4%","69,044","43.4%","51,250","54.5%","50,600","43.9%","47,566","55.6%","81,023","61.5%","57,798","-","-","35.6%","11,176"
"        Married-couple families","59.1%","126,250","61.5%","158,409","75.9%","51,641","73.6%","31,053","76.5%","86,563","89.4%","213,500","91.4%","250,000+","66.3%","137,171","59.8%","101,776","32.0%","61,719","18.6%","31,591","13.3%","72,098","13.8%","21,172","31.7%","35,313","30.5%","26,125","68.5%","89,188","50.2%","126,050","37.9%","58,750","24.8%","58,750","39.0%","43,702","27.9%","100,242","29.3%","101,063","14.3%","63,833","25.0%","45,066","21.0%","50,250","24.4%","56,151","34.3%","64,688","35.3%","74,063","68.9%","70,481","45.9%","43,500","28.5%","63,906","24.0%","67,976","64.2%","100,489","65.5%","112,629","-","-","19.2%","91,250"
"        Female householder, no husband present","11.4%","-","38.5%","2,500-","24.1%","17,679","26.4%","19,667","12.9%","-","9.2%","47,917","5.7%","-","32.0%","44,158","23.7%","16,473","48.2%","21,830","69.5%","15,536","82.3%","17,407","72.7%","18,800","56.9%","16,518","61.6%","23,920","26.2%","19,091","40.9%","21,111","46.8%","24,777","59.9%","20,615","55.2%","13,750","59.1%","38,352","60.5%","45,917","80.1%","12,934","59.0%","30,573","55.8%","23,148","69.7%","14,911","56.9%","30,478","57.6%","46,731","27.4%","15,583","42.4%","33,512","64.3%","28,359","58.9%","30,604","33.0%","31,591","28.1%","34,878","-","-","80.8%","10,221"
"        Male householder, no wife present","29.5%","-","0.0%","-","0.0%","-","0.0%","-","10.6%","-","1.4%","-","2.9%","-","1.7%","-","16.6%","50,897","19.8%","45,750","11.9%","36,190","4.4%","-","13.5%","66,793","11.3%","11,848","8.0%","-","5.3%","62,188","8.9%","32,656","15.3%","42,143","15.2%","36,422","5.8%","24,940","13.0%","58,438","10.3%","37,321","5.5%","-","16.0%","34,559","23.2%","19,259","6.0%","52,788","8.9%","55,509","7.1%","53,333","3.7%","62,500","11.8%","40,893","7.2%","61,359","17.1%","47,670","2.8%","-","6.4%","37,167","-","-","0.0%","-"
"NONFAMILY HOUSEHOLDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Nonfamily households","210","26,759","1,577","16,129","1,345","15,363","794","12,271","1,430","41,000","1,125","63,368","831","80,694","658","59,239","1,657","40,699","258","30,417","352","27,500","635","15,511","447","11,526","516","17,350","360","12,600","977","37,112","707","39,931","375","23,542","632","13,125","516","21,300","549","15,162","423","14,141","809","23,505","775","18,854","254","15,769","171","26,313","264","21,029","144","48,393","1,025","54,095","232","25,556","426","22,670","642","15,524","927","65,223","847","63,598","0","-","4","-"
"        Female householder","47.6%","30,000","52.9%","10,881","46.8%","10,929","51.5%","11,542","59.0%","27,188","60.2%","60,811","40.1%","75,708","64.9%","46,131","39.2%","31,350","38.0%","27,500","67.3%","21,458","64.1%","12,656","42.7%","9,728","48.4%","51,154","57.5%","10,901","51.0%","24,464","41.2%","42,925","49.6%","21,389","63.6%","9,354","55.0%","21,375","43.4%","17,176","74.2%","9,709","51.5%","46,016","50.1%","14,107","46.1%","15,865","42.7%","32,266","68.2%","29,643","59.7%","17,174","33.0%","43,750","43.5%","9,063","47.4%","23,636","53.3%","15,255","52.8%","65,208","45.9%","44,489","-","-","100.0%","-"
"            Living alone","36.2%","18,333","45.5%","10,513","26.8%","16,103","44.2%","11,311","46.5%","24,073","56.1%","60,154","39.2%","75,417","50.0%","24,583","27.8%","11,121","36.0%","27,981","63.6%","20,556","57.5%","11,813","40.7%","9,239","31.2%","50,048","45.3%","9,981","29.5%","31,196","27.7%","39,000","41.1%","17,000","62.2%","9,280","49.0%","19,375","43.4%","17,176","74.2%","9,709","45.9%","30,417","40.3%","11,184","26.4%","10,670","33.3%","40,813","61.0%","27,946","49.3%","16,359","20.8%","40,163","33.6%","6,786","42.7%","24,054","50.5%","14,677","29.0%","29,427","25.5%","30,278","-","-","100.0%","-"
"            Not living alone","11.4%","50,714","7.4%","83,207","20.1%","6,471","7.3%","33,214","12.5%","53,068","4.1%","138,125","0.8%","-","14.9%","134,808","11.5%","112,704","1.9%","-","3.7%","-","6.6%","-","2.0%","-","17.2%","66,513","12.2%","30,682","21.5%","20,577","13.4%","68,859","8.5%","73,000","1.4%","-","6.0%","-","0.0%","-","0.0%","-","5.7%","-","9.8%","26,727","19.7%","22,155","9.4%","-","7.2%","-","10.4%","-","12.2%","79,632","9.9%","12,212","4.7%","-","2.8%","-","23.7%","87,656","20.4%","101,932","-","-","0.0%","-"
"        Male householder","52.4%","26,759","47.1%","25,972","53.2%","16,895","48.5%","17,232","41.0%","60,469","39.8%","76,000","59.9%","87,400","35.1%","95,341","60.8%","43,769","62.0%","35,259","32.7%","43,523","35.9%","21,667","57.3%","13,529","51.6%","11,316","42.5%","15,230","49.0%","46,320","58.8%","31,944","50.4%","26,328","36.4%","26,488","45.0%","21,273","56.6%","9,831","25.8%","36,406","48.5%","19,063","49.9%","47,969","53.9%","14,966","57.3%","16,786","31.8%","9,474","40.3%","95,227","67.0%","65,208","56.5%","32,096","52.6%","19,286","46.7%","16,538","47.2%","65,227","54.1%","76,406","-","-","0.0%","-"
"            Living alone","47.6%","26,759","30.3%","17,250","25.1%","6,888","32.6%","16,042","26.4%","86,106","30.5%","63,368","42.4%","87,868","22.3%","64,922","46.3%","37,381","39.9%","27,228","32.7%","43,523","35.3%","21,548","46.3%","11,791","33.7%","11,776","26.4%","12,446","25.2%","45,141","38.8%","30,278","40.0%","12,019","34.3%","26,399","40.9%","20,795","44.8%","9,099","19.1%","62,708","45.4%","18,281","44.1%","49,375","46.1%","14,291","49.7%","15,625","24.6%","11,146","40.3%","95,227","39.1%","36,230","28.4%","30,625","42.5%","16,063","34.1%","14,297","25.9%","51,875","27.3%","30,052","-","-","0.0%","-"
"            Not living alone","4.8%","-","16.7%","26,250","28.0%","27,988","15.9%","30,833","14.6%","40,234","9.3%","158,750","17.6%","82,500","12.8%","124,250","14.4%","121,806","22.1%","75,781","0.0%","-","0.6%","-","11.0%","42,731","17.8%","4,500","16.1%","26,875","23.8%","62,537","20.1%","74,643","10.4%","100,625","2.1%","-","4.1%","-","11.8%","-","6.6%","-","3.1%","-","5.8%","-","7.9%","-","7.6%","-","7.2%","-","0.0%","-","27.9%","89,643","28.0%","48,021","10.1%","66,771","12.6%","18,447","21.4%","66,932","26.8%","113,750","-","-","0.0%","-"
