"Label (Grouping)","Census Tract 103, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 104.03, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 104.03, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 104.04, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 104.04, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 104.05, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 104.05, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 105, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 105, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 106, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 106, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 706, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 706, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 707, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 707, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 711.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 711.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 808.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 808.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 809, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 809, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 817, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 817, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 818, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 818, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 821, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 821, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 903, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 903, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 906, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 906, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 1203.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 1203.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate"
"Hispanic or Latino origin (of any race)","20.7%","33,854","16.0%","9,605","12.9%","2,500-","10.7%","12,500","9.5%","22,865","3.0%","15,865","3.9%","68,929","7.7%","31,797","12.4%","16,163","22.4%","22,262","35.6%","16,487","35.3%","14,315","47.9%","17,042","32.0%","19,286","46.7%","22,797","1.8%","51,375","13.9%","26,597","17.0%","23,468","16.3%","17,355","25.6%","21,960","21.4%","51,214","15.4%","16,451","34.5%","14,041","19.2%","11,713","42.3%","23,065","24.2%","20,351","30.3%","20,000","16.6%","31,771","12.0%","41,202","22.3%","26,250","28.7%","22,273","29.3%","22,757","27.4%","20,925","27.2%","31,458","-","-","11.4%","-"
"White alone, not Hispanic or Latino","53.1%","44,167","55.2%","36,140","58.0%","21,034","57.2%","17,831","61.5%","58,500","78.6%","114,107","84.0%","111,429","54.5%","166,932","45.0%","117,721","18.6%","29,286","0.6%","-","9.9%","59,583","6.2%","37,566","15.1%","53,281","5.0%","17,330","74.8%","53,544","23.8%","75,573","15.3%","59,792","4.2%","72,000","1.0%","-","0.0%","-","1.6%","-","3.4%","24,719","4.4%","65,329","0.9%","-","0.0%","-","3.4%","10,104","6.4%","28,750","60.4%","65,635","10.2%","49,423","14.5%","39,063","0.6%","-","59.6%","82,440","46.9%","103,158","-","-","15.2%","93,750"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    15 to 24 years","14.5%","2,500-","21.3%","3,173","57.9%","5,586","27.4%","19,773","17.9%","21,786","7.5%","19,583","0.7%","-","5.7%","52,679","6.0%","43,869","7.8%","33,167","9.8%","76,429","3.7%","6,827","4.2%","38,092","23.0%","7,371","12.4%","17,159","27.9%","22,500","15.2%","30,050","4.5%","11,750","0.6%","-","11.4%","7,203","2.9%","-","1.3%","-","4.0%","28,636","4.2%","9,667","6.1%","16,400","5.1%","13,750","4.9%","31,324","0.8%","-","9.4%","62,784","5.1%","13,077","7.7%","53,125","7.5%","31,163","3.4%","19,286","1.4%","-","-","-","0.0%","-"
"    25 to 44 years","58.9%","51,500","37.0%","78,750","23.1%","47,014","17.4%","22,143","48.2%","62,806","38.0%","119,508","57.9%","103,906","41.7%","106,500","57.2%","51,987","32.9%","40,500","34.9%","29,760","35.1%","41,763","38.4%","15,577","29.1%","24,704","29.6%","37,606","33.7%","72,361","35.7%","64,821","34.5%","48,826","32.3%","35,398","33.8%","22,656","34.8%","32,625","24.4%","17,000","39.2%","12,516","40.9%","31,250","52.2%","22,822","34.7%","28,365","38.8%","38,250","41.5%","40,917","41.3%","65,804","43.7%","35,536","30.2%","31,893","37.9%","36,850","58.7%","77,212","47.7%","106,188","-","-","41.9%","10,000"
"    45 to 64 years","21.1%","33,125","21.9%","47,614","13.5%","38,875","24.1%","12,071","16.0%","34,375","25.9%","150,000","33.3%","121,442","36.2%","65,333","16.8%","68,073","48.8%","25,625","36.2%","21,563","40.4%","18,571","44.9%","22,431","34.6%","23,155","41.8%","24,018","21.9%","52,847","29.7%","44,550","46.2%","26,150","43.5%","27,538","40.0%","46,528","43.9%","14,079","51.0%","35,556","36.4%","25,038","37.4%","51,250","34.9%","36,493","45.8%","23,182","36.5%","44,940","42.8%","51,458","36.0%","42,278","37.2%","49,205","48.3%","41,750","44.2%","26,695","26.1%","43,008","37.3%","52,986","-","-","42.9%","12,109"
"    65 years and over","5.5%","11,750","19.8%","11,355","5.5%","68,051","31.1%","12,223","17.8%","11,616","28.5%","58,068","8.1%","54,318","16.4%","39,074","20.0%","12,965","10.6%","27,857","19.2%","16,406","20.7%","12,115","12.5%","13,103","13.3%","11,136","16.2%","22,524","16.5%","16,172","19.4%","14,211","14.8%","33,125","23.5%","14,681","14.8%","21,419","18.4%","33,864","23.3%","30,500","20.3%","14,727","17.4%","17,188","6.8%","13,906","14.3%","34,375","19.9%","21,719","14.8%","21,250","13.2%","31,958","14.0%","16,528","13.8%","22,583","10.4%","17,055","11.8%","12,540","13.6%","19,364","-","-","15.2%","-"
"FAMILIES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Families","69","34,479","304","108,026","208","43,875","114","17,500","349","47,790","718","201,136","455","246,146","689","93,917","549","62,212","344","27,083","459","27,212","694","24,583","762","24,085","414","21,552","637","33,125","400","88,594","550","43,816","459","33,950","792","29,714","782","27,926","807","51,583","636","48,929","1,269","15,034","1,156","33,207","603","24,339","942","26,538","874","38,221","505","39,375","705","39,779","504","39,545","566","37,222","1,379","34,375","802","59,375","996","78,864","0","-","101","12,321"
"        With own children under 18 years","24.6%","33,854","33.9%","2,500-","11.1%","36,250","19.3%","55,625","40.1%","49,152","14.9%","237,589","53.4%","250,000+","39.0%","106,875","47.2%","50,609","50.6%","20,804","41.8%","27,656","52.2%","21,974","64.6%","21,842","57.2%","20,982","47.4%","25,000","35.5%","101,389","45.3%","43,618","47.5%","32,833","58.6%","20,972","57.0%","9,711","49.8%","21,667","34.3%","38,182","60.8%","11,913","57.2%","31,746","64.0%","23,068","55.4%","20,743","51.6%","37,625","53.3%","35,313","55.3%","36,786","57.9%","33,971","51.6%","35,750","56.7%","25,864","47.5%","43,934","35.8%","96,875","-","-","48.5%","9,769"
"        With no own children under 18 years","75.4%","41,250","66.1%","129,583","88.9%","44,156","80.7%","16,528","59.9%","21,250","85.1%","193,125","46.6%","181,000","61.0%","48,871","52.8%","104,474","49.4%","40,833","58.2%","26,607","47.8%","31,250","35.4%","35,735","42.8%","22,083","52.6%","36,173","64.5%","71,726","54.7%","47,917","52.5%","40,446","41.4%","38,188","43.0%","55,000","50.2%","88,750","65.7%","58,462","39.2%","19,306","42.8%","40,464","36.0%","35,865","44.6%","56,603","48.4%","39,034","46.7%","60,417","44.7%","60,341","42.1%","54,792","48.4%","48,750","43.3%","48,606","52.5%","83,125","64.2%","65,417","-","-","51.5%","35,417"
"        Married-couple families","60.9%","83,750","61.8%","157,692","68.3%","52,609","94.7%","17,083","71.9%","49,978","89.7%","220,417","93.6%","248,833","68.2%","139,922","65.6%","196,538","16.6%","43,125","28.1%","29,764","16.1%","121,136","19.0%","26,691","26.1%","43,333","23.1%","25,982","77.8%","89,609","54.4%","81,875","40.7%","59,271","22.3%","71,042","33.5%","44,643","35.4%","103,258","28.6%","68,750","11.0%","65,962","19.5%","44,805","29.5%","37,206","16.3%","64,167","28.9%","56,250","38.6%","43,854","68.8%","60,250","42.9%","48,000","27.7%","70,994","23.0%","57,548","60.5%","104,063","63.9%","113,906","-","-","11.9%","93,750"
"        Female householder, no husband present","21.7%","-","38.2%","2,500-","22.6%","19,821","5.3%","-","19.8%","2,500-","9.1%","48,977","3.7%","-","26.9%","43,580","15.1%","16,596","55.5%","21,830","54.0%","16,189","74.2%","18,171","68.5%","22,746","64.5%","16,976","72.7%","35,466","18.8%","51,625","35.3%","21,635","40.7%","23,954","63.1%","20,694","63.9%","12,778","52.5%","32,955","58.6%","40,598","83.5%","12,500","64.7%","30,305","56.4%","20,926","75.3%","20,285","66.9%","30,786","53.9%","37,315","23.7%","12,278","45.0%","34,301","59.5%","27,946","63.7%","27,276","34.8%","23,750","27.4%","50,057","-","-","88.1%","12,083"
"        Male householder, no wife present","17.4%","-","0.0%","-","9.1%","-","0.0%","-","8.3%","-","1.3%","-","2.6%","-","4.9%","65,250","19.3%","51,218","27.9%","43,864","17.9%","56,000","9.7%","55,296","12.5%","76,042","9.4%","11,964","4.2%","15,893","3.5%","-","10.4%","31,950","18.5%","40,804","14.5%","37,607","2.6%","-","12.0%","59,432","12.7%","35,139","5.4%","40,677","15.8%","40,078","14.1%","25,568","8.4%","34,183","4.1%","50,250","7.5%","16,000","7.5%","48,281","12.1%","41,518","12.7%","43,676","13.3%","50,556","4.7%","14,479","8.7%","57,639","-","-","0.0%","-"
"NONFAMILY HOUSEHOLDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Nonfamily households","206","31,667","1,458","15,436","1,296","17,014","783","12,648","1,260","40,192","1,110","62,679","828","88,357","643","65,583","1,558","38,720","300","27,500","318","20,288","618","14,138","539","11,848","461","10,579","296","12,429","1,086","44,231","666","43,320","402","26,111","634","20,625","464","21,368","541","14,803","513","12,316","806","18,125","692","17,372","219","20,028","306","15,536","274","16,806","210","47,917","1,071","58,583","279","27,292","325","22,625","746","16,549","982","54,110","944","72,500","0","-","4","-"
"        Female householder","52.4%","14,688","52.5%","10,891","46.8%","15,353","44.2%","12,259","61.0%","26,949","65.4%","61,090","41.8%","77,411","58.5%","41,500","37.2%","11,887","40.3%","26,442","64.8%","20,921","51.6%","10,096","49.2%","11,696","38.0%","38,036","53.4%","11,118","42.6%","23,219","50.9%","42,775","47.8%","21,296","62.1%","14,853","49.6%","20,870","49.7%","17,052","78.2%","9,472","48.5%","17,594","46.8%","13,068","60.7%","18,558","41.2%","13,750","71.5%","32,857","56.2%","27,273","37.0%","48,750","36.2%","11,917","47.4%","23,000","54.0%","16,860","49.3%","43,333","43.5%","39,844","-","-","100.0%","-"
"            Living alone","41.7%","14,063","41.0%","10,779","22.2%","16,250","32.4%","11,587","47.0%","24,615","63.1%","60,705","40.7%","77,009","48.2%","23,333","28.2%","12,135","38.0%","27,115","59.4%","20,592","42.7%","9,797","47.1%","11,597","29.3%","31,875","43.9%","10,214","23.5%","35,221","37.5%","37,333","40.0%","17,083","59.0%","13,382","42.7%","18,750","49.7%","17,052","78.2%","9,472","43.1%","14,155","40.3%","11,607","33.8%","11,591","38.2%","13,239","65.7%","30,313","49.0%","25,568","26.7%","29,583","29.4%","10,833","45.8%","22,850","48.8%","16,890","25.8%","23,348","22.4%","19,779","-","-","100.0%","-"
"            Not living alone","10.7%","33,750","11.5%","38,125","24.6%","15,219","11.7%","33,375","14.0%","53,250","2.3%","-","1.1%","-","10.3%","135,500","9.1%","11,292","2.3%","-","5.3%","81,042","8.9%","45,972","2.0%","-","8.7%","49,000","9.5%","30,278","19.2%","16,250","13.4%","70,662","7.7%","75,250","3.2%","-","6.9%","-","0.0%","-","0.0%","-","5.5%","-","6.5%","98,162","26.9%","21,422","2.9%","-","5.8%","-","7.1%","-","10.3%","105,972","6.8%","100,250","1.5%","-","5.2%","14,938","23.5%","90,320","21.2%","109,342","-","-","0.0%","-"
"        Male householder","47.6%","32,292","47.5%","33,008","53.2%","21,118","55.8%","13,795","39.0%","51,563","34.6%","102,700","58.2%","90,147","41.5%","114,464","62.8%","44,110","59.7%","29,464","35.2%","16,833","48.4%","14,880","50.8%","11,971","62.0%","6,190","46.6%","14,875","57.4%","51,797","49.1%","47,689","52.2%","33,214","37.9%","29,167","50.4%","21,837","50.3%","9,304","21.8%","27,167","51.5%","20,250","53.2%","36,797","39.3%","21,250","58.8%","21,250","28.5%","9,737","43.8%","71,875","63.0%","64,826","63.8%","33,537","52.6%","18,875","46.0%","16,125","50.7%","54,418","56.5%","85,990","-","-","0.0%","-"
"            Living alone","42.2%","32,188","34.6%","17,784","26.0%","6,463","37.7%","12,264","26.7%","53,929","26.3%","50,000","43.7%","88,519","25.2%","71,364","40.4%","33,359","35.7%","21,964","35.2%","16,833","48.4%","14,880","47.3%","11,851","44.0%","8,523","27.7%","11,797","26.9%","45,906","33.9%","37,813","33.1%","11,607","36.0%","28,889","48.7%","21,633","39.9%","8,418","15.8%","58,750","48.8%","17,446","50.3%","36,016","31.1%","14,844","50.3%","15,179","21.5%","11,563","35.7%","69,821","31.9%","36,492","35.8%","33,171","44.9%","16,625","39.7%","17,083","28.9%","49,375","25.0%","19,309","-","-","0.0%","-"
"            Not living alone","5.3%","-","12.9%","80,982","27.2%","29,110","18.1%","26,750","12.4%","44,118","8.3%","195,833","14.5%","136,429","16.3%","167,031","22.4%","130,045","24.0%","75,735","0.0%","-","0.0%","-","3.5%","-","18.0%","3,924","18.9%","43,125","30.5%","63,875","15.2%","75,781","19.2%","104,191","1.9%","-","1.7%","-","10.4%","-","6.0%","-","2.7%","-","2.9%","-","8.2%","-","8.5%","-","6.9%","-","8.1%","-","31.1%","79,602","28.0%","38,214","7.7%","-","6.3%","-","21.8%","65,938","31.5%","111,406","-","-","0.0%","-"
