Project Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8
Boylston West (Fenway Triangle Mixed Use),Fenway,2215,172,172,0,159,159,0,13,13,0,Rental,Private,,
Bradford Estates,Dorchester,2124,24,0,24,0,0,0,24,0,24,Ownership,Private,,
Bradlee-Fowler,Dorchester,2124,3,1,2,0,0,0,3,1,2,Ownership/Rental,Private,,
Bradley Properties,South End,2118,70,70,0,0,0,0,70,70,0,Rental,Private,,Y
Brandywyne Village,East Boston,2128,402,402,0,136,136,0,266,266,0,Rental,Private,,Y
Brantley (VUP),Mattapan,2126,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Braxton (VUP),Dorchester,2121,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Brewery Lofts,Mission Hill,2130,79,0,79,71,0,71,8,0,8,Ownership,Private,,
BRIAN J HONAN APARTMENTS,Allston,2134,50,50,0,0,0,0,50,50,0,Rental,Private,,
Brighton Gardens,Brighton,2135,62,62,0,49,49,0,13,13,0,Rental,Private,Y,
Brighton-Allston Apts,Allston,2134,62,62,0,0,0,0,62,62,0,Rental,Private,Y,
Brighton-Allston Elderly,Brighton,2134,80,80,0,1,1,0,79,79,0,Rental,Private,Y,Y
"Bromley Park (2-19, -75, -101)",Jamaica Plain,2130,779,779,0,0,0,0,779,779,0,Rental,Public,Y,
Brook Avenue Cooperative,Roxbury,2119,36,36,0,0,0,0,36,36,0,Cooperative,Private,,
"Brookford, Dalin and Dean St. Homes (Julian Phase 2 HOME AGAIN)",Roxbury,2125,18,1,17,0,0,0,18,1,17,Ownership/Rental,Private,,
Brookside Artists Housing,Jamaica Plain,2130,21,0,21,3,0,3,18,0,18,Ownership,Private,,
Brookview House,Dorchester,2124,8,8,0,0,0,0,8,8,0,Rental,Private,,
Brookview House II,Dorchester,2124,12,12,0,0,0,0,12,12,0,Rental,Private,,
Brookview House III,Dorchester,2124,12,12,0,0,0,0,12,12,0,Rental,Private,,
Brown (VUP),Dorchester,2121,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,
"Brown, J & D (VUP)",Roxbury,2121,1,1,0,0,0,0,1,1,0,Rental,Private,,
Brown-Kaplan Townhomes,Dorchester,2124,60,60,0,0,0,0,53,53,0,Rental,Private,,Y
Brownstone Apartments,South End,2118,75,75,0,0,0,0,75,75,0,Rental,Private,,Y
Brunswick Street,Dorchester,2121,3,3,0,0,0,0,3,3,0,Rental,Private,,
Brush Hill Commons,Jamaica Plain,2130,14,0,14,8,0,8,6,0,6,Ownership,Private,,
Buckminster Hotel,Fenway,2215,18,18,0,16,16,0,2,2,0,Rental,Private,,
Buildable Lots - Codman Square,Dorchester,,6,0,6,1,0,1,5,0,5,Ownership,Private,,
Buildable Lots - Ferndale,Dorchester,2124,12,0,12,3,0,3,9,0,9,Ownership,Private,,
Buildable Lots - Uphams,Dorchester,,6,0,6,0,0,0,6,0,6,Ownership,Private,,
Buildable Lots- 1&2,Dorchester,2124,15,0,15,6,0,6,9,0,9,Ownership,Private,,
Buildable Lots- 3&4,Dorchester,,18,0,18,8,0,8,10,0,10,Ownership,Private,,
Buildable Lots- 5,Dorchester,2124,9,0,9,0,0,0,9,0,9,Ownership,Private,,
Buildable Lots- 6,Mattapan,2126,12,0,12,0,0,0,12,0,12,Ownership,Private,,
Building 104,Charlestown,2129,46,46,0,0,0,0,46,46,0,Rental,Private,,
Builduing 33 at Navy Yard,Charlestown,2129,47,47,0,41,41,0,6,6,0,Rental,Private,,
Burbank Gardens,Fenway,2115,52,52,0,0,0,0,52,52,0,Rental,Private,,Y
Burton Apts (18u),Roxbury,2120,18,18,0,0,0,0,18,18,0,Rental,Private,,Y
Burton-Dudley,Roxbury,2119,16,16,0,0,0,0,16,16,0,Rental,Private,,
Call Carolina Homes,Jamaica Plain,2130,8,0,8,0,0,0,8,0,8,Ownership,Private,,
Callender|Floyd|Stratton NHI 1,Dorchester,2124,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
Callender|Floyd|Stratton NHI 2,Dorchester,2124,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
Callender|Floyd|Stratton NHI 3,Dorchester,2124,1,0,1,0,0,0,1,0,1,Ownership,Private,,
Callender|Floyd|Stratton NHI 4,Mattapan,2124,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
Callender|Floyd|Stratton NHI 5,Mattapan,2124,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
Callender|Floyd|Stratton NHI 6,Dorchester,2124,1,0,1,0,0,0,1,0,1,Ownership,Private,,
Callender|Floyd|Stratton NHI 7,Dorchester,2124,2,1,1,0,0,0,2,1,1,Ownership,Private,,
Callender|Floyd|Stratton NHI 8,Mattapan,2124,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
Callender|Floyd|Stratton NHI 9,Dorchester,2124,1,0,1,0,0,0,1,0,1,Ownership,Private,,
Callender|Tucker NHI 1,Dorchester,2124,2,1,1,0,0,0,2,1,1,Ownership,Private,,
Callender|Tucker NHI 2,Dorchester,2124,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
Callender|Tucker NHI 3,Dorchester,2124,2,1,1,0,0,0,2,1,1,Ownership,Private,,
Callender|Tucker NHI 4,Dorchester,2124,2,1,1,0,0,0,2,1,1,Ownership,Private,,
Camden Street (200-2),Roxbury,2118,72,72,0,0,0,0,72,72,0,Rental,Public,,
Camfield Gardens,Roxbury,2118,102,102,0,0,0,0,102,102,0,Rental,Private,,Y
Capen Green,Dorchester,2124,18,0,18,0,0,0,18,0,18,Ownership,Private,,
Cardella (VUP),South Boston,2127,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
Cardinal Medeiros Manor,Roxbury,2125,54,54,0,0,0,0,54,54,0,Rental,Private,Y,Y
Caritas Centre St,Dorchester,2122,12,12,0,0,0,0,12,12,0,Rental,Private,,
Caritas Centre St. II,Dorchester,2124,11,11,0,0,0,0,11,11,0,Rental,Private,,
Caritas SRO Refinance,Dorchester,2125,24,24,0,0,0,0,24,24,0,Rental,Private,,
Carlton House AKA: Forward Inc. rental,Jamaica Plain,2119,44,44,0,0,0,0,44,44,0,Rental,Private,,
Carlton Wharf,East Boston,2128,30,0,30,0,0,0,30,0,30,Ownership,Private,,
Carol Ave. Limited Coop,Brighton,2135,33,33,0,9,9,0,24,24,0,Rental,Private,,
Carroll (VUP),Roxbury,2125,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Carvalho (VUP),Dorchester,2122,2,2,0,0,0,0,2,2,0,Rental,Private,,
Cary Cottage,Roxbury,2119,10,10,0,0,0,0,10,10,0,Rental,Private,,
Casa Familias Unidas,Roxbury,2119,9,9,0,0,0,0,9,9,0,Rental,Private,,
Casa Maria,North End,2113,84,84,0,0,0,0,84,84,0,Rental,Private,Y,Y
Casa Nueva Vida,Jamaica Plain,2130,7,7,0,0,0,0,7,7,0,Rental,Private,,
Casas Borinquen,South End,2118,36,36,0,0,0,0,36,36,0,Rental,Private,,Y
Cass House,Roxbury,2121,111,111,0,0,0,0,111,111,0,Rental,Private,,
Castle Square,South End,2116,500,500,0,0,0,0,500,500,0,Rental,Private,,Y
Cathedral (2-6),South End,2118,414,414,0,0,0,0,414,414,0,Rental,Public,,
CATHERINE H GALLAGHER COOPERATIVE HOUSING,Jamaica Plain,2130,34,34,0,0,0,0,34,34,0,Rental,Private,,Y
Ceinture (20 W Fifth),South Boston,2127,54,0,54,44,0,44,10,0,10,Ownership,Private,,
Central Boston Elder Services,Roxbury,2119,57,57,0,0,0,0,57,57,0,Rental,Private,Y,
Centre/Lamartine,Jamaica Plain,2130,30,30,0,0,0,0,30,30,0,Rental,Private,,
Ceylon Field Apts (orig p/o Parkchester 98u),Dorchester,2121,66,66,0,0,0,0,66,66,0,Rental,Private,,
Chaisson (VUP),Dorchester,2125,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Channel View Condominiums,South Boston,2127,18,0,18,16,0,16,2,0,2,Ownership,Private,,
Channel Wharf,South Boston,2127,45,0,45,40,0,40,5,0,5,Ownership,Private,,
Chapman House,East Boston,2128,30,30,0,22,22,0,8,8,0,Rental,Private,,
Charlame Park Homes 2A&B,Roxbury,2121,41,41,0,0,0,0,41,41,0,Rental,Private,Y,Y
Charlame Park Homes I,Roxbury,2119,92,92,0,0,0,0,92,92,0,Rental,Private,,Y
Charles Newtowne Cooperative,Charlestown,2129,262,262,0,0,0,0,262,262,0,Rental,Private,,Y
Charles Street Gardens,Charlestown,2129,21,0,21,14,0,14,7,0,7,Ownership,Private,,
Charlesbank Cooperative Corporation,Mission Hill,2120,276,0,276,274,0,274,2,0,2,Cooperative,Private,,
Charlestown (2-1),Charlestown,2129,1100,1100,0,0,0,0,1100,1100,0,Rental,Public,,
Charlestown Elderly,Charlestown,2129,42,42,0,0,0,0,42,42,0,Rental,Private,Y,
Charlestown Navy Yard Row Houses,Charlestown,2129,50,0,50,34,0,34,16,0,16,Ownership,Private,,
Charlesview Apartments,Brighton,2135,260,240,20,20,20,0,240,220,20,Rental,Private,,Y
Chauncy House,Downtown,2111,87,87,0,0,0,0,87,87,0,Rental,Private,Y,Y
Cheriton Grove,West Roxbury,2132,70,70,0,7,7,0,63,63,0,Rental,Private,Y,Y
Chestnut Avenue (p/o Self Help Apts),Jamaica Plain,2130,3,3,0,0,0,0,3,3,0,Rental,Private,,
Chestnut Hill Gardens,Brighton,2135,36,0,36,32,0,32,4,0,4,Ownership,Private,,
Chestnut Hill Park,Brighton,2135,47,0,47,45,0,45,2,0,2,Ownership,Private,,
Chestnut Hill Waterworks,Brighton,2135,108,0,108,97,0,97,11,0,11,Ownership,Private,,
Cheverus School Apts,East Boston,2128,48,48,0,1,1,0,47,47,0,Rental,Private,Y,
Chinagate Apartments,Chinatown,2111,15,15,0,0,0,0,15,15,0,Rental,Private,,Y
Church St SRO,Dorchester,2122,12,12,0,0,0,0,12,12,0,Rental,Private,,
City Square Elderly Housing,Charlestown,2129,120,120,0,1,1,0,119,119,0,Rental,Private,Y,Y
Clarendon Square,South End,2116,60,0,60,51,0,51,9,0,9,Ownership,Private,,
Clarendon-Warren Condominium,South End,2116,31,0,31,21,0,21,10,0,10,Ownership,Private,,
Cleaves Court Apts,Jamaica Plain,2119,36,36,0,0,0,0,36,36,0,Rental,Private,,
Cliffmont Condominium,Roslindale,2131,90,0,90,89,0,89,1,0,1,Ownership,Private,,
CNY - Harborview Point (Parcel 4),Charlestown,2129,224,224,0,203,203,0,21,21,0,Rental,Private,,
Codman Commons,Dorchester,2124,28,0,28,11,0,11,17,0,17,Ownership,Private,,
Codman Square Apts (2-51),Dorchester,2124,102,102,0,0,0,0,102,102,0,Rental,Public,Y,
Collins (Margaret) Apts (2-26),Jamaica Plain,2130,44,44,0,0,0,0,44,44,0,Rental,Public,Y,
Columbia Road/Lighthouse,Dorchester,2125,4,4,0,0,0,0,4,4,0,Rental,Private,,
Columbia West,Dorchester,2125,57,57,0,0,0,0,57,57,0,Rental,Private,,
Columbia-Wood Apartments,Dorchester,2121,49,49,0,1,1,0,48,48,0,Rental,Private,,Y
Comaven Apartments,Allston,2134,89,89,0,0,0,0,89,89,0,Rental,Private,,Y
Commerce Apartments,Jamaica Plain,2130,60,60,0,0,0,0,60,60,0,Rental,Private,,
"Commonwealth (2-82,-95,-96,-97)",Brighton,2135,394,394,0,0,0,0,394,394,0,Rental,Public,Y,
Commonwealth Housing,Allston,2134,118,118,0,0,0,0,118,118,0,Rental,Private,,Y
Concord Houses,South End,2118,181,181,0,10,10,0,171,171,0,Rental,Private,Y,
Concord St. Elder Housing,South End,2118,40,40,0,0,0,0,40,40,0,Rental,Private,Y,Y
Condor-Havre Garden Apartments,East Boston,2128,7,7,0,0,0,0,7,7,0,Rental,Private,,
Continuum (Barry's Corner),Allston,2134,325,325,0,283,283,0,42,42,0,Rental,Private,,
Conway Court,Roslindale,2131,28,28,0,0,0,0,28,28,0,Rental,Private,,
Coppersmith Village Ownership,East Boston,2128,15,0,15,7,0,7,8,0,8,Ownership,Private,,
Coppersmith Village Rental,East Boston,2128,56,56,0,15,15,0,41,41,0,Rental,Private,,
Cortes Street SRO,Bay Village,2116,41,41,0,1,1,0,40,40,0,Rental,Private,,
Costello Homes,South Boston,2127,15,0,15,7,0,7,8,0,8,Ownership,Private,,
Cote Village Townhomes,Mattapan,2126,24,24,0,0,0,0,24,24,0,Rental,Private,,
Cottage Brook Apartments,Roxbury,2125,147,147,0,0,0,0,147,147,0,Rental,Private,,Y
Council of Elders,Roxbury,2119,145,145,0,1,1,0,144,144,0,Rental,Private,Y,Y
Court St SRO,Downtown,2108,96,96,0,0,0,0,96,96,0,Rental,Private,,
Courtyard at Cedar Grove,Dorchester,2124,18,0,18,16,0,16,2,0,2,Ownership,Private,,
Covenant House 202,Brighton,2135,242,242,0,1,1,0,241,241,0,Rental,Private,Y,Y
Cox Building,Roxbury,2119,31,31,0,0,0,0,31,31,0,Rental,Private,,Y
Crawford House Apts,Roxbury,2121,9,9,0,0,0,0,9,9,0,Rental,Private,,Y
Creighton Commons Condominiums,Jamaica Plain,2130,16,0,16,0,0,0,16,0,16,Ownership,Private,,
Crittenton Hastings House,Brighton,2135,62,62,0,0,0,0,62,62,0,Rental,Private,,
Cummins Towers,Roslindale,2131,239,239,0,59,59,0,180,180,0,Rental,Private,,
D4 Police Station,South End,2136,26,0,26,24,0,24,2,0,2,Ownership,Private,,
Dacia Residence at Beauford Green,Roxbury,2125,29,0,29,0,0,0,29,0,29,Ownership,Private,,
Danube Apartments,Dorchester,2121,65,65,0,0,0,0,65,65,0,Rental,Private,,Y
DaRosa (VUP),Dorchester,2122,1,1,0,0,0,0,1,1,0,Rental,Private,,
Dartmouth Hotel,Charlestown,2129,71,71,0,7,7,0,64,64,0,Rental,Private,,
DARTMOUTH TCB,Roxbury,2118,83,83,0,0,0,0,83,83,0,Rental,Private,,
Davenport Commons,Roxbury,2120,60,0,60,48,0,48,12,0,12,Ownership,Private,,
Davis (VUP),Roxbury,2125,2,2,0,0,0,0,2,2,0,Rental,Private,,
Davison (2-34),Hyde Park,2136,47,47,0,1,1,0,46,46,0,Rental,Public,Y,
DeMarco (VUP),East Boston,2128,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Derne Street Lodging Home,Beacon Hill,2114,18,18,0,0,0,0,18,18,0,Rental,Private,,
Dexter Building,Downtown,2111,58,0,58,57,0,57,1,0,1,Ownership,Private,,
DiGirolamo (VUP),East Boston,2128,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Dillon (VUP),Dorchester,2122,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Dimock-Bragdon Apartments,Jamaica Plain,2119,54,54,0,0,0,0,54,54,0,Rental,Private,Y,Y
Dirigo Spice Building,South Boston,2127,17,0,17,16,0,16,1,0,1,Ownership,Private,,
Disilvio (VUP),East Boston,2128,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Distillery Project Phase I,South Boston,2127,28,28,0,24,24,0,4,4,0,Rental,Private,,
Ditson St Senior Housing,Dorchester,2122,40,40,0,0,0,0,40,40,0,Rental,Private,Y,
DNA Lofts,Dorchester,2125,59,0,59,51,0,51,8,0,8,Ownership,Private,,
Domicilia I & II,Dorchester,2122,10,10,0,0,0,0,10,10,0,Rental,Private,Y,Y
Domicilia III,Jamaica Plain,2130,8,8,0,0,0,0,8,8,0,Rental,Private,,Y
Dorchester House,Dorchester,2122,91,91,0,0,0,0,91,91,0,Rental,Private,Y,Y
Douglas Park,Roxbury,2118,166,166,0,36,36,0,130,130,0,Rental,Private,,
Dover Lofts,South End,2118,16,0,16,14,0,14,2,0,2,Ownership,Private,,
Drayton Homes,Dorchester,2125,12,0,12,0,0,0,12,0,12,Ownership,Private,,
Dudley Greenville,Roxbury,2119,43,43,0,0,0,0,43,43,0,Rental,Private,,
Dudley Street Apts,Roxbury,2119,26,26,0,0,0,0,26,26,0,Rental,Private,,
Dudley Terrace,Dorchester,2125,56,56,0,2,2,0,54,54,0,Rental,Private,,
Dudley Village Phase I (North),Dorchester,2125,24,24,0,0,0,0,24,24,0,Rental,Private,,
Dudley Village Phase II (South),Dorchester,2125,26,26,0,0,0,0,26,26,0,Rental,Private,,
Dumas|Mascot Neighborhood Homes,Dorchester,2124,7,3,4,2,1,1,5,2,3,Ownership/Rental,Private,,
Dunmore Place,Roxbury,2119,6,6,0,0,0,0,6,6,0,Rental,Private,,
Dwight St Apts,South End,2118,9,9,0,0,0,0,9,9,0,Rental,Private,,
Eagle Hill Rehab,East Boston,2128,17,17,0,0,0,0,17,17,0,Rental,Private,,
East Berkeley Street,South End,2118,35,11,24,12,0,12,23,11,12,Ownership/Rental,Private,,
East Canton St Apts,South End,2118,80,80,0,0,0,0,80,80,0,Rental,Private,Y,Y
East Springfield/Northampton Streets,South End,2118,10,0,10,1,0,1,9,0,9,Ownership,Private,,
Ebenezer Homes,South End,2118,32,32,0,0,0,0,32,32,0,Rental,Private,Y,Y
"Echelon (Seaport Square Block M) Towers 1, 2, and 3",South Boston Waterfront,2127,717,270,447,689,246,443,28,24,4,Ownership/Rental,Private,,
Edison Green,Dorchester,2125,95,95,0,1,1,0,94,94,0,Rental,Private,Y,Y
