Project Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income- Restricted,Income- Restricted Rental,Income- Restricted Ownership,Tenure,Public/ Private,Includes Elderly Units?,Section_8
x Marion Place,East Boston,02128,1,0,1,0,0,0,1,1,0,Ownership,Private,,
x Otisfield St (BuildHome),Roxbury,02121,1,0,1,0,0,0,1,0,1,Ownership,Private,,
1 Page St (James VUP),Roxbury,02121,2,2,0,0,0,0,2,2,0,Rental,Private,,
10 Cameron Street,Dorchester,02125,3,3,0,0,0,0,3,3,0,Rental,Private,,
10 Roxbury St,Roxbury,02119,11,11,0,9,9,0,2,2,0,Rental,Private,,
10 Verrill St & 130-134 Ballou Ave,Mattapan,02124,18,18,0,0,0,0,18,18,0,Rental,Private,,
100 Devon Street,Roxbury,02121,3,3,0,0,0,0,3,3,0,Rental,Private,,
100 Pier 4,South Boston,02110,369,369,0,337,337,0,32,32,0,Rental,Private,,
x Harrishof St,Roxbury,02121,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
x Minden St,Jamaica Plain,02130,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Glenway Street (1-4),Roxbury,02121,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
109 Mt. Pleasant Avenue,Roxbury,02119,8,8,0,0,0,0,8,8,0,Rental,Private,,
109 West 7th St (BRA acq),South Boston,02127,15,0,15,0,0,0,15,0,15,Ownership,Private,,
109-115 Stanwood St,Roxbury,02121,12,12,0,10,10,0,2,2,0,Rental,Private,,
11 Dorchester St,South Boston,02127,30,0,30,26,0,26,4,0,4,Ownership,Private,,
x Hutchings Street,Roxbury,02121,1,0,1,0,0,0,1,0,1,Ownership,Private,,
110 Gladstone St (AOP),East Boston,02128,3,3,0,0,0,0,3,3,0,Rental,Private,,
1107-1115 Harrison Ave,Roxbury,02119,15,15,0,0,0,0,15,15,0,Rental,Private,,
111 Beach St. Loft Condominium,Central,02111,44,0,44,41,0,41,3,0,3,Ownership,Private,,
x Everett St,East Boston,02128,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
11-13 Blackinton St (AOP),East Boston,02128,2,2,0,0,0,0,2,2,0,Rental,Private,,
112-114 St. Andrew Rd (AOP),East Boston,02128,3,3,0,0,0,0,3,3,0,Rental,Private,,
112-120 Savin Hill Ave,Dorchester,02125,14,14,0,13,13,0,1,1,0,Rental,Private,,
115 Boardman St,East Boston,02128,6,6,0,0,0,0,6,6,0,Rental,Public,,
x Glenway Street,Roxbury,02121,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
116 and 120-122 Mt. Pleasant Avenue,Roxbury,02119,9,9,0,0,0,0,9,9,0,Rental,Private,,
x Ruskindale Road,Roxbury,02136,1,0,1,0,0,0,1,0,1,Ownership,Private,,
118 Falcon St (AOP),East Boston,02128,2,2,0,0,0,0,2,2,0,Rental,Private,,
x Fairland St,Roxbury,02119,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,
12 Landor Road,Mattapan,02126,3,3,0,0,0,0,3,3,0,Rental,Private,,
12 Wildwood Street,Mattapan,02124,3,3,0,0,0,0,3,3,0,Rental,Private,,
120 Mountfort St,Fenway/Kenmore,02215,37,37,0,33,33,0,4,4,0,Rental,Private,,
x Park St,Dorchester,02122,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
120 West 7th Street,South Boston,02127,25,0,25,24,0,24,1,0,1,Ownership,Private,,
1202 Commonwealth Avenue,Allston/Brighton,02134,61,61,0,1,1,0,60,60,0,Rental,Private,,
x Blue Hill Ave,Roxbury,02119,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
12-14 Dixwell St (p/o Self Help Apts ),Roxbury,02119,6,6,0,0,0,0,6,6,0,Rental,Private,,
122 Blue Hill Ave,Roxbury,02119,2,2,0,0,0,0,2,2,0,Rental,Private,,
x Homes Ave Development,Dorchester,02122,1,0,1,0,0,0,1,0,1,Ownership,Private,,
xx Blue Hill Ave,Roxbury,02119,3,2,1,0,0,0,3,1,2,Ownership/Rental,Private,,
123 Crawford Street SRO,Roxbury,02121,17,17,0,0,0,0,17,17,0,Rental - SRO,Private,,
x Glenway St,Roxbury,02121,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
1258-1272 Massachusetts Ave,Dorchester,02125,40,40,0,35,35,0,5,5,0,Rental,Private,,
x Woodrow Ave,Mattapan,02124,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
128-130 Park St Lodging House,Dorchester,02122,16,16,0,0,0,0,16,16,0,Rental - SRO,Private,,
13 Shetland St,Roxbury,02119,57,57,0,50,50,0,7,7,0,Rental,Private,,
1302-1330 Boylston,Fenway/Kenmore,02215,199,199,0,189,189,0,10,10,0,Rental,Private,,
131 Green Street,Jamaica Plain,02130,21,0,21,18,0,18,3,0,3,Ownership,Private,,
131 Zeigler Street,Roxbury,02119,8,8,0,0,0,0,8,8,0,Rental,Private,,
1317 Blue Hill Ave,Mattapan,02126,13,0,13,12,0,12,1,0,1,Ownership,Private,,
135 Athens St,South Boston,02127,15,0,15,13,0,13,2,0,2,Ownership,Private,,
1350 Boylston Street,Fenway/Kenmore,02215,212,212,0,188,188,0,24,24,0,Rental,Private,,
136 Blue Hill Ave,Roxbury,02119,10,10,0,0,0,0,10,10,0,Rental,Public,,
138 Blue Hill Ave,Roxbury,02119,4,4,0,0,0,0,4,4,0,Rental,Private,,
x Stoughton Neighborhood Homes,Dorchester,02125,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
1392 House (SPO),Dorchester,02122,12,12,0,0,0,0,12,12,0,Rental,Private,,
x Birch Rd,West Roxbury,02122,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Rockland Avenue,Roxbury,02119,1,0,1,0,0,0,1,0,1,Ownership,Private,,
14 West Broadway,South Boston,02127,49,0,49,43,0,43,6,0,6,Ownership,Private,,
140 Harvard Street,Roxbury,02124,3,3,0,0,0,0,3,3,0,Rental,Private,,
x B Street,South Boston,02127,3,0,3,2,0,2,1,0,1,Ownership,Private,,
x Lexington St (1-4 Program),East Boston,02128,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Draper St (BuildHOME),Dorchester,02122,2,1,1,1,1,0,1,0,1,Ownership/Rental,Private,,
x Evans Street,Mattapan,02124,1,0,1,0,0,0,1,0,1,Ownership,Private,,
14-16 Huckins St,Roxbury,02119,4,4,0,0,0,0,4,4,0,Cooperative,Private,,
14-16 North Ave/YouthBuild,Roxbury,02119,1,1,0,0,0,0,1,1,0,Rental,Private,,
142-148 Hemenway,Fenway/Kenmore,02115,15,15,0,0,0,0,15,15,0,Rental,Private,,
144 Arlington St (AOP),Hyde Park,02136,4,4,0,0,0,0,4,4,0,Rental,Private,,
1460 Dorchester Ave. (SPO),Dorchester,02122,43,43,0,0,0,0,43,43,0,Rental,Private,,
1467 Tremont Street,Jamaica Plain,02120,18,18,0,16,16,0,2,2,0,Rental,Private,,
1478 Washington St,South End,02118,15,15,0,,0,0,15,15,0,Rental,public,,
1478-1486 Tremont Street,Jamaica Plain,02120,66,66,0,65,65,0,1,1,0,Rental,Private,,
x Eustis Street,Roxbury,02119,1,0,1,0,0,0,1,0,1,Ownership,Private,,
15 Morse Street,Roxbury,02121,6,6,0,0,0,0,6,6,0,Rental,Private,,
150 Chestnut Hill Ave,Allston/Brighton,02135,21,21,0,18,18,0,3,3,0,Rental,Private,,
150 West Broadway,South Boston,02127,24,0,24,21,0,21,3,0,3,Ownership,Private,,
1505 Commonwealth Ave,Allston/Brighton,02135,80,80,0,70,70,0,10,10,0,Rental,Private,,
15-25 Hemenway Coop,Fenway/Kenmore,02115,24,24,0,11,11,0,13,13,0,Cooperative,Private,,
x Highland St E+ ,Roxbury,02119,4,0,4,3,0,3,1,0,1,Ownership,Private,,
157 Washington St AB&W Cooperative Building,Roxbury,02121,24,24,0,0,0,0,24,24,0,Rental,Private,,
1580-1582 River St,Hyde Park,02136,32,32,0,28,28,0,4,4,0,Rental,Private,,
16 Boardman,East Boston,02128,19,19,0,17,0,17,2,0,2,Ownership,Private,,
x Greenbrier St (BuildHome) ,Dorchester,02124,2,1,1,1,1,0,1,0,1,Ownership/Rental,Private,,
16-20 Peterborough,Fenway/Kenmore,02215,20,20,0,17,17,0,3,3,0,Rental,Private,,
168 Leyden St (AOP),East Boston,02128,3,3,0,0,0,0,3,3,0,Rental,Private,,
168 Putnam St (AOP),East Boston,02128,3,3,0,0,0,0,3,3,0,Rental,Private,,
17 Dunlap Street,Dorchester,02124,3,3,0,0,0,0,3,3,0,Rental,Private,,
17 Lexington Ave (AOP),Hyde Park,02136,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Tremlett Street,Dorchester,02124,2,1,1,1,1,0,1,0,1,Ownership/Rental,Private,,
170 W Broadway,South Boston,02127,33,0,33,29,0,29,4,0,4,Ownership,Private,,
1734 (1740) Washington St,South End,02118,33,33,0,2,2,0,31,31,0,Rental - SRO,Private,,
176 Humboldt Avenue-202,Roxbury,02121,12,12,0,0,0,0,12,12,0,Rental - Senior,Private,Y,
x Howard Ave,Roxbury,02125,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
18 Robert Street,Roslindale,02131,14,14,0,13,13,0,1,1,0,Rental,Private,,
18-20 Dixwell St (p/o Self-Help Apts),Roxbury,02119,6,6,0,0,0,0,6,6,0,Rental,Private,,
x Bennington St. EBO 02128-COB,East Boston,02128,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
x Magnolia St,Roxbury,02125,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Marion St,East Boston,02128,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
192 Brooks St (AOP),East Boston,02128,3,3,0,0,0,0,3,3,0,Rental,Private,,
xx Marion St,East Boston,02128,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
1943 Dorchester Av,Dorchester,02124,64,0,64,56,56,0,8,8,0,Rental,Private,,
xxx Marion St,East Boston,02128,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Lexington/x Putnam (1-4),East Boston,02128,4,0,4,0,0,0,4,0,4,Ownership,Private,,
1990 Columbus Avenue,Roxbury,02119,165,165,0,0,0,0,165,165,0,Rental - Senior,Public,Y,
2 Ashland St,Dorchester,02122,6,6,0,0,0,0,6,6,0,Rental,Public,,
x Corman Road Mattapan -COB,Mattapan,02126,2,1,1,1,0,1,1,0,1,Ownership,Private,,
2 Hawthorne Pl,Central,02114,480,0,480,479,0,479,1,0,1,Ownership/Rental,Private,,
x Murray Ave,Roxbury,02119,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Catawba St - Youthbuild,Roxbury,02119,3,2,1,1,1,0,2,1,1,Ownership/Rental,Private,,
x Chipman St (RDP),Dorchester,02124,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Cranston St,Jamaica Plain,02130,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Intervale St (RDP),Roxbury,02121,1,0,1,0,0,0,1,0,1,Ownership,Private,,
20 Tafthill Park,Roslindale,02131,19,0,19,17,0,17,2,0,2,Ownership,Private,,
2000 Columbus Ave,Roxbury,02119,5,5,0,0,0,0,5,5,0,Rental,Private,,
xx Magnolia St,Roxbury,02121,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
2020 Dorchester Ave,Dorchester,02124,6,6,0,0,0,0,6,6,0,Rental,Private,,
206-212 W Broadway [Seaport Square Block M Offsite],South Boston,02127,16,16,0,0,0,0,16,16,0,Rental,Private,,
208 Princeton St (AOP),East Boston,02128,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Saratoga St,East Boston,02128,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
x Chelsea St (1-4 Program),East Boston,02128,4,0,4,0,0,0,4,0,4,Ownership,Private,,
x Chestnut Ave (1-4 Program),Jamaica Plain,02130,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Dacia Street,Roxbury,02125,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
x Schuyler St (BuildHome),Roxbury,02121,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Westminister Ave,Roxbury,02119,4,0,4,0,0,0,4,0,4,Ownership,Private,,
210 D St,South Boston,02127,8,8,0,0,0,0,8,8,0,Rental,Private,,
210-212 Northampton Apts,South End,02118,9,9,0,0,0,0,9,9,0,Rental,Private,,
212-214 Market St,Allston/Brighton,02135,29,0,29,25,0,25,4,0,4,Ownership,Private,,
21-23 Dixwell St,Roxbury,02119,6,6,0,0,0,0,6,6,0,Rental,Private,,
218 E Eagle Street (AOP),East Boston,02128,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Mallon Road,Dorchester,02121,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Rockwell Street,Dorchester,02124,1,0,1,0,0,0,1,0,1,Ownership,Private,,
22-24 Huckins St,Roxbury,02119,4,4,0,0,0,0,4,4,0,Cooperative,Private,,
22-26 West Broadway,South Boston,02127,31,31,0,27,27,0,4,4,0,Rental,Private,,
x Chelsea Street E. Boston - COB,East Boston,02128,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
225 Centre Street,Roxbury,02119,103,103,0,68,68,0,35,35,0,Rental,Public/Private,,
x Princeton Street (1-4),East Boston,02128,3,0,3,0,0,0,3,0,3,Ownership,Private,,
23 Bowdoin St,Dorchester,02124,3,3,0,0,0,0,3,3,0,Rental,Public,,
23 Greenwich Park*,South End,02118,5,5,0,0,0,0,5,5,0,Rental,Private,,
x Puritan Ave,Dorchester,02121,1,0,1,0,0,0,1,0,1,Ownership,Private,,
230 Bennington St (AOP),East Boston,02128,2,2,0,0,0,0,2,2,0,Rental,Private,,
x Quincy St,Roxbury,02125,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
232 Old Colony,South Boston,02127,24,0,24,21,0,21,3,0,3,Ownership,Private,,
233 Hancock,Dorchester,02125,36,36,0,15,15,0,21,21,0,Rental,Private,,
24 Alpine Street,Roxbury,02119,3,3,0,0,0,0,3,3,0,Rental,Private,,
x West Broadway,South Boston,02127,3,0,3,0,0,0,3,0,3,Ownership,Private,,
245 Sumner Street,East Boston,02128,34,34,0,29,29,0,5,5,0,Rental,Private,,
2473 Washington (Archer/Bonell),Roxbury,02119,12,12,0,11,11,0,1,1,0,Rental,Private,,
25 Bowdoin St,Dorchester,02124,2,2,0,0,0,0,2,2,0,Rental,Public,,
25 Chaucer St (AOP),East Boston,02128,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Dale Street Condominium,Roxbury,02119,4,0,4,0,0,0,4,0,4,Ownership,Private,,
25 Miner Street,Fenway/Kenmore,02215,49,49,0,43,43,0,6,6,0,Rental,Private,,
x Nelson Street,Mattapan,02124,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
25 Ruggles Assisted Living,Roxbury,02119,43,43,0,0,0,0,43,43,0,Rental - Senior,Private,Y,
251-255 Dorchester St.,South Boston,02127,7,7,0,0,0,0,7,7,0,Rental,Private,,
257 Humboldt Avenue,Roxbury,02121,3,3,0,0,0,0,3,3,0,Rental,Private,,
26 Hichborn St,Allston/Brighton,02135,23,0,23,20,0,20,3,3,0,Rental,Private,,
x Itasca Street,Mattapan,02126,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Savin Street,Roxbury,02119,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
26 Stillman St. Conodminium,Central,02113,28,0,28,25,0,25,3,0,3,Ownership,Private,,
266 Maverick St (AOP),East Boston,02128,3,3,0,0,0,0,3,3,0,Rental,Private,,
269-285 Columbus Ave Conversion,South End,02116,62,0,62,54,0,54,8,0,8,Ownership,Private,,
x Arbutus (YouthBuild),Mattapan,02124,2,0,2,0,0,0,2,0,2,Ownership,Private,,
x Arbutus Street,Roxbury,02124,2,0,2,0,0,0,2,0,2,Ownership,Private,,
27 Chaucer St (AOP),East Boston,02128,2,2,0,0,0,0,2,2,0,Rental,Private,,
27 H Street,South Boston,02127,11,0,11,10,0,10,1,0,1,Ownership,Private,,
x Norwell St - YouthBuild,Dorchester,02121,1,0,1,0,0,0,1,0,1,Ownership,Private,,
275 Old Colony Ave,South Boston,02127,14,0,14,12,0,12,2,0,2,Ownership,Private,,
x Bushnell St,Dorchester,02124,1,0,1,0,0,0,1,0,1,Ownership,Private,,
28 Mt. Pleasant Ave SRO,Roxbury,02119,20,20,0,0,0,0,20,20,0,Rental - SRO,Private,,
285 Cetnre Street,Jamaica Plain,02130,204,204,0,0,0,0,204,204,0,Rental,Public,,
xx Lexington St (1-4 Program),East Boston,02128,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Dunreath St (RDP),Roxbury,02119,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
x Leighton Rd,Hyde Park,02136,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Mount Everett NHI,Dorchester,02125,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Oak Street (AOP),Central,02111,3,0,3,0,0,0,3,0,3,Ownership,Private,,
29 Peterborough Street,Fenway/Kenmore,02215,11,11,0,10,10,0,1,1,0,Rental,Private,,
x Clarkson St,Dorchester,02125,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Murray Ave (1-4),Roxbury,02119,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
30 B Street,South Boston,02127,32,0,32,28,0,28,4,0,4,Ownership,Private,,
x Medford St,Charlestown,02129,3,0,3,0,0,0,3,0,3,Ownership,Private,,
302 Eustis Street,Roxbury,02119,14,14,0,0,0,0,14,14,0,Rental,Private,,
31 N Beacon St Mixed Use Development,Allston/Brighton,02134,20,20,0,17,17,0,3,3,0,Rental,Private,,
31 Orleans Street,East Boston,02128,14,0,14,12,0,12,2,0,2,Ownership,Private,,
x Rill St (BuildHome),Dorchester,02125,2,1,1,1,1,0,1,0,1,Ownership/Rental,Private,,
310 Saratoga St (AOP),East Boston,02128,3,3,0,0,0,0,3,3,0,Rental,Private,,
31-33 Ellington St,Roxbury,02121,6,6,0,0,0,0,6,6,0,Cooperative,Private,,
x Woodville,Roxbury,02119,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
314 Chelsea St (AOP),East Boston,02128,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Warren Street (1-4),Roxbury,02119,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
316-324 Talbot Avenue,Dorchester,02124,7,7,0,0,0,0,7,7,0,Rental,Private,,
319 A Street Front,South Boston,02127,48,0,48,44,0,44,4,0,4,Ownership,Private,,
3193 Washington St,Roxbury,02130,40,0,40,33,0,33,7,0,7,Ownership,Private,,
32 Boylston St,Central,02116,18,18,0,16,16,0,2,2,0,Rental,Private,,
x Gaston (RDP),Roxbury,02121,1,0,1,0,0,0,1,0,1,Ownership,Private,,
320 Maverick St,East Boston,02128,33,0,33,29,0,29,4,0,4,Ownership,Private,,
3200 Washington St,Roxbury,02130,76,73,3,64,64,0,12,9,3,Ownership/Rental,Private,,
321 West Second St Condos,South Boston,02127,15,0,15,13,0,13,2,0,2,Ownership,Private,,
x Washington St,Roxbury,02130,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
33 Breed St (AOP),East Boston,02128,2,2,0,0,0,0,2,2,0,Rental,Private,,
33 Harold Street,Roxbury,02119,3,3,0,0,0,0,3,3,0,Rental,Private,,
x West Walnut Pk.,Roxbury,02119,1,0,1,0,0,0,1,0,1,Ownership,Private,,
330 Summit Aveue,Allston/Brighton,02135,15,0,15,14,0,14,1,0,1,Ownership,Private,,
333-339 West Broadway,South Boston,02127,15,15,0,13,13,0,2,2,0,Ownership,Private,,
3383-3389 Washington St,Jamaica Plain,02130,21,21,0,17,17,0,4,4,0,Rental,Private,,
34 Algonquin St,Dorchester,02124,9,9,0,1,1,0,8,8,0,Rental,Private,,
x Hendry St,Dorchester,02122,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
3-4 Holborn Terrace,Roxbury,02121,8,8,0,0,0,0,8,8,0,Rental,Private,,
x Norwell Street,Dorchester,02121,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Wayland St. Dorchester - COB,Dorchester,02125,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
340 W Second,South Boston,02127,29,0,29,25,0,25,4,0,4,Ownership,Private,,
345 Harrison Ave ,South End,02118,585,585,0,527,527,0,58,58,0,Rental,Private,,
x W Second St,South Boston,02127,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Nightingale Street,Roxbury,02124,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
35 South Huntington,JAMAICA PLAIN,02116,38,38,0,33,33,0,5,5,0,Rental,Private,,
35 W Newton St,South End,02118,28,28,0,1,1,0,27,27,0,Rental,Private,,
35-45 Coffey St,Dorchester,02122,46,46,0,43,43,0,3,3,0,Rental,Private,,
36 A Street,South Boston,02127,25,0,25,22,0,22,3,0,3,Ownership,Private,,
x Hawthorne Street,Roxbury,02119,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
360 Newbury - Virgin Records,Back Bay/Beacon Hill,02115,54,0,54,49,0,49,5,0,5,Ownership,Private,,
x Colonial Avenue E+,Dorchester,02124,4,0,4,3,0,3,1,0,1,Ownership,Private,,
367 Neponset Ave,Dorchester,02122,22,22,0,19,19,0,3,3,0,Rental,Private,,
x Norfolk Street (RDP),Mattapan,02124,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Maywood Street,Roxbury,02119,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,
37 Ridgewood St. (REO),Dorchester,02122,3,3,0,0,0,0,3,3,0,Rental,Private,,
371-373 Blue Hill Ave (REMS buildings),Roxbury,02121,2,2,0,0,0,0,2,2,0,Rental,Private,,
375 Market Street,Allston/Brighton,02135,39,39,0,34,34,0,5,5,0,Rental,Private,,
38 East Springfield St,South End,02118,5,5,0,0,0,0,5,5,0,Rental,Private,,Y
381 Congress Street,South Boston,02127,44,44,0,40,40,0,4,4,0,Rental,Private,,
39 A Street,South Boston,02127,23,0,23,20,0,20,3,0,3,Ownership,Private,,
394 & 404 West Second St,South Boston,02127,17,0,17,14,0,14,3,0,3,Ownership,Private,,
394 Washington St Lodging,Dorchester,02124,10,10,0,0,0,0,10,10,0,Rental - SRO,Private,,
x Lawnwood Place Project,Charlestown,02129,9,0,9,5,0,5,4,0,4,Ownership,Private,,
4 Union Ave,Jamaica Plain,02130,59,59,0,0,0,0,59,59,0,Rental - Homeless,Private,,
xWellesley Park,Dorchester,02124,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
40 Boylston Street,Central,02116,48,48,0,45,45,0,3,3,0,Rental,Private,,
40 Fisher Ave,Jamaica Plain,02120,15,15,0,13,13,0,2,2,0,Rental,Private,,
40 Malvern St,Allston/Brighton,02134,48,48,0,42,42,0,6,6,0,Rental,Private,,
400 Bremen St (AOP),East Boston,02128,3,3,0,0,0,0,3,3,0,Rental,Private,,
4040 Washington Street,Roslindale,02131,28,0,28,27,0,27,1,0,1,Ownership,Private,,
x Harrison Avenue,South End,02118,4,0,4,3,0,3,1,0,1,Ownership/Rental,Private,,
410 West Broadway,South Boston,02127,24,24,0,21,0,21,3,0,3,Ownership,Private,,
411 D Street,South Boston,02127,197,197,0,171,171,0,26,26,0,Rental,Private,,
x Talbot Ave,Dorchester,02124,4,3,1,0,0,0,4,3,1,Ownership/Rental,Private,,
41-43 Saratoga Street,East Boston,02128,18,18,0,15,15,0,3,3,0,Rental,Private,,
42 Chauncy Street Condominium,Central,02111,33,0,33,29,0,29,4,0,4,Ownership,Private,,
42 Winston Rd,Mattapan,02126,6,6,0,0,0,0,6,6,0,Rental,Private,,
420 W Broadway,South Boston,02127,42,0,42,37,0,37,5,0,5,Ownership,Private,,
422 River St (AOP),Mattapan,02126,27,27,0,0,0,0,27,27,0,Rental,Private,,
x Seaver Street,Roxbury,02121,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Massachusetts Avenue,South End,02118,10,0,10,8,0,8,2,0,2,Ownership,Private,,
42-44 St Andrew Rd (AOP),East Boston,02128,3,3,0,0,0,0,3,3,0,Rental,Private,,
