App Number,App Name,Status,Application Date,Issued Date,Location Description,Street Number,Street Name,Street Suffix,City,Zip Code,Start Date and Time,End Date and Time
PUB457154,Youth Community Day,Open,,,162 Woodrow Avenue,162 to 164,Woodrow,AV,Dorchester,02124,2015-06-27,2015-06-27
PUB457152,Youth Community Day,Open,,,162 Woodrow Avenue,162 to 164,Woodrow,AV,Dorchester,02124,2015-06-27,2015-06-27
PUB457151,Youth Community Day,Open,,,162 Woodrow Avenue,162 to 164,Woodrow,AV,Dorchester,02124,2015-06-27,2015-06-27
PUB457149,Youth Community Day,Open,,,162 Woodrow Avenue,162 to 164,Woodrow,AV,Dorchester,02124,2015-06-27,2015-06-27
PUB457144,Youth Community,Open,,,162 Woodrow Avenue,162 to 164,Woodrow,AV,Dorchester,02124,2015-06-27,2015-06-27
PUB457135,Youth Community Day,Closed,,2015-04-24 04:11:33+00,162 Woodrow Avenue,162 to 164,Woodrow,AV,Dorchester,02124,2015-06-27,2015-06-27
PUB457048,Dimock 5k Walk/Run,Open,,,Roxbury neighborhood. (See attached),55,Dimock,ST,Roxbury,02119,2015-09-13,2015-09-13
PUB457044,Dimock 5k Walk/Run,Closed,,2015-04-24 04:11:29+00,Roxbury neighborhood. (See attached),55,Dimock,ST,Roxbury,02119,2015-09-13,2015-09-13
PUB456723,Mobile Center for American Val,Open,,,City Hall Plaza,1,City Hall,PZ,Boston,02114,2015-09-15,2015-09-19
PUB456722,Mobile Center for American Val,Closed,,2015-04-24 04:11:26+00,City Hall Plaza,1,City Hall,PZ,Boston,02114,2015-09-15,2015-09-19
PUB457491,Harvard Medical School,Open,,,"25 Shattuck Street Boston, MA 02115",25,Shattuck,ST,Boston,02115,2015-05-28,2015-05-28
PUB457575,Donna Summer Disco Part,Closed,,2015-04-24 04:11:42+00,City Hall Plaza,1,City Hall,PZ,Boston,02114,2015-06-19,2015-06-19
PUB1163390,,Open,,,asldlsadlsldk,1,City Hall,PZ,Boston,02114,2021-02-20,2021-02-20
PUB626691,Casino Royale,Open,,,Residence Inn Boston Harbor Tudor Wharf,44,Charles River,AV,Charlestown,02129,2016-09-16,2016-09-16
PUB354146,Together Boston,Closed,,,"District Hall, 75 Nothern Ave, Seaport, Boston. Daytime only, 11am-6pm",75,Northern,AV,Boston,02210,2014-05-15,2014-05-18
PUB354145,Together Boston,Closed,,,"District Hall, 75 Nothern Ave, Seaport, Boston. Daytime only, 11am-6pm",75,Northern,AV,Boston,02210,2014-05-15,2014-05-18
PUB354144,Together Boston,Closed,,,"District Hall, 75 Nothern Ave, Seaport, Boston. Daytime only, 11am-6pm",75,Northern,AV,Boston,02210,2014-05-15,2014-05-18
PUB626694,Casino Royale,Open,,,Residence Inn Boston Harbor Tudor Wharf,44,Charles River,AV,Charlestown,02129,2016-09-16,2016-09-16
PUB1378118,,Open,,,Roemer Plaza space only.,20,Somerset,ST,Boston,02108,2022-09-01,2022-09-04
PUB1163387,,Open,,,dlkfldkfl,1,City Hall,PZ,Boston,02114,2021-02-25,2021-02-26
PUB457582,Donna Summer Disco Party,Open,,,City Hall Plaza,1,City Hall,PZ,Boston,02114,2015-06-19,2015-06-19
PUB457596,Air Force Association Veterans,Closed,,2015-04-24 04:11:43+00,A yet to be defined 5K road route,665,Boylston,ST,Boston,02116,2015-11-08,2015-11-08
PUB1385970,Celtics,Open,,,"(NEW LOCATION)
Harambee Park Courts",1917,Washington,ST,Roxbury,02118,2022-10-10,2022-10-10
PUB1677367,Winter Jam in West Village,Open,2024-12-10 19:05:57+00,,"West Village Quad, 15 Tavern Rd, Boston, MA 02115. ",360,Huntington,AV,Boston,02115,2025-01-21,2025-01-21
PUB1677364,Winter Children's Festival,Open,2024-12-10 19:02:02+00,,,38,Beacon,ST,Boston,02116,2025-02-19,2025-02-19
PUB1676922,Marfan Foundation WFV,Open,2024-12-09 15:26:14+00,,,100,Atlantic,AV,Boston,02110,2025-06-21,2025-06-21
PUB1676480,Tree Lighting & Churros + Chocolate,Open,2024-12-06 12:46:31+00,,Robert Lawson Park,3,Atherton,ST,Roxbury,02119,2024-12-14,2024-12-14
PUB1675676,Lion Dance Parade,Open,2024-12-03 18:22:54+00,,various streets in Boston's Chinatown,1 to 3,Harrison,AV,Boston,02111,2025-02-09,2025-02-09
PUB1675620,REVIVAL GOSPEL AWAKENING,Open,2024-12-03 16:42:26+00,,Boston Common Parkman Band Stand,0,Boston Common, ,Boston,02108,2025-05-14,2025-05-16
PUB1675425,Anthro New England Food Trucks,Open,2024-12-02 22:56:17+00,,,400,D,ST,Boston,02127,2025-01-17,2025-01-19
PUB1674987,The Anchor Boston,Open,2024-12-02 05:41:52+00,,,36,First,AV,Charlestown,02129,2025-01-01,2025-12-31
PUB1674806,Public Menorah Lighting Ceremony,Open,2024-11-27 19:43:58+00,,,33,Sumner,ST,East Boston,02128,2024-12-29,2024-12-29
PUB1674383,CeleBETTY Sighting,Open,2024-11-26 16:05:00+00,,,70,Pier 4,BL,Boston,02210,2024-12-06,2024-12-06
PUB1674109,United Revival,Open,2024-11-25 22:51:52+00,,,139,Tremont,ST,Boston,02116,2025-05-24,2025-05-24
PUB1673226,Winter Warmer,Open,2024-11-21 21:53:10+00,,Rose Kennedy Greenay,170,Milk,ST,Boston,02109,2024-12-21,2024-12-21
PUB1672737,WWE RAW on Netflix Fan Walkout,Open,2024-11-20 16:46:00+00,,,53 to 85,Canal,ST,Boston,02114,2024-12-16,2024-12-16
PUB1672394,Levain Bakery Grand Opening,Open,2024-11-19 17:58:54+00,,,101,Seaport,BL,Boston,02210,2024-11-20,2024-11-20
PUB1672103,Thanksgiving Football,Open,2024-11-18 19:17:18+00,,Harvard Stadium,70 to 0,NORTH HARVARD, ,BRIGHTON,02135,2024-11-28,2024-11-28
PUB1672061,Community Safety Tailgate ,Open,2024-11-18 18:16:04+00,,Syrian Temple Parking Lot - Opposite 14 Darlington Street,14,Darlington,ST,Dorchester,02124,2024-11-24,2024-11-24
PUB1671793,Santa Look-alike Contest,Open,2024-11-16 17:08:12+00,,,139,Tremont,ST,Boston,02116,2024-12-21,2024-12-21
PUB1670920,Feliz Navidad Block Party,Open,2024-11-13 16:50:26+00,,,106,Maverick,ST,East Boston,02128,2024-12-07,2024-12-07
PUB1670853,Mayor Wu's Enchanted Trolley Tour,Open,2024-11-13 15:09:01+00,,,1,City Hall,PZ,Boston,02114,2024-12-07,2024-12-08
PUB1670847,Boston Common Tree Lighting,Open,2024-11-13 14:57:23+00,,Boston Common,139,Tremont,ST,Boston,02116,2024-12-05,2024-12-05
PUB1670743,Foot Locker XC Northeast Regional Race,Open,2024-11-13 00:18:07+00,,,1,Franklin Park,RD,Jamaica Plain,02121,2024-11-30,2024-11-30
PUB1670742,Lyrik Tree Farm and Holiday Concert Event,Open,2024-11-12 23:53:19+00,,Lyrik Back Bay ,1001,Boylston,ST,Boston,02215,2024-12-03,2024-12-12
PUB1670739,The Fenway Tree Farm,Open,2024-11-12 23:44:42+00,,,1400,Boylston,ST,Boston,02215,2024-11-23,2024-12-28
PUB1670729,62nd Annual Worcester Square Tree Lighting,Open,2024-11-12 22:33:46+00,,,1P,Worcester,SQ,Roxbury,02118,2024-12-07,2024-12-07
PUB1670676,North End Winter Wonderland ,Open,2024-11-12 19:47:45+00,,,370,Hanover,ST,Boston,02113,2024-12-08,2024-12-08
PUB1670674,26.TRUE,Open,2024-11-12 19:43:45+00,,,150,Martin Luther King Jr,BL,Roxbury,02119,2025-04-19,2025-04-19
PUB1670537,Blank Street The Hub Opening Celebration,Open,2024-11-12 16:09:13+00,,,120,Causeway,ST,Boston,02114,2024-11-19,2024-11-19
PUB1670466,Community Safety Tailgate ,Open,2024-11-12 14:33:09+00,,,21,Bow,ST,Hyde Park,02136,2024-11-16,2024-11-16
PUB1670201,Beacon Hill Holiday Stroll,Open,2024-11-11 13:14:55+00,,,40,Charles,ST,Boston,02108,2024-12-05,2024-12-05
PUB1670187,Spring 2025 Family Bike Ride,Open,2024-11-11 10:35:55+00,,,5,Congress,ST,Boston,02108,2025-04-06,2025-04-06
PUB1670124,Christmas & Holiday Market ,Open,2024-11-08 21:22:41+00,,,383,Dorchester,AV,South Boston,02127,2024-12-07,2024-12-08
PUB1669784,Welcome Winter/ Winter Lights,Open,2024-11-07 20:18:37+00,,,910,South,ST,Roslindale,02131,2024-12-05,2024-12-05
PUB1669751,Columbus Park Trellis Lighting,Open,2024-11-07 19:26:55+00,,,110,Atlantic,AV,Boston,02110,2024-11-25,2024-11-25
PUB1669071,Winter Walk,Open,2024-11-06 13:58:51+00,,,139,Tremont,ST,Boston,02116,2025-02-09,2025-02-09
PUB1668818,Holiday Wonderland at Prudential Center,Open,2024-11-05 16:32:53+00,,,800,Boylston,ST,Boston,02199,2024-12-07,2024-12-07
PUB1668481,Community Safety Tailgate,Closed,2024-11-04 17:24:52+00,2024-11-05 19:28:15+00,BCYF Parking Lot,61,Woodruff,WY,Mattapan,02126,2024-11-07,2024-11-07
PUB1668423,Lighting of the Ship at Martin's Park,Closed,2024-11-04 15:47:21+00,2024-11-05 16:37:42+00,,64,Sleeper,ST,Boston,02210,2024-11-30,2024-11-30
PUB1667840,CSNDC Holiday Market & Craft Fair,Open,2024-10-31 20:58:27+00,,Codman Academy Charter Public School,14 to 16,Epping,ST,Dorchester,02124,2024-12-06,2024-12-07
PUB1667758,Boston Bruins Centennial Monument Unveiling,Open,2024-10-31 18:06:20+00,,Portal Park,85,Causeway,ST,Boston,02114,2024-11-30,2024-11-30
PUB1667735,Brooks Brothers Holiday Pop-up ,Open,2024-10-31 17:20:47+00,,,109,Newbury,ST,Boston,02116,2024-12-13,2024-12-22
PUB1667185,SoWa Winter Festival Food Truck Village,Open,2024-10-30 14:05:49+00,,,500,Harrison,AV,Roxbury,02118,2024-11-29,2024-12-22
PUB1667063, Roslindale Tree Lighting ,Open,2024-10-29 22:53:33+00,,,4225,Washington,ST,Roslindale,02131,2024-11-30,2024-11-30
PUB1667033,Faneuil Hall Marketplace Tree Lighting,Open,2024-10-29 20:07:55+00,,Faneuil Hall Marketplace,1,Faneuil Hall,SQ,Boston,02109,2024-11-26,2024-11-26
PUB1667027,South Street Holiday Nite Market,Open,2024-10-29 20:00:03+00,,,52,South,ST,Jamaica Plain,02130,2024-12-05,2024-12-05
PUB1666668,Jingle Bell Run,Closed,2024-10-28 22:58:25+00,2024-11-05 16:16:13+00,,866,Broadway,,South Boston,02127,2024-12-07,2024-12-07
PUB1666610,Cambridge Rindge & Latin School vs. Boston Latin,Closed,2024-10-28 19:14:41+00,2024-11-05 19:35:14+00,"Grass area at north endzone, outside of track",131,Park,DR,Boston,02215,2024-11-01,2024-11-01
PUB1666534,Boston Bruins Centennial Game Fan Fest,Closed,2024-10-28 17:03:59+00,2024-11-05 16:35:21+00,,110,Canal,ST,Boston,02114,2024-12-01,2024-12-01
PUB1666503,Women's March 2025,Open,2024-10-28 16:05:58+00,,,0,Boston Common, ,Boston,02108,2025-01-18,2025-01-19
PUB1666456,Walter's Run 5K,Closed,2024-10-28 14:50:48+00,2024-11-05 16:09:17+00,,1972,Centre,ST,West Roxbury,02132,2024-12-08,2024-12-08
PUB1666253,NORTH END CHRISTMAS PARADE,Closed,2024-10-25 21:15:45+00,2024-11-05 16:10:16+00,,110 to 112,Commercial,ST,Boston,02109,2024-12-08,2024-12-08
PUB1665931,Paige Valinch,Closed,2024-10-24 20:46:13+00,2024-11-05 19:59:50+00,,383,Dorchester,AV,South Boston,02127,2024-10-26,2024-10-26
PUB1665867,Community Safety Tailgate Series,Closed,2024-10-24 18:49:24+00,2024-11-05 19:31:46+00,,600,Border,ST,East Boston,02128,2024-11-02,2024-11-02
PUB1664557,The Gratitude Project 2024 Thanksgiving,Closed,2024-10-23 19:58:08+00,2024-11-05 19:18:28+00,Our agency owns the building and parking lot in which the event will take place. ,185,Columbia,RD,Dorchester,02121,2024-11-23,2024-11-23
PUB1664494,The Sound Test,Closed,2024-10-23 18:07:29+00,,,139,Tremont,ST,Boston,02116,2024-11-02,2024-11-02
PUB1664358,World Aids Day Walk,Closed,2024-10-23 14:27:40+00,2024-11-05 16:36:11+00,,1,City Hall,PZ,Boston,02114,2024-12-01,2024-12-01
PUB1664198,Guinness's Most Wonderful Pub of the Year,Closed,2024-10-22 22:04:50+00,2024-11-05 16:14:05+00,,1,Faneuil Hall,SQ,Boston,02109,2024-12-07,2024-12-08
PUB1663795,Half Half Half Half Half Marathon,Open,2024-10-21 23:14:41+00,,,507,Jamaicaway,,Jamaica Plain,02130,2025-04-17,2025-04-17
PUB1663610,Babybel Holiday Activation,Closed,2024-10-21 16:00:21+00,2024-11-05 16:08:26+00,The Seaport,58,Seaport,BL,Boston,02210,2024-12-11,2024-12-11
PUB1663430,Winter Fest,Closed,2024-10-21 04:24:40+00,2024-11-05 16:36:58+00,12 South Street - Private Non-Profit - Private Property,12,South,ST,Jamaica Plain,02130,2024-11-30,2024-12-08
PUB1662672,"Tyler, the Creator Converse Boston Pop-Up",Closed,2024-10-17 13:23:20+00,2024-11-05 19:36:11+00,,1,Lovejoy,WH,Boston,02114,2024-10-31,2024-10-31
PUB1662550,Malcolm X Park Basketball Court Mural Celebration,Closed,2024-10-16 21:28:27+00,2024-11-05 20:15:25+00,,115,Dale,ST,Roxbury,02119,2024-10-19,2024-10-19
PUB1662540,Cambridge/Boston World Day of Remembrance for Road,Open,2024-10-16 20:59:32+00,,,1912 to 1914,BEACON ST,ST,BOSTON,02135,2024-11-17,2024-11-17
PUB1662512,First Night Boston,Closed,2024-10-16 19:32:32+00,2024-11-05 16:04:57+00,,1,City Hall,PZ,Boston,02114,2024-12-31,2024-01-01
PUB1662202,All Saint's Day Procession,Closed,2024-10-16 03:24:37+00,2024-11-05 19:31:03+00,,320,Hanover,ST,Boston,02113,2024-11-03,2024-11-03
PUB1662095,Hood Park Winter Village,Closed,2024-10-15 18:03:29+00,2024-11-05 16:32:42+00,,100,Hood Park,DR,Charlestown,02129,2024-12-01,2024-12-01
PUB1662014,NIKE SHOW,Closed,2024-10-15 15:46:28+00,,PARKING LOT,208 to 220,Friend,ST,Boston,02114,2024-10-22,2024-10-22
PUB1661615,event name TEST APP,Void,2024-10-12 17:19:11+00,,,521,Ashmont,ST,Dorchester,02122,2024-10-12,2024-10-12
PUB1661407,2024 Boston Mobile Polar Plunge,Closed,2024-10-11 15:06:41+00,2024-11-05 16:17:29+00,Event will be hosted on WS Development owned parking lot at 25 Pier 4 Boulevard.,400,Summer,ST,Boston,02210,2024-12-05,2024-12-05
PUB1661129,Cider Garden Pop-Up at Fish & Farm,Closed,2024-10-10 18:47:33+00,2024-11-05 20:00:37+00,,212,Northern,AV,Boston,02210,2024-10-26,2024-10-26
PUB1660951,Foot Locker NBA Tip Off,Closed,2024-10-10 15:14:08+00,2024-11-05 20:27:27+00,,2275,Washington,ST,Roxbury,02119,2024-10-19,2024-10-19
PUB1660697,Hill House Tree and Wreath Sale,Closed,2024-10-09 20:04:12+00,2024-11-05 16:14:58+00,,127,Mount Vernon,ST,Boston,02108,2024-12-07,2024-12-07
PUB1660673,Boston Open Market,Closed,2024-10-09 19:07:11+00,,,200,Boylston,ST,Boston,02116,2024-11-02,2024-11-02
PUB1660635,Holiday Market at Snowport,Open,2024-10-09 17:53:41+00,2024-11-05 19:27:33+00,,85,Northern,AV,South Boston,02210,2024-11-08,2024-12-29
PUB1660605,Boo Bash in the Living Room,Closed,2024-10-09 17:10:18+00,2024-11-05 20:02:04+00,,103 to 113,Franklin,ST,Allston,02134,2024-10-26,2024-10-26
PUB1660316,Anderson Tree Lighting,Closed,2024-10-08 19:29:08+00,2024-11-05 16:31:48+00,Logan Square in Hyde Park,1196,River,ST,Hyde Park,02136,2024-12-01,2024-12-01
PUB1660310,Homecoming FanFest with Punter's,Closed,2024-10-08 19:24:45+00,2024-11-05 19:23:32+00,"Northeastern's Alumni Relations office will host the event  at surface parking lot at Matthews Arena, 238 St. Botolph Street",238 to 262,Saint Botolph,ST,Boston,02115,2024-11-09,2024-11-09
PUB1660262,39th Annual Monument Square Halloween Trick or Tre,Closed,2024-10-08 18:17:06+00,2024-11-05 19:36:58+00,Monument Square and Monument Avenue,47,Monument,SQ,Charlestown,02129,2024-10-31,2024-10-31
PUB1660015,MOAC Malcolm X Park Art Unveiling and Celebration,Closed,2024-10-08 05:20:56+00,2024-11-05 20:16:52+00,,150,Martin Luther King Jr,BL,Roxbury,02119,2024-10-19,2024-10-19
PUB1659960,NEMPAC HALLOWEEN PARTY PUMPKIN PAINTING,Closed,2024-10-07 19:46:05+00,2024-11-05 19:54:43+00,,370,Hanover,ST,Boston,02113,2024-10-31,2024-10-31
PUB1659959,WRMS Winter Wonderland,Open,2024-10-07 19:45:27+00,,,1920,Centre,ST,West Roxbury,02132,2024-12-14,2024-12-14
PUB1659848,Mattapan 5K Unity Fete,Open,2024-10-07 16:49:49+00,,,350,River,ST,Mattapan,02126,2025-08-09,2025-08-09
PUB1659586,Neighborhood Halloween Block Party,Closed,2024-10-05 18:48:56+00,2024-11-05 20:01:22+00,,35,Winchester,ST,Boston,02116,2024-10-26,2024-10-26
PUB1659514,Green Line Type 10 Full Scale Mockup Presentation,Closed,2024-10-04 18:47:36+00,2024-11-05 19:56:25+00,,1,City Hall,PZ,Boston,02114,2024-10-29,2024-10-30
PUB1658537,Walk for Hispaniola,Closed,2024-10-02 16:02:27+00,2024-11-05 20:03:22+00,,23,Beacon,ST,Boston,02108,2024-10-26,2024-10-26
PUB1658459,Dia de Muertos annual Festival,Closed,2024-10-02 13:52:55+00,2024-11-05 19:30:17+00,Not sure if Central Sq. is part of DCR but I cheched that Box,31,Central,SQ,East Boston,02128,2024-11-03,2024-11-03
PUB1658418,Good Neighbor Celebration,Closed,2024-10-02 13:07:13+00,,City Hall Mezzanine,1,City Hall,PZ,Boston,02114,2024-10-10,2024-10-10
PUB1657499,Snowport Curling Lanes,Open,2024-09-29 16:57:31+00,2024-11-05 19:25:53+00,,111,Seaport,BL,Boston,02210,2024-11-08,2025-02-28
PUB1657498,Light Up Seaport,Closed,2024-09-29 16:50:28+00,2024-11-05 16:16:52+00,,85,Northern,AV,South Boston,02210,2024-12-06,2024-12-06
PUB1657399,BCYF Halloween Party,Closed,2024-09-27 18:56:26+00,2024-11-05 19:55:38+00,,30,Bennet,ST,Boston,02113,2024-10-31,2024-10-31
PUB1657366,Snowport Tree Market,Open,2024-09-27 17:58:23+00,2024-11-05 19:19:03+00,,99,Autumn,LN,Boston,02210,2024-11-22,2024-12-23
PUB1657362,YouthFest - RESCHEDULE,Closed,2024-09-27 17:50:28+00,2024-11-05 20:19:18+00,,85,Northern,AV,South Boston,02210,2024-10-19,2024-10-19
PUB1657336,Native Sun Anniversary Party,Closed,2024-09-27 17:22:12+00,2024-11-05 20:03:53+00,,538,First,ST,South Boston,02127,2024-10-26,2024-10-26
PUB1656110,The Thomas M. Donahue Roslindale Parade,Closed,2024-09-26 19:13:48+00,2024-11-05 20:43:50+00,,4225,Washington,ST,Roslindale,02131,2024-10-06,2024-10-06
PUB1656077,Un-Monument Speaker Series,Closed,2024-09-26 18:43:40+00,2024-11-05 21:00:22+00,,139,Tremont,ST,Boston,02116,2024-09-30,2024-09-30
PUB1655821,Tenants Fest,Closed,2024-09-26 02:06:04+00,2024-11-05 20:46:11+00,,1391,Commonwealth,AV,Allston,02135,2024-10-05,2024-10-05
PUB1655803,Do Portugal Circus,Closed,2024-09-25 21:20:03+00,2024-11-05 19:26:47+00,,305,William F McClellan,HW,East Boston,02128,2024-11-08,2024-12-01
PUB1655765,Move4Farms,Closed,2024-09-25 19:27:30+00,2024-11-05 20:36:27+00,,3 to 3A,Akron,ST,Roxbury,02119,2024-10-13,2024-10-13
PUB1655616,Sketchbook Refresh,Closed,2024-09-25 15:01:33+00,2024-11-05 20:07:16+00,"The Grove, 168 Western Ave, Allston, MA at the intersection of N. Harvard St & Western Ave. ",168,Western,AV,Allston,02134,2024-10-26,2024-10-26
PUB1655597,Sketchbook Refresh,Closed,2024-09-25 14:28:47+00,2024-11-05 20:18:20+00,"The Grove, 168 Western Ave, Allston, MA at the intersection of N. Harvard St & Western Ave. ",168,Western,AV,Allston,02134,2024-10-19,2024-10-19
PUB1655474,Night Cap,Closed,2024-09-25 02:56:25+00,2024-11-05 19:29:05+00,,1,City Hall,PZ,Boston,02114,2024-11-05,2024-11-21
PUB1655370,Fall Fest,Closed,2024-09-24 18:26:01+00,2024-11-05 20:10:07+00,,177,Milk,ST,Boston,02109,2024-10-24,2024-10-24
PUB1655190,Temple Place Street Festival,Closed,2024-09-24 14:05:30+00,2024-11-05 20:19:43+00,,2 to 24,Temple,PL,Boston,02111,2024-10-19,2024-10-20
PUB1654562,Memorial Walk for Addiction Recovery,Closed,2024-09-21 17:01:08+00,,,139,Tremont,ST,Boston,02116,2024-11-09,2024-11-09
PUB1654526,The Thousand Bloom – A Chrysanthemum Grows in Chin,Closed,2024-09-20 20:44:40+00,,Reggie Wong Park,135,Kneeland,ST,Boston,02111,2024-10-26,2024-10-26
PUB1654504,Beer Garden,Closed,2024-09-20 19:38:14+00,2024-11-05 20:05:43+00,,1,Westinghouse,PZ,Hyde Park,02136,2024-10-26,2024-10-26
PUB1654003,Community Safety Tailgate Series,Closed,2024-09-19 15:01:49+00,2024-11-05 20:22:39+00,,260,Highland,ST,Roxbury,02119,2024-10-19,2024-10-19
PUB1653870,Party in the Park,Closed,2024-09-19 12:18:29+00,2024-11-05 20:34:23+00,"Grassy area behind tennis courts, westview street side ",930,Blue Hill,AV,Dorchester,02124,2024-10-14,2024-10-15
PUB1653807,Audubon Circle Neighborhood Association Block Part,Closed,2024-09-18 22:21:48+00,2024-11-05 20:06:47+00,,9,Keswick,ST,Boston,02215,2024-10-26,2024-10-26
PUB1653797,Wachusett Street Block Party,Closed,2024-09-18 21:21:09+00,2024-11-05 17:22:54+00,,55,Wachusett,ST,Jamaica Plain,02130,2024-09-21,2024-09-21
PUB1653535,Madonna Della Cava Parade,Closed,2024-09-18 13:25:32+00,2024-11-05 20:09:32+00,,3,Battery,ST,Boston,02109,2024-10-26,2024-10-26
PUB1653469,Boston Waves,Closed,2024-09-18 04:25:32+00,2024-11-05 20:40:19+00,,55,William T Morrissey,BLVD,Dorchester,02127,2024-09-20,2024-09-20
PUB1653383,German Holiday Market,Closed,2024-09-17 19:08:28+00,2024-11-05 16:12:58+00,"The event will take place on school grounds, inside and outside",57 to 59,Holton,ST,Allston,02134,2024-12-07,2024-12-07
PUB1653355,Senior Fundraiser Parking Lot LC,Open,2024-09-17 18:21:00+00,,school parking grounds,387,Western,AV,Brighton,02135,2024-10-19,2024-10-20
PUB1653353,Community Safety Tailgate Series,Closed,2024-09-17 18:13:03+00,2024-11-05 20:39:34+00,,40,Almont,ST,Mattapan,02126,2024-10-12,2024-10-12
PUB1653342,Senior Fundraiser Parking Lot,Open,2024-09-17 17:42:00+00,,school parking grounds,57 to 59,Holton,ST,Allston,02134,2024-10-19,2024-10-20
PUB1653333,Community Safety Tailgate Series,Closed,2024-09-17 17:21:53+00,2024-11-05 21:03:41+00,"Address not listed - Peabody Square @ Intersection of Franklin Park Road and Blue Hill Avenue (upper lot, behind refactory hill)",1,Franklin Park,RD,Jamaica Plain,02121,2024-09-29,2024-09-29
PUB1653204,Lantern Parade,Closed,2024-09-17 14:45:43+00,2024-11-05 20:22:00+00,,507,Jamaicaway,,Jamaica Plain,02130,2024-10-19,2024-10-20
PUB1652837,New England Indonesian Festival,Closed,2024-09-16 15:47:36+00,2024-11-05 19:24:05+00,Boston Commons,0,Boston Common, ,Boston,02108,2024-11-09,2024-11-09
PUB1652786,Harvest Festival,Closed,2024-09-16 14:36:23+00,2024-11-05 20:42:58+00,Harvard Countway Plaza Surface,10,Shattuck,ST,Boston,02115,2024-10-09,2024-10-09
PUB1652454,LC2 Celebration,Closed,2024-09-13 17:15:18+00,2024-11-05 20:33:57+00,We would like to Close section (316-318 Northern Ave) between Tide Street & Shellfish Way – 6AM-4PM,316 to 318,Northern,AV,Boston,02210,2024-10-15,2024-10-15
