company_name,services_provided,mbe_wbe_cert,small_local_cert,veteran_cert,sdo_certified,city_registered,address,city,state,zipcode,contact_name,contact_title,phone,fax,email,website,business_type,construction,date_business_established,number_employees,cob_category_codes1,cob_category_codes2,cob_category_codes3,naics_codes1,naics_codes2,naics_codes3,unspsc_code1,unspsc_code2,unspsc_code3
"Arrow Event Management, LLC",Event management services,WBE,SBE,,No,Yes,"70 Clyde Street, Newton, MA 02460",Newton,MA,02460,Emily Olson,,(773) 710-1042,,emily@arrow-events.com,,Limited Liability Company,No,01/01/2018,Less than 10,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,COP - Consultants: Public Relations,,561920 - Convention and Trade Show Organizers,541618 - Other Management Consulting Services ,,90150000 - Entertainment services,90120000 - Travel facilitation,
"ATANE Engineers, PC dba ATANE Consulting",Engineering; Architecture; Material Testing   ,MBE,SLBE,,Yes,Yes,"56 Roland Street, Suite 202, Boston, MA 02129",Boston,MA,02129,Quaiser Hashmi,Mr. Quaiser Hashmi,(212) 747-1997,(212) 747-1947,qhashmi@ataneconsulting.com,ataneconsulting.com,Corporation,No,01/01/2010,Greater than 100,AE - Architects/Engineers,"AS - Architectural Support Services, Surveying",,541330 - Engineering Services,541310 - Architectural Services,237990 - Other Heavy and Civil Engineering Construction ,81100000 - Professional engineering services,,
"Atomic Ant Construction, Inc.",Home improvement and real estate broker,WBE,,,Yes,Yes,"966 Hyde Park Avenue, Hyde Park, MA 2136",Hyde Park,MA,2136,Patricia Ferreira,,(508) 335-1590,,patricia.luna@atomicantconstruction.com,,Corporation,Yes,01/01/2018,Less than 10,GC - General Contractors,"RE - Real Estate (Development, Management, Sales and Appraisals)",,236118 - Residential Remodelers ,,,,,
Audio and Lighting Unlimited,Audio and lighting equipment rental   ,MBE,,,No,Yes,"169 Norfolk Avenue, Boston, MA 02119",Boston,MA,02119,Gerard Exilhomme,Mr. Gerard Exilhomme,(857) 212-5660,,audioandlightingunlimited@gmail.com,www.ALUrental.com,Limited Liability Company (LLC),No,01/01/2018,Less than 10,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,BU - Business Management Consultants,COT - Consultants: Telecommunications,532490 - Other Commercial and Industrial Machinery and Equipment Rental and Leasing ,,,45110000 - Audio and visual presentation and composing equipment,83110000 - Telecommunications media services,43200000 - Components for information technology or broadcasting or telecommunications
"B2B Holdings, Inc. dba Alpha Identification",ID Badging and Event Badging Supplies; Custom Print and Promotional Products and Office Furniture  ,WBE,,,Yes,Yes,"19 Andrews Dr, Uxbridge, MA 01569",Uxbridge,MA,01569,Mary Bloem,,(508) 839-6144,(508) 839-6145,mbloem@mygotosource.com,https://mygotosource.com,Corporation,No,01/01/2018,Less than 10,SU - Suppliers,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,"OF - Office Furniture, Services and Equipment","326130 - Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",326199 - All Other Plastics Product Manufacturing ,,92120000 - Security and personal safety,82121500 - Printing Services,56110000 - Commercial and industrial furniture
Babbling Brook Family Tutoring Service,"Educational Support Services, Office Services, and Training   ",MWBE,SLBE,,No,No,"13 Everett Street, Boston, MA 02128",Boston,MA,02128,Naimah Allateef,Naimah Allateef,(857) 246-1620,,allateef1@yahoo.com,bbfts.net,Sole Proprietorship,No,01/01/2013,Less than 10,"ED - Education (see also OS, TA)","OS - Office Services (Clerical Support, Employment, Court Reporting, Typing, etc., see also EM)",TA - Training (see also ED),611710 - Educational Support Services,624110 - Child and Youth Services ,561499 - All Other Business Support Services ,86120000 - Educational institutions,86110000 - Alternative educational systems,86130000 - Specialized educational services
"Balloon City of Boston, Inc.",Full service balloon company providing unique and creative balloon decor to the private and public sector; retail balloon and gift store   ,WBE,,,Yes,Yes,"995 Bennington Street, East Boston, MA 02128",East Boston,MA,02128,Christine Bernstein,,(617) 567-9114,(617) 567-3633,sales@ballooncityboston.com,ballooncityboston.com,Corporation,No,,Less than 10,RT - Retail Sales of Art & Framing,SU - Suppliers,,"453220 - Gift, Novelty, and Souvenir Stores ",,,12140000 - Elements and gases,,
"Banks II Quan Associates, Inc.",Consulting engineering:  MEP design; energy master planning; energy studies; monitoring based commissioning; retro commissioning; demand response; energy storage; and design build,WBE,,,Yes,No,"100 Burtt Road, suite 212, Andover, MA 1810",Andover,MA,1810,Nancy Banks,CEO-President,(978) 447-5613,(978) 719-6339,nbanks@b2qassociates.com,www.b2qassocites.com,Corporation,No,01/01/2002,21 - 40,AE - Architects/Engineers,"COA - Consultants: Architecture, Engineering",,541330 - Engineering Services,,,81100000 - Professional engineering services,,
Bargmann Hendrie + Archetype,Architectural services,WBE,,,Yes,Yes,"9 Channel Center Street, Suite 300, Boston, MA 2210",Boston,MA,2210,Carolyn Hendrie,,(617) 456-2240,,hadelson@bhplus.com,,Corporation,No,,21 - 40,AE - Architects/Engineers,,,541310 - Architectural Services,,,,,
Baseline Supply LLC,Supplier of construction materials and building supplies   ,WBE,,,Yes,No,"1603 North Olden Avenue, Building 2, Ewing Township, NJ 08638",Ewing Township,NJ,08638,Tracey Meents,,(732) 835-2080,(888) 398-2080,baselinesupply@gmail.com,www.baselinesupply.net,Sole Proprietorship,Yes,01/01/2010,Less than 10,SU - Suppliers,,,423390 - Other Construction Material Merchant Wholesalers ,"423320 - Brick, Stone, and Related Construction Material Merchant Wholesalers ",423510 - Metal Service Centers and Other Metal Merchant Wholesalers ,30130000 - Structural building products,,
Best Painters,Interior and Exterior Painting   ,MBE,SBE,,No,No,"19 Hill Street, West Springfield, MA 01089",West Springfield,MA,01089,Daniel Santiago,,(413) 887-8696,,bstpainters@yahoo.com,,Sole Proprietorship,Yes,01/01/2013,Less than 10,PA - Painting and Papering Contractors,,,238320 - Painting and Wall Covering Contractors,,,31210000 - Paints and primers and finishes,,
"Black Owned Bos, LLC","Retail, Marketing, and Consulting",MWBE,SLBE,,No,Yes,"623 Tremont Street, Boston, MA 02118",Boston,MA,02118,Jae'da Turner,,(617) 997-7097,,blackownedbos@gmail.com,blackownedbos.com,Limited Liability Company,No,01/01/2020,Less than 10,COM - Consultants: Management,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,RT - Retail Sales of Art & Framing,541613 - Marketing Consulting Services ,"453220 - Gift, Novelty, and Souvenir Stores ",,80140000 - Marketing and distribution,,
"Bloom Architecture, Inc.",Architectural and Interior Design Services,,SLBE,,No,Yes,"784a Tremont Street, Boston, MA 02118",Boston,MA,02118,Derek Bloom,Mr. Derek Bloom,(617) 607-4589,,derek@bloomarchitecture.com,www.BLOOMarchitecture.com,Corporation,No,01/01/2003,Less than 10,AE - Architects/Engineers,IT - Interior Deisgn Services,,541310 - Architectural Services,541410 - Interior Design Services,,82150000 - Professional artists and performers,81100000 - Professional engineering services,
Blue Dynasty Entertainment and Travel,"Travel agency providing research and bookings for vacations, flights, tours, ground transportation and business travel",MWBE,,,Yes,Yes,"73 Hazelton Street, Mattapan, MA 2126",Mattapan,MA,2126,Jeanne Richardson,,(877) 368-8003,,jeanne@bluedynastyent.com,,Limited Liability Company,No,01/01/2007,Less than 10,"TR - Travel, Transportation (Travel Agencies, Planning, Limo Services)",,,561510 - Travel Agencies,,,90120000 - Travel facilitation,,
"Boston Baking, Inc.",Wholesale manufacturer of baked goods   ,WBE,,,No,No,"101 Sprague Street, Boston, MA 02136",Boston,MA,02136,Julee Robey-Boschetto,,(617) 364-6900,(617) 364-6922,julee@bostonbaking.com,www.bostonbaking.com,Corporation,No,01/01/2004,41 - 100,"FD - Food Products, Services",MU - Manufacturers,SU - Suppliers,"311813 - Frozen Cakes, Pies, and Other Pastries Manufacturing ",,,50180000 - Bread and bakery products,,
"Boston Electrical Solutions, Inc.",Electrical services and fire alarm services,WBE,,,Yes,No,"209 Eliot Street, Milton, MA 02186",Milton,MA,02186,Suzanne Sellon-Foster,,(617) 970-1100,,office@bostonelectricalsolutions.com,www.bostonelectricalsolutions.com,Corporation,Yes,01/01/2015,11 - 20,EL - Electrical Contractors,,,238210 - Electrical Contractors and Other Wiring Installation Contractors,,,39120000 - Electrical equipment and components and supplies,39110000 - Lighting Fixtures and Accessories,
"Boston s Best Bartending Services, Inc.","Provide full service bartending, fully insured and certified, (no products supplied)   ",WBE,SBE,,No,Yes,"42 Temple Street, Newburyport, MA 1950",Newburyport,MA,1950,Dianna Kinosian,Dianna Kinosian President,(978) 465-2227,(610) 887-1444,bostonsbestbar@aol.com,,Corporation,No,01/01/2001,Less than 10,CT - Catering,,,722320 - Caterers,,,90100000 - Restaurants and catering,,
"Boston-Studio, Inc.","Design services, community engagement, development, architecture, art, education and landscape architecture   ",WBE,SLBE,,Yes,No,"8 Highland Park Avenue, Boston, MA 2119",Boston,MA,2119,Jessica Leete,"Jessica Leete, Owner",(415) 497-9598,,jsmleete@gmail.com,,Corporation,No,01/01/2018,Less than 10,"LD - Landscaping (Design, Architects)",COD - Consultants: Design,"ED - Education (see also OS, TA)",541320 - Landscape Architectural Services,611430 - Professional and Management Development Training ,541310 - Architectural Services,81100000 - Professional engineering services,77100000 - Environmental management,77110000 - Environmental protection
"Bountyful Provisions Company, LLC","Wholesale food distributor, milk, eggs, cheese domestic and international",MBE,SLBE,,Yes,Yes,"95 Ruthven Street, 1st Floor, Boston, MA 02121",Boston,MA,02121,Levi Fears,,(617) 959-6913,617-8188,levi@bountyfulprovisions.com,https://www.bountyfulprovisions.com/,Limited Liability Company,No,,Less than 10,"FD - Food Products, Services","FD - Food Products, Services",SU - Suppliers,424410 - General Line Grocery Merchant Wholesalers ,424470 - Meat and Meat Product Merchant Wholesalers ,112310 - Chicken Egg Production ,73130000 - Food and beverage industries,,
Breezie Cleaning and Janitorial Services,Janitorial Cleaning; Window Cleaning; Carpet Cleaning and Floor Care   ,MWBE,SLBE,,Yes,Yes,"27 Beech Glen Street, Boston, MA 02119",Boston,MA,02119,Brittany McLemore,"Brittany McLemore, Owner",(866) 292-6228,,brittany@breeziecleaning.com,,Sole Proprietorship,No,01/01/2018,Less than 10,"JA - Janitorial Services/Supplies (see also MA, RS)",,,561720 - Janitorial Services ,,,76110000 - Cleaning and janitorial services,,
"Brennan Consulting, Inc.",Civil and traffic engineering; Land survey; Construction survey,WBE,,,Yes,No,"24 Ray Avenue, Suite 203, Burlington, MA 01803",Burlington,MA,01803,Laureen Poulakis,"Laureen Poulakis, President ",(781) 273-3434,,krinaldi@brennanconsults.com,,Corporation,No,01/01/2016,21 - 40,AE - Architects/Engineers,"AS - Architectural Support Services, Surveying",,541330 - Engineering Services,541360 - Geophysical Surveying and Mapping Services,,81100000 - Professional engineering services,,
"Bryant Associates, Inc.","Civil, structural and traffic engineering; surveying and construction management   ",MBE,SLBE,,Yes,Yes,"90 Canal Street, Suite 301, Boston, MA 2114",Boston,MA,2114,Jeffrey Bryant,,(617) 248-0300,(617) 248-0212,jcbryant@bryant-engrs.com,www.bryant-engrs.com,Corporation,No,01/01/1976,41 - 100,EG - Civil/Structural Engineering,"AS - Architectural Support Services, Surveying","COA - Consultants: Architecture, Engineering",541330 - Engineering Services,541370 - Surveying and Mapping (except Geophysical) Services,"237310 - Highway, Street, and Bridge Construction ",81100000 - Professional engineering services,,
"C & C Consulting Engineers, LLC","Consulting engineering in design of bridges, structures, roadways, utilities, traffic and civil work, survey and environmental engineering; Engineering.",MBE,,,Yes,No,"1380 Soldiers Field Road, Boston, MA 02135",Boston,MA,02135,Po-Shang Chen,Dr. Po-Shang Chen,(617) 254-6930,(617) 254-7631,p.chen@cccellc.com,www.cccellc.com,Limited Liability Company (LLC),No,01/01/2000,21 - 40,COD - Consultants: Design,EG - Civil/Structural Engineering,AE - Architects/Engineers,541330 - Engineering Services,,,81100000 - Professional engineering services,,
"C&D Electronics, Inc.","Distributor of electrical/mechanical components, lighting, cameras, and access control   ",MBE,SBE,,Yes,No,"28 Appleton Street, Holyoke, MA 1040",Holyoke,MA,1040,Tiffany Cutting Madru,President,(413) 493-1206,(413) 493-1212,mcutting@cdindustries.com,www.cdindustries.com,Corporation,No,01/01/1982,21 - 40,SU - Suppliers,,,"423610 - Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers ",423690 - Other Electronic Parts and Equipment Merchant Wholesalers ,,39130000 - Electrical wire management devices and accessories and supplies,32130000 - Electronic hardware and component parts and accessories,
