"Label (Grouping)","Census Tract 103, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 104.03, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 104.03, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 104.03, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 104.04, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 104.04, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 104.04, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 104.05, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 104.05, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 104.05, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 105, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 105, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 105, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 106, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 106, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 106, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 706, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 706, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 706, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 707, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 707, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 707, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 711.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 711.01, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 711.01, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 808.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 808.01, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 808.01, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 809, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 809, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 809, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 817, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 817, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 817, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 818, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 818, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 818, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 821, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 821, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 821, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 903, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 903, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 903, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 906, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 906, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 906, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 1203.01, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 1203.01, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 1203.01, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate"
"    Male","255","51","20.0%","1,497","541","36.1%","1,384","861","62.2%","893","316","35.4%","1,272","368","28.9%","1,236","180","14.6%","1,260","38","3.0%","1,459","96","6.6%","2,121","617","29.1%","897","234","26.1%","950","218","22.9%","1,279","296","23.1%","1,523","688","45.2%","1,175","679","57.8%","1,187","489","41.2%","2,137","904","42.3%","1,542","412","26.7%","1,070","322","30.1%","1,478","610","41.3%","1,416","456","32.2%","1,389","631","45.4%","1,231","340","27.6%","2,448","1,045","42.7%","2,074","515","24.8%","1,207","392","32.5%","1,177","477","40.5%","1,814","565","31.1%","1,062","209","19.7%","2,687","633","23.6%","1,307","286","21.9%","1,435","321","22.4%","2,731","537","19.7%","1,703","266","15.6%","2,808","356","12.7%","159","125","78.6%","148","63","42.6%"
"    Female","193","58","30.1%","1,378","632","45.9%","1,272","693","54.5%","746","388","52.0%","1,566","483","30.8%","1,797","220","12.2%","1,064","27","2.5%","1,507","179","11.9%","1,863","838","45.0%","803","291","36.2%","1,108","340","30.7%","1,696","698","41.2%","1,763","742","42.1%","969","411","42.4%","1,520","650","42.8%","1,669","788","47.2%","1,319","436","33.1%","1,080","319","29.5%","1,859","705","37.9%","2,174","670","30.8%","2,126","899","42.3%","1,494","590","39.5%","2,782","1,333","47.9%","2,738","1,052","38.4%","1,176","422","35.9%","2,430","893","36.7%","2,151","619","28.8%","1,275","333","26.1%","1,926","607","31.5%","1,270","378","29.8%","1,267","455","35.9%","2,970","740","24.9%","1,976","470","23.8%","2,262","344","15.2%","65","60","92.3%","241","84","34.9%"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    White alone","237","52","21.9%","1,759","623","35.4%","1,798","1,089","60.6%","1,040","385","37.0%","1,863","571","30.6%","2,326","233","10.0%","2,060","52","2.5%","1,778","230","12.9%","2,301","618","26.9%","303","95","31.4%","264","134","50.8%","441","148","33.6%","697","300","43.0%","424","227","53.5%","406","110","27.1%","2,729","1,185","43.4%","996","370","37.1%","298","45","15.1%","220","113","51.4%","235","133","56.6%","412","110","26.7%","386","298","77.2%","428","92","21.5%","374","85","22.7%","199","83","41.7%","293","157","53.6%","480","312","65.0%","266","93","35.0%","2,429","305","12.6%","602","195","32.4%","369","127","34.4%","490","201","41.0%","2,611","351","13.4%","2,496","212","8.5%","83","61","73.5%","93","12","12.9%"
"    Black or African American alone","59","25","42.4%","160","103","64.4%","258","68","26.4%","234","115","49.1%","318","36","11.3%","351","108","30.8%","14","3","21.4%","882","28","3.2%","434","196","45.2%","1,082","368","34.0%","1,180","291","24.7%","1,734","524","30.2%","1,357","567","41.8%","1,210","579","47.9%","1,265","574","45.4%","311","60","19.3%","1,349","359","26.6%","1,261","287","22.8%","2,460","791","32.2%","2,705","700","25.9%","2,515","1,084","43.1%","2,152","573","26.6%","3,378","1,424","42.2%","3,493","1,079","30.9%","1,119","353","31.5%","2,357","544","23.1%","2,484","447","18.0%","1,457","313","21.5%","483","234","48.4%","1,054","296","28.1%","1,295","255","19.7%","4,856","851","17.5%","350","73","20.9%","1,080","271","25.1%","74","57","77.0%","228","135","59.2%"
"    American Indian and Alaska Native alone","17","17","100.0%","25","25","100.0%","0","0","-","0","0","-","0","0","-","14","0","0.0%","0","0","-","0","0","-","0","0","-","21","0","0.0%","18","6","33.3%","0","0","-","0","0","-","3","0","0.0%","0","0","-","28","0","0.0%","0","0","-","0","0","-","11","0","0.0%","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","165","165","100.0%","0","0","-","20","20","100.0%","31","0","0.0%","0","0","-","18","0","0.0%","157","111","70.7%","37","37","100.0%","0","0","-","0","0","-","0","0","-"
"    Asian alone","50","9","18.0%","666","352","52.9%","508","334","65.7%","254","167","65.7%","449","204","45.4%","342","59","17.3%","213","9","4.2%","164","17","10.4%","639","361","56.5%","0","0","-","47","47","100.0%","35","14","40.0%","67","67","100.0%","192","163","84.9%","414","211","51.0%","650","447","68.8%","188","35","18.6%","66","32","48.5%","126","60","47.6%","0","0","-","18","18","100.0%","25","0","0.0%","95","0","0.0%","42","0","0.0%","110","38","34.5%","0","0","-","105","77","73.3%","9","0","0.0%","815","353","43.3%","24","23","95.8%","27","15","55.6%","0","0","-","33","9","27.3%","329","9","2.7%","0","0","-","0","0","-"
"    Native Hawaiian and Other Pacific Islander alone","0","0","-","0","0","-","14","14","100.0%","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","27","0","0.0%","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-"
"    Some other race alone","68","1","1.5%","114","70","61.4%","43","14","32.6%","57","10","17.5%","153","26","17.0%","0","0","-","28","0","0.0%","97","0","0.0%","505","280","55.4%","282","62","22.0%","442","48","10.9%","607","266","43.8%","944","433","45.9%","233","60","25.8%","423","135","31.9%","43","0","0.0%","262","65","24.8%","468","258","55.1%","250","160","64.0%","552","293","53.1%","360","194","53.9%","129","59","45.7%","1,127","717","63.6%","767","316","41.2%","784","296","37.8%","679","459","67.6%","769","331","43.0%","474","113","23.8%","777","320","41.2%","794","121","15.2%","926","379","40.9%","150","114","76.0%","461","266","57.7%","1,022","187","18.3%","50","50","100.0%","39","0","0.0%"
"    Two or more races","17","5","29.4%","151","0","0.0%","35","35","100.0%","54","27","50.0%","55","14","25.5%","0","0","-","9","1","11.1%","45","0","0.0%","105","0","0.0%","12","0","0.0%","107","32","29.9%","158","42","26.6%","221","63","28.5%","82","61","74.4%","199","109","54.8%","45","0","0.0%","66","19","28.8%","57","19","33.3%","270","191","70.7%","98","0","0.0%","210","124","59.0%","33","0","0.0%","202","145","71.8%","136","87","64.0%","144","44","30.6%","113","45","39.8%","127","17","13.4%","111","3","2.7%","78","28","35.9%","103","29","28.2%","67","0","0.0%","48","0","0.0%","187","0","0.0%","143","21","14.7%","17","17","100.0%","29","0","0.0%"
"Hispanic or Latino origin (of any race)","126","12","9.5%","375","179","47.7%","315","178","56.5%","307","75","24.4%","373","200","53.6%","145","44","30.3%","61","0","0.0%","209","26","12.4%","771","430","55.8%","391","136","34.8%","648","148","22.8%","1,101","498","45.2%","1,662","750","45.1%","517","269","52.0%","1,150","380","33.0%","208","51","24.5%","365","119","32.6%","666","366","55.0%","518","287","55.4%","1,037","400","38.6%","994","497","50.0%","543","343","63.2%","1,643","968","58.9%","1,040","501","48.2%","892","326","36.5%","1,044","629","60.2%","1,311","659","50.3%","503","172","34.2%","731","302","41.3%","756","162","21.4%","877","389","44.4%","1,566","539","34.4%","1,281","516","40.3%","1,762","397","22.5%","90","84","93.3%","57","0","0.0%"
"White alone, not Hispanic or Latino","196","46","23.5%","1,581","514","32.5%","1,526","925","60.6%","885","350","39.5%","1,607","388","24.1%","2,202","189","8.6%","1,999","52","2.6%","1,640","204","12.4%","1,949","436","22.4%","219","78","35.6%","117","47","40.2%","186","30","16.1%","240","112","46.7%","318","152","47.8%","109","56","51.4%","2,594","1,134","43.7%","939","335","35.7%","225","24","10.7%","104","70","67.3%","79","4","5.1%","29","3","10.3%","21","14","66.7%","120","23","19.2%","205","38","18.5%","31","31","100.0%","62","0","0.0%","144","106","73.6%","158","62","39.2%","2,299","286","12.4%","311","132","42.4%","251","105","41.8%","27","11","40.7%","2,028","187","9.2%","2,157","166","7.7%","43","27","62.8%","88","12","13.6%"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over","339","68","20.1%","2,112","627","29.7%","983","286","29.1%","1,039","422","40.6%","1,978","417","21.1%","2,714","326","12.0%","1,862","63","3.4%","2,255","211","9.4%","3,413","1,169","34.3%","1,162","277","23.8%","1,342","269","20.0%","1,957","501","25.6%","1,834","639","34.8%","1,144","443","38.7%","1,309","475","36.3%","1,814","482","26.6%","1,688","301","17.8%","1,381","337","24.4%","2,209","773","35.0%","2,177","503","23.1%","2,018","656","32.5%","1,957","597","30.5%","3,026","1,058","35.0%","3,040","754","24.8%","1,434","469","32.7%","1,921","569","29.6%","2,249","490","21.8%","1,476","315","21.3%","3,400","802","23.6%","1,656","274","16.5%","1,808","474","26.2%","3,294","636","19.3%","2,767","530","19.2%","3,753","454","12.1%","200","161","80.5%","254","82","32.3%"
"        Less than high school graduate","34","16","47.1%","95","47","49.5%","28","20","71.4%","157","78","49.7%","163","58","35.6%","73","64","87.7%","21","0","0.0%","131","12","9.2%","441","235","53.3%","278","25","9.0%","289","92","31.8%","398","201","50.5%","511","293","57.3%","308","175","56.8%","325","138","42.5%","89","35","39.3%","205","99","48.3%","134","61","45.5%","483","271","56.1%","378","97","25.7%","510","202","39.6%","437","260","59.5%","847","469","55.4%","840","328","39.0%","428","238","55.6%","378","138","36.5%","608","117","19.2%","505","141","27.9%","705","411","58.3%","508","82","16.1%","509","175","34.4%","813","137","16.9%","272","103","37.9%","432","61","14.1%","83","70","84.3%","33","4","12.1%"
"        High school graduate (includes equivalency)","83","17","20.5%","288","149","51.7%","42","11","26.2%","154","76","49.4%","194","71","36.6%","198","48","24.2%","114","3","2.6%","198","24","12.1%","234","171","73.1%","324","97","29.9%","342","34","9.9%","514","148","28.8%","634","234","36.9%","291","122","41.9%","423","200","47.3%","260","60","23.1%","257","61","23.7%","427","137","32.1%","676","175","25.9%","825","233","28.2%","534","198","37.1%","642","235","36.6%","930","341","36.7%","929","267","28.7%","559","138","24.7%","647","247","38.2%","739","201","27.2%","463","112","24.2%","913","198","21.7%","610","160","26.2%","517","140","27.1%","1,167","256","21.9%","536","217","40.5%","571","133","23.3%","72","46","63.9%","73","36","49.3%"
"        Some college, associate's degree","49","19","38.8%","324","206","63.6%","194","56","28.9%","236","144","61.0%","146","61","41.8%","248","63","25.4%","97","34","35.1%","506","50","9.9%","410","124","30.2%","282","89","31.6%","353","69","19.5%","573","83","14.5%","379","79","20.8%","270","57","21.1%","420","89","21.2%","300","42","14.0%","415","75","18.1%","337","66","19.6%","672","264","39.3%","508","126","24.8%","639","154","24.1%","510","65","12.7%","820","186","22.7%","752","136","18.1%","329","57","17.3%","674","184","27.3%","480","82","17.1%","357","62","17.4%","528","130","24.6%","256","23","9.0%","481","144","29.9%","919","185","20.1%","334","46","13.8%","560","100","17.9%","40","40","100.0%","104","42","40.4%"
"        Bachelor's degree or higher","173","16","9.2%","1,405","225","16.0%","719","199","27.7%","492","124","25.2%","1,475","227","15.4%","2,195","151","6.9%","1,630","26","1.6%","1,420","125","8.8%","2,328","639","27.4%","278","66","23.7%","358","74","20.7%","472","69","14.6%","310","33","10.6%","275","89","32.4%","141","48","34.0%","1,165","345","29.6%","811","66","8.1%","483","73","15.1%","378","63","16.7%","466","47","10.1%","335","102","30.4%","368","37","10.1%","429","62","14.5%","519","23","4.4%","118","36","30.5%","222","0","0.0%","422","90","21.3%","151","0","0.0%","1,254","63","5.0%","282","9","3.2%","301","15","5.0%","395","58","14.7%","1,625","164","10.1%","2,190","160","7.3%","5","5","100.0%","44","0","0.0%"
"EMPLOYMENT STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Civilian labor force 16 years and over","259","28","10.8%","1,788","368","20.6%","1,429","689","48.2%","827","260","31.4%","1,616","239","14.8%","1,823","54","3.0%","1,537","35","2.3%","2,118","86","4.1%","2,169","289","13.3%","819","97","11.8%","1,014","138","13.6%","1,323","152","11.5%","1,509","271","18.0%","934","275","29.4%","1,360","347","25.5%","2,315","749","32.4%","1,873","462","24.7%","1,221","269","22.0%","1,454","275","18.9%","1,690","256","15.1%","1,559","355","22.8%","1,254","258","20.6%","2,182","501","23.0%","2,446","455","18.6%","997","176","17.7%","1,634","424","25.9%","1,813","308","17.0%","1,260","128","10.2%","2,975","471","15.8%","1,266","171","13.5%","1,394","218","15.6%","2,881","436","15.1%","2,463","322","13.1%","3,343","311","9.3%","151","121","80.1%","191","31","16.2%"
"        Employed","236","20","8.5%","1,687","318","18.9%","1,217","516","42.4%","735","199","27.1%","1,549","204","13.2%","1,764","44","2.5%","1,509","24","1.6%","1,938","56","2.9%","2,064","215","10.4%","749","77","10.3%","889","114","12.8%","1,187","100","8.4%","1,286","227","17.7%","680","127","18.7%","1,176","268","22.8%","2,124","652","30.7%","1,729","388","22.4%","1,087","195","17.9%","1,195","166","13.9%","1,427","178","12.5%","1,291","212","16.4%","1,062","142","13.4%","1,753","255","14.5%","1,835","180","9.8%","816","86","10.5%","1,268","150","11.8%","1,570","184","11.7%","1,115","76","6.8%","2,671","309","11.6%","1,154","128","11.1%","1,174","139","11.8%","2,414","363","15.0%","2,242","243","10.8%","3,113","256","8.2%","95","76","80.0%","153","22","14.4%"
"            Male","136","9","6.6%","916","142","15.5%","578","301","52.1%","419","62","14.8%","607","47","7.7%","778","0","0.0%","851","23","2.7%","1,025","46","4.5%","1,307","103","7.9%","432","33","7.6%","397","39","9.8%","529","13","2.5%","504","64","12.7%","292","63","21.6%","424","93","21.9%","1,162","255","21.9%","960","204","21.3%","492","75","15.2%","538","78","14.5%","560","79","14.1%","495","91","18.4%","500","64","12.8%","780","93","11.9%","834","20","2.4%","476","40","8.4%","344","58","16.9%","754","90","11.9%","493","31","6.3%","1,792","210","11.7%","610","29","4.8%","664","64","9.6%","971","210","21.6%","1,022","53","5.2%","1,803","121","6.7%","71","52","73.2%","30","0","0.0%"
"            Female","100","11","11.0%","771","176","22.8%","639","215","33.6%","316","137","43.4%","942","157","16.7%","986","44","4.5%","658","1","0.2%","913","10","1.1%","757","112","14.8%","317","44","13.9%","492","75","15.2%","658","87","13.2%","782","163","20.8%","388","64","16.5%","752","175","23.3%","962","397","41.3%","769","184","23.9%","595","120","20.2%","657","88","13.4%","867","99","11.4%","796","121","15.2%","562","78","13.9%","973","162","16.6%","1,001","160","16.0%","340","46","13.5%","924","92","10.0%","816","94","11.5%","622","45","7.2%","879","99","11.3%","544","99","18.2%","510","75","14.7%","1,443","153","10.6%","1,220","190","15.6%","1,310","135","10.3%","24","24","100.0%","123","22","17.9%"
"        Unemployed","23","8","34.8%","101","50","49.5%","212","173","81.6%","92","61","66.3%","67","35","52.2%","59","10","16.9%","28","11","39.3%","180","30","16.7%","105","74","70.5%","70","20","28.6%","125","24","19.2%","136","52","38.2%","223","44","19.7%","254","148","58.3%","184","79","42.9%","191","97","50.8%","144","74","51.4%","134","74","55.2%","259","109","42.1%","263","78","29.7%","268","143","53.4%","192","116","60.4%","429","246","57.3%","611","275","45.0%","181","90","49.7%","366","274","74.9%","243","124","51.0%","145","52","35.9%","304","162","53.3%","112","43","38.4%","220","79","35.9%","467","73","15.6%","221","79","35.7%","230","55","23.9%","56","45","80.4%","38","9","23.7%"
"            Male","16","8","50.0%","38","11","28.9%","141","141","100.0%","59","42","71.2%","28","10","35.7%","9","0","0.0%","28","11","39.3%","141","0","0.0%","41","10","24.4%","26","0","0.0%","49","8","16.3%","75","8","10.7%","109","0","0.0%","124","70","56.5%","72","4","5.6%","153","91","59.5%","71","30","42.3%","95","48","50.5%","100","46","46.0%","71","26","36.6%","94","44","46.8%","77","54","70.1%","166","55","33.1%","191","54","28.3%","128","71","55.5%","147","104","70.7%","65","8","12.3%","67","6","9.0%","156","72","46.2%","43","14","32.6%","104","23","22.1%","264","37","14.0%","113","22","19.5%","99","31","31.3%","43","32","74.4%","25","5","20.0%"
"            Female","7","0","0.0%","63","39","61.9%","71","32","45.1%","33","19","57.6%","39","25","64.1%","50","10","20.0%","0","0","-","39","30","76.9%","64","64","100.0%","44","20","45.5%","76","16","21.1%","61","44","72.1%","114","44","38.6%","130","78","60.0%","112","75","67.0%","38","6","15.8%","73","44","60.3%","39","26","66.7%","159","63","39.6%","192","52","27.1%","174","99","56.9%","115","62","53.9%","263","191","72.6%","420","221","52.6%","53","19","35.8%","219","170","77.6%","178","116","65.2%","78","46","59.0%","148","90","60.8%","69","29","42.0%","116","56","48.3%","203","36","17.7%","108","57","52.8%","131","24","18.3%","13","13","100.0%","13","4","30.8%"
"WORK EXPERIENCE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 16 years and over","413","106","25.7%","2,803","1,152","41.1%","2,591","1,535","59.2%","1,579","693","43.9%","2,629","851","32.4%","2,876","388","13.5%","1,927","65","3.4%","2,624","254","9.7%","3,649","1,305","35.8%","1,328","305","23.0%","1,624","346","21.3%","2,158","576","26.7%","2,420","856","35.4%","1,644","774","47.1%","2,170","824","38.0%","3,654","1,664","45.5%","2,516","717","28.5%","1,815","499","27.5%","2,662","1,012","38.0%","2,680","642","24.0%","2,705","953","35.2%","2,317","707","30.5%","3,753","1,360","36.2%","3,722","1,026","27.6%","1,807","601","33.3%","2,479","759","30.6%","2,913","697","23.9%","1,810","385","21.3%","4,002","979","24.5%","2,010","400","19.9%","2,190","550","25.1%","4,298","971","22.6%","3,175","662","20.9%","4,391","565","12.9%","224","185","82.6%","298","94","31.5%"
"        Worked full-time, year-round in the past 12 months","173","0","0.0%","1,149","0","0.0%","413","81","19.6%","297","0","0.0%","997","57","5.7%","1,369","0","0.0%","1,163","0","0.0%","1,415","6","0.4%","1,515","0","0.0%","487","0","0.0%","596","34","5.7%","765","0","0.0%","744","62","8.3%","315","21","6.7%","507","33","6.5%","1,005","19","1.9%","1,030","32","3.1%","595","38","6.4%","823","13","1.6%","925","9","1.0%","866","9","1.0%","671","47","7.0%","1,051","65","6.2%","1,291","74","5.7%","514","17","3.3%","703","0","0.0%","1,113","32","2.9%","744","23","3.1%","2,055","174","8.5%","749","39","5.2%","706","20","2.8%","1,359","64","4.7%","1,463","41","2.8%","2,237","30","1.3%","7","0","0.0%","95","0","0.0%"
"        Worked part-time or part-year in the past 12 months","114","40","35.1%","803","425","52.9%","1,426","832","58.3%","690","277","40.1%","838","313","37.4%","509","62","12.2%","420","28","6.7%","665","125","18.8%","782","314","40.2%","319","80","25.1%","491","103","21.0%","515","118","22.9%","902","348","38.6%","624","255","40.9%","885","329","37.2%","1,683","971","57.7%","946","443","46.8%","591","165","27.9%","675","282","41.8%","702","264","37.6%","546","215","39.4%","517","160","30.9%","1,083","358","33.1%","890","190","21.3%","436","130","29.8%","653","205","31.4%","643","251","39.0%","488","91","18.6%","843","212","25.1%","438","117","26.7%","586","148","25.3%","1,466","355","24.2%","998","265","26.6%","1,271","282","22.2%","109","86","78.9%","102","25","24.5%"
"        Did not work","126","66","52.4%","851","727","85.4%","752","622","82.7%","592","416","70.3%","794","481","60.6%","998","326","32.7%","344","37","10.8%","544","123","22.6%","1,352","991","73.3%","522","225","43.1%","537","209","38.9%","878","458","52.2%","774","446","57.6%","705","498","70.6%","778","462","59.4%","966","674","69.8%","540","242","44.8%","629","296","47.1%","1,164","717","61.6%","1,053","369","35.0%","1,293","729","56.4%","1,129","500","44.3%","1,619","937","57.9%","1,541","762","49.4%","857","454","53.0%","1,123","554","49.3%","1,157","414","35.8%","578","271","46.9%","1,104","593","53.7%","823","244","29.6%","898","382","42.5%","1,473","552","37.5%","714","356","49.9%","883","253","28.7%","108","99","91.7%","101","69","68.3%"
