"Label (Grouping)","Boston city, Suffolk County, Massachusetts!!Total!!Estimate","Boston city, Suffolk County, Massachusetts!!Total!!Margin of Error","Boston city, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Boston city, Suffolk County, Massachusetts!!Below poverty level!!Margin of Error","Boston city, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Boston city, Suffolk County, Massachusetts!!Percent below poverty level!!Margin of Error"
"    Female","114,089","±4,450","29,660","±3,090","26.0%","±2.4"
"    15 years","41","±65","41","±65","100.0%","±100.0"
"    16 to 17 years","0","±222","0","±222","-","**"
"    18 to 24 years","39,773","±2,536","18,985","±2,212","47.7%","±4.3"
"    25 to 34 years","87,951","±4,134","9,293","±1,784","10.6%","±1.9"
"    35 to 44 years","26,491","±3,057","2,875","±1,323","10.9%","±4.9"
"    45 to 54 years","16,582","±1,914","5,278","±1,393","31.8%","±7.8"
"    55 to 64 years","23,586","±2,219","7,947","±1,417","33.7%","±5.4"
"    65 to 74 years","18,548","±2,015","6,537","±1,163","35.2%","±5.5"
"    75 years and over","14,708","±1,612","5,377","±1,237","36.6%","±7.2"
"    Mean income deficit for unrelated individuals (dollars)","9,313","±440","(X)","(X)","(X)","(X)"
"    Worked full-time, year-round in the past 12 months","122,502","±6,337","1,563","±808","1.3%","±0.7"
"    Worked less than full-time, year-round in the past 12 months","49,911","±3,844","18,495","±2,179","37.1%","±3.7"
"    Did not work","55,267","±4,231","36,275","±3,353","65.6%","±3.1"
"    Population in housing units for whom poverty status is determined","604,427","±3,380","100,087","±7,273","16.6%","±1.2"
