"Label (Grouping)","Boston city, Suffolk County, Massachusetts!!Total!!Estimate","Boston city, Suffolk County, Massachusetts!!Total!!Margin of Error","Boston city, Suffolk County, Massachusetts!!Below poverty level!!Estimate","Boston city, Suffolk County, Massachusetts!!Below poverty level!!Margin of Error","Boston city, Suffolk County, Massachusetts!!Percent below poverty level!!Estimate","Boston city, Suffolk County, Massachusetts!!Percent below poverty level!!Margin of Error"
"        125 percent of poverty level","118,243","±9,468","(X)","(X)","(X)","(X)"
"        150 percent of poverty level","141,689","±8,973","(X)","(X)","(X)","(X)"
"        185 percent of poverty level","175,082","±10,441","(X)","(X)","(X)","(X)"
"        200 percent of poverty level","184,906","±10,761","(X)","(X)","(X)","(X)"
"        300 percent of poverty level","252,058","±11,282","(X)","(X)","(X)","(X)"
"        400 percent of poverty level","312,701","±10,354","(X)","(X)","(X)","(X)"
"        500 percent of poverty level","360,428","±10,410","(X)","(X)","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","243,315","±7,890","54,897","±4,394","22.6%","±1.6"
"    Male","122,026","±5,837","23,486","±3,080","19.2%","±2.4"
"    Female","121,289","±5,584","31,411","±3,492","25.9%","±2.5"
"    15 years","49","±83","49","±83","100.0%","±100.0"
"    16 to 17 years","71","±124","71","±124","100.0%","±89.5"
"    18 to 24 years","36,840","±2,639","14,816","±1,918","40.2%","±4.3"
"    25 to 34 years","90,943","±4,540","11,039","±1,721","12.1%","±1.8"
"    35 to 44 years","30,559","±2,986","3,689","±1,447","12.1%","±4.6"
"    45 to 54 years","22,370","±2,660","5,115","±1,066","22.9%","±4.7"
"    55 to 64 years","26,065","±3,019","8,060","±1,861","30.9%","±6.4"
"    65 to 74 years","21,398","±2,238","7,901","±1,700","36.9%","±6.3"
"    75 years and over","15,020","±1,881","4,157","±1,157","27.7%","±6.4"
"    Mean income deficit for unrelated individuals (dollars)","8,900","±481","(X)","(X)","(X)","(X)"
"    Worked full-time, year-round in the past 12 months","131,073","±5,774","2,150","±697","1.6%","±0.5"
"    Worked less than full-time, year-round in the past 12 months","60,673","±4,148","22,649","±3,052","37.3%","±4.3"
"    Did not work","51,569","±4,252","30,098","±3,248","58.4%","±3.7"
"    Population in housing units for whom poverty status is determined","604,285","±5,083","92,155","±8,345","15.3%","±1.4"
