Project_Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8
Atrium Lofts,East Boston,02128,218,0,218,186,0,186,32,0,32,Ownership ,Private,,
Audubon Apts,Mattapan,02126,37,37,0,5,5,0,32,32,0,Rental,Private,,
Ausonia (2-61),North End,02109,100,100,0,0,0,0,100,100,0,Rental,Public,Y,
Ava Theater District,Downtown,02116,398,398,0,358,358,0,40,40,0,Rental,Private,,
Avalon at North Station,West End,02114,503,503,0,473,473,0,30,30,0,Rental,Private,,
Avalon at Prudential Center,Back Bay,02116,188,188,0,182,182,0,6,6,0,Rental,Private,,
Avana Lofts,Chinatown,02111,32,32,0,29,29,0,3,3,0,Rental,Private,,
Avenir Development,West End,02114,241,241,0,224,224,0,17,17,0,Rental,Private,,
Avondale Place,Mission Hill,02115,22,22,0,0,0,0,22,22,0,Rental,Private,,
Babcock Tower,Allston,02134,213,213,0,53,53,0,160,160,0,Rental,Private,,Y
Back of the Hill 202,Mission Hill,02130,125,125,0,0,0,0,125,125,0,Rental,Private,Y,Y
Back of the Hill HOP,Mission Hill,02120,149,0,149,58,0,58,91,0,91,Ownership,Private,,
Bailey (VUP),Roxbury,02121,1,1,0,0,0,0,1,1,0,Rental,Private,,
Baker Square Condominium,Mattapan,02124,60,60,0,52,52,0,8,8,0,Rental,Private,,
Balina Place at Norfolk St/Habitat,Dorchester,02124,3,0,3,0,0,0,3,0,3,Ownership,Private,,
Bancroft Apts,Jamaica Plain,02119,45,45,0,0,0,0,45,45,0,Rental,Private,,Y
Baptista (VUP),Dorchester,02125,1,1,0,0,0,0,1,1,0,Rental,Private,,
Barlett Square,Jamaica Plain,02130,13,0,13,11,0,11,2,0,2,Ownership,Private,,
Barnes School 202,East Boston,02128,74,74,0,0,0,0,74,74,0,Rental,Private,Y,
Bartlett Place Building E,Roxbury,02119,16,0,16,14,0,14,2,0,2,Ownership,Private,,
Bartlett Place/Building B,Roxbury,02119,60,0,60,22,22,0,38,38,0,Rental,Private,,
Basilica (667-6),Charlestown,02129,5,5,0,0,0,0,5,5,0,Rental,Public,Y,
Bates School/Artblock 731,South End,02118,54,0,54,30,0,30,24,0,24,Ownership,Private,,
Bay Cove Group Homes I,Roslindale,02131,26,26,0,0,0,0,26,26,0,Rental,Private,,Y
Bay Cove Group Homes III,South Boston,02127,12,12,0,0,0,0,12,12,0,Rental,Private,,Y
Bay Cove Group Homes IV,Dorchester,02125,9,9,0,1,1,0,8,8,0,Rental,Private,,
Bay Cove Hyde Park,Roslindale,02131,12,12,0,0,0,0,12,12,0,Rental,Private,,
BCN Properties,Roxbury,02119,53,53,0,0,0,0,53,53,0,Rental,Private,,Y
Beacon House,Beacon Hill,02114,135,135,0,50,50,0,85,85,0,Rental,Private,Y,Y
Beasley (VUP),Dorchester,02121,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Belgrade Place,West Roxbury,02132,39,39,0,34,0,34,5,5,0,Rental,Private,,
Bellflower (2-77),Dorchester,02125,114,114,0,0,0,0,114,114,0,Rental,Public,Y,
"Berkeley Investments, Inc.",South Boston Waterfront,02127,88,0,88,80,0,80,8,0,8,Ownership,Private,,
Beryl Gardens,Roxbury,02119,20,20,0,0,0,0,20,20,0,Rental,Private,,
BHA Infill 1A - Quincy Geneva,Roxbury,02121,18,0,18,0,0,0,18,0,18,Ownership,Private,,
BHA Infill 1B - Codman Square NDC,Dorchester,02124,2,0,2,0,0,0,2,0,2,Ownership,Private,,
BHA Infill 2 - Urban Edge,Roxbury,02119,15,5,10,0,0,0,15,5,10,Ownership/Rental,Private,,
BHA Infill 3 - Nuestra,Roxbury,02119,10,4,6,0,0,0,10,4,6,Ownership/Rental,Private,,
BHP Codman Square,Dorchester,02124,80,80,0,0,0,0,80,80,0,Rental,Private,,
BHP Fields Corner,Dorchester,02122,77,77,0,0,0,0,77,77,0,Rental,Private,,Y
BHP Frawley-Delle,Mission Hill,02115,74,74,0,0,0,0,74,74,0,Rental,Private,,Y
BHP Hano Street,Allston,02134,20,20,0,0,0,0,20,20,0,Rental,Private,,Section 8 or MRVP
BHP Lena Park,Dorchester,02121,93,93,0,0,0,0,93,93,0,Rental,Private,,
BHP Quincy-Geneva,Roxbury,02121,49,49,0,0,0,0,49,49,0,Rental,Private,,Y
BHP Washington Park,Jamaica Plain,02119,96,96,0,0,0,0,96,96,0,Rental,Private,,
BHP Westland Ave,Fenway,02115,20,20,0,5,5,0,15,15,0,Rental,Private,,
Bickford (2-25),Jamaica Plain,02130,56,56,0,0,0,0,56,56,0,Rental,Public,Y,
Bird St. Estates,Roxbury,02125,8,1,7,0,0,0,8,1,7,Ownership/Rental,Private,,
Blackstone Apts,West End,02114,145,145,0,0,0,0,145,145,0,Rental,Private,Y,Y
Blake Estates I,Hyde Park,02136,175,175,0,0,0,0,175,175,0,Rental,Private,Y,Y
Blake Estates II,Hyde Park,02136,88,88,0,0,0,0,88,88,0,Rental,Private,Y,Y
Blandino Farms,Dorchester,02124,16,0,16,14,0,14,2,0,2,Ownership,Private,,
Blessed Sacrament Mixed-Use (Rental + SRO),Jamaica Plain,02130,65,65,0,0,0,0,65,65,0,Rental,Private,,
Bloomfield Gardens,Dorchester,02124,27,27,0,0,0,0,27,27,0,Rental,Private,,
Blue Hill Commons,Roxbury,02119,8,1,7,0,0,0,8,1,7,Ownership/Rental,Private,,
Blue Mountain Assoc.,Roxbury,02121,217,217,0,0,0,0,217,217,0,Rental,Private,,Y
Border Falcon Condominiums,East Boston,02128,14,0,14,0,0,0,14,0,14,Ownership,Private,,
Boston East,East Boston,02128,200,200,0,174,174,0,26,26,0,Rental,Private,,
Boston Kenmore Realty LLC,Leather District,02111,54,0,54,49,0,49,5,0,5,Ownership,Private,,
Boston Landing,Brighton,02135,295,295,0,257,257,0,38,38,0,Rental,Private,,
Boston Rehab,Fenway,02115,144,144,0,0,0,0,144,144,0,Rental,Private,Y,Y
Boston Trailer Park Tenants,West Roxbury,02132,104,104,0,26,26,0,78,78,0,Rental,Private,,
Boston Wharf Tower,South Boston Waterfront,02127,202,202,0,180,180,0,22,22,0,Rental,Private,,
Boston's Hope in Dorchester,Dorchester,02124,41,41,0,0,0,0,41,41,0,Rental,Private,Y,
Bowditch School Lodging House,Jamaica Plain,02130,46,46,0,0,0,0,46,46,0,Rental,Private,,
Bowdoin Geneva Phase III (HOME AGAIN),Dorchester,02122,20,2,18,0,0,0,20,2,18,Ownership/Rental,Private,,
Bowdoin Place,Downtown,02114,75,0,75,56,0,56,19,0,19,Ownership,Private,Y,
Bowdoin School,Beacon Hill,02114,35,35,0,0,0,0,35,35,0,Rental,Private,Y,Y
Bowdoin/Geneva - HOME AGAIN,Dorchester,02125,7,0,7,0,0,0,7,0,7,Ownership,Private,,
Bowdoin/Geneva (Phase II),Dorchester,02125,10,5,5,2,1,1,8,4,4,Ownership/Rental,Private,,
Bowdoin-Geneva & Dudley FTHB,Dorchester,02125,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
Bowdoin-Geneva & Dudley Rental,Roxbury,02119,3,3,0,0,0,0,3,3,0,Rental,Private,,
Bowen (VUP),Dorchester,02124,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Boylston St Mixed Use,Back Bay,02116,85,85,0,75,75,0,10,10,0,Rental,Private,,
Boylston West (Fenway Triangle Mixed Use),Fenway,02215,172,172,0,159,159,0,13,13,0,Rental,Private,,
Bradford Estates,Dorchester,02124,24,0,24,0,0,0,24,0,24,Ownership,Private,,
Bradlee-Fowler,Dorchester,02124,3,1,2,0,0,0,3,1,2,Ownership/Rental,Private,,
Bradley Properties,South End,02118,70,70,0,0,0,0,70,70,0,Rental,Private,,Y
Brandywyne Village,East Boston,02128,402,402,0,136,136,0,266,266,0,Rental,Private,,Y
Brantley (VUP),Mattapan,02126,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Braxton (VUP),Dorchester,02121,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Brewery Lofts,Mission Hill,02130,79,0,79,71,0,71,8,0,8,Ownership,Private,,
BRIAN J HONAN APARTMENTS,Allston,02134,50,50,0,0,0,0,50,50,0,Rental,Private,,
Brighton Gardens,Brighton,02135,62,62,0,49,49,0,13,13,0,Rental,Private,Y,
Brighton-Allston Apts,Allston,02134,62,62,0,0,0,0,62,62,0,Rental,Private,Y,
Brighton-Allston Elderly,Brighton,02134,80,80,0,1,1,0,79,79,0,Rental,Private,Y,Y
"Bromley Park (2-19, -75, -101)",Jamaica Plain,02130,779,779,0,0,0,0,779,779,0,Rental,Public,Y,
Brook Avenue Cooperative,Roxbury,02119,36,36,0,0,0,0,36,36,0,Cooperative,Private,,
"Brookford, Dalin and Dean St. Homes (Julian Phase 2 HOME AGAIN)",Roxbury,02125,18,1,17,0,0,0,18,1,17,Ownership/Rental,Private,,
Brookside Artists Housing,Jamaica Plain,02130,21,0,21,3,0,3,18,0,18,Ownership,Private,,
Brookview House,Dorchester,02124,8,8,0,0,0,0,8,8,0,Rental,Private,,
Brookview House II,Dorchester,02124,12,12,0,0,0,0,12,12,0,Rental,Private,,
Brookview House III,Dorchester,02124,12,12,0,0,0,0,12,12,0,Rental,Private,,
Brown (VUP),Dorchester,02121,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,
"Brown, J & D (VUP)",Roxbury,02121,1,1,0,0,0,0,1,1,0,Rental,Private,,
Brown-Kaplan Townhomes,Dorchester,02124,60,60,0,0,0,0,53,53,0,Rental,Private,,Y
Brownstone Apartments,South End,02118,75,75,0,0,0,0,75,75,0,Rental,Private,,Y
Brunswick Street,Dorchester,02121,3,3,0,0,0,0,3,3,0,Rental,Private,,
Brush Hill Commons,Jamaica Plain,02130,14,0,14,8,0,8,6,0,6,Ownership,Private,,
Buckminster Hotel,Fenway,02215,18,18,0,16,16,0,2,2,0,Rental,Private,,
Buildable Lots - Codman Square,Dorchester,,6,0,6,1,0,1,5,0,5,Ownership,Private,,
Buildable Lots - Ferndale,Dorchester,02124,12,0,12,3,0,3,9,0,9,Ownership,Private,,
Buildable Lots - Uphams,Dorchester,,6,0,6,0,0,0,6,0,6,Ownership,Private,,
Buildable Lots- 1&2,Dorchester,02124,15,0,15,6,0,6,9,0,9,Ownership,Private,,
Buildable Lots- 3&4,Dorchester,,18,0,18,8,0,8,10,0,10,Ownership,Private,,
Buildable Lots- 5,Dorchester,02124,9,0,9,0,0,0,9,0,9,Ownership,Private,,
Buildable Lots- 6,Mattapan,02126,12,0,12,0,0,0,12,0,12,Ownership,Private,,
Building 104,Charlestown,02129,46,46,0,0,0,0,46,46,0,Rental,Private,,
Builduing 33 at Navy Yard,Charlestown,02129,47,47,0,41,41,0,6,6,0,Rental,Private,,
Burbank Gardens,Fenway,02115,52,52,0,0,0,0,52,52,0,Rental,Private,,Y
Burton Apts (18u),Roxbury,02120,18,18,0,0,0,0,18,18,0,Rental,Private,,Y
Burton-Dudley,Roxbury,02119,16,16,0,0,0,0,16,16,0,Rental,Private,,
Call Carolina Homes,Jamaica Plain,02130,8,0,8,0,0,0,8,0,8,Ownership,Private,,
Callender|Floyd|Stratton NHI 1,Dorchester,02124,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
Callender|Floyd|Stratton NHI 2,Dorchester,02124,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
Callender|Floyd|Stratton NHI 3,Dorchester,02124,1,0,1,0,0,0,1,0,1,Ownership,Private,,
Callender|Floyd|Stratton NHI 4,Mattapan,02124,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
Callender|Floyd|Stratton NHI 5,Mattapan,02124,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
Callender|Floyd|Stratton NHI 6,Dorchester,02124,1,0,1,0,0,0,1,0,1,Ownership,Private,,
Callender|Floyd|Stratton NHI 7,Dorchester,02124,2,1,1,0,0,0,2,1,1,Ownership,Private,,
Callender|Floyd|Stratton NHI 8,Mattapan,02124,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
Callender|Floyd|Stratton NHI 9,Dorchester,02124,1,0,1,0,0,0,1,0,1,Ownership,Private,,
Callender|Tucker NHI 1,Dorchester,02124,2,1,1,0,0,0,2,1,1,Ownership,Private,,
Callender|Tucker NHI 2,Dorchester,02124,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
Callender|Tucker NHI 3,Dorchester,02124,2,1,1,0,0,0,2,1,1,Ownership,Private,,
Callender|Tucker NHI 4,Dorchester,02124,2,1,1,0,0,0,2,1,1,Ownership,Private,,
Camden Street (200-2),Roxbury,02118,72,72,0,0,0,0,72,72,0,Rental,Public,,
Camfield Gardens,Roxbury,02118,102,102,0,0,0,0,102,102,0,Rental,Private,,Y
Capen Green,Dorchester,02124,18,0,18,0,0,0,18,0,18,Ownership,Private,,
Cardella (VUP),South Boston,02127,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
Cardinal Medeiros Manor,Roxbury,02125,54,54,0,0,0,0,54,54,0,Rental,Private,Y,Y
Caritas Centre St,Dorchester,02122,12,12,0,0,0,0,12,12,0,Rental,Private,,
Caritas Centre St. II,Dorchester,02124,11,11,0,0,0,0,11,11,0,Rental,Private,,
Caritas SRO Refinance,Dorchester,02125,24,24,0,0,0,0,24,24,0,Rental,Private,,
Carlton House AKA: Forward Inc. rental,Jamaica Plain,02119,44,44,0,0,0,0,44,44,0,Rental,Private,,
Carlton Wharf,East Boston,02128,30,0,30,0,0,0,30,0,30,Ownership,Private,,
Carol Ave. Limited Coop,Brighton,02135,33,33,0,9,9,0,24,24,0,Rental,Private,,
Carroll (VUP),Roxbury,02125,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Carvalho (VUP),Dorchester,02122,2,2,0,0,0,0,2,2,0,Rental,Private,,
Cary Cottage,Roxbury,02119,10,10,0,0,0,0,10,10,0,Rental,Private,,
Casa Familias Unidas,Roxbury,02119,9,9,0,0,0,0,9,9,0,Rental,Private,,
Casa Maria,North End,02113,84,84,0,0,0,0,84,84,0,Rental,Private,Y,Y
Casa Nueva Vida,Jamaica Plain,02130,7,7,0,0,0,0,7,7,0,Rental,Private,,
Casas Borinquen,South End,02118,36,36,0,0,0,0,36,36,0,Rental,Private,,Y
Cass House,Roxbury,02121,111,111,0,0,0,0,111,111,0,Rental,Private,,
Castle Square,South End,02116,500,500,0,0,0,0,500,500,0,Rental,Private,,Y
Cathedral (2-6),South End,02118,414,414,0,0,0,0,414,414,0,Rental,Public,,
CATHERINE H GALLAGHER COOPERATIVE HOUSING,Jamaica Plain,02130,34,34,0,0,0,0,34,34,0,Rental,Private,,Y
Ceinture,South Boston,02127,54,0,54,44,0,44,10,0,10,Ownership,Private,,
Central Boston Elder Services,Roxbury,02119,57,57,0,0,0,0,57,57,0,Rental,Private,Y,
Centre/Lamartine,Jamaica Plain,02130,30,30,0,0,0,0,30,30,0,Rental,Private,,
Ceylon Field Apts (orig p/o Parkchester 98u),Dorchester,02121,66,66,0,0,0,0,66,66,0,Rental,Private,,
Chaisson (VUP),Dorchester,02125,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Channel View Condominiums,South Boston,02127,18,0,18,16,0,16,2,0,2,Ownership,Private,,
Channel Wharf,South Boston,02127,45,0,45,40,0,40,5,0,5,Ownership,Private,,
Chapman House,East Boston,02128,30,30,0,22,22,0,8,8,0,Rental,Private,,
Charlame Park Homes 2A&B,Roxbury,02121,41,41,0,0,0,0,41,41,0,Rental,Private,Y,Y
Charlame Park Homes I,Roxbury,02119,92,92,0,0,0,0,92,92,0,Rental,Private,,Y
Charles Newtowne Cooperative,Charlestown,02129,262,262,0,0,0,0,262,262,0,Rental,Private,,Y
Charles Street Gardens,Charlestown,02129,21,0,21,14,0,14,7,0,7,Ownership,Private,,
Charlesbank Cooperative Corporation,Mission Hill,02120,276,0,276,274,0,274,2,0,2,Cooperative,Private,,
Charlestown (2-1),Charlestown,02129,1100,1100,0,0,0,0,1100,1100,0,Rental,Public,,
Charlestown Elderly,Charlestown,02129,42,42,0,0,0,0,42,42,0,Rental,Private,Y,
Charlestown Navy Yard Row Houses,Charlestown,02129,50,0,50,34,0,34,16,0,16,Ownership,Private,,
Charlesview Apartments,Brighton,02135,260,240,20,20,20,0,240,220,20,Rental,Private,,Y
Chauncy House,Downtown,02111,87,87,0,0,0,0,87,87,0,Rental,Private,Y,Y
Cheriton Grove,West Roxbury,02132,70,70,0,7,7,0,63,63,0,Rental,Private,Y,Y
Chestnut Avenue (p/o Self Help Apts),Jamaica Plain,02130,3,3,0,0,0,0,3,3,0,Rental,Private,,
Chestnut Hill Gardens,Brighton,02135,36,0,36,32,0,32,4,0,4,Ownership,Private,,
Chestnut Hill Park,Brighton,02135,47,0,47,45,0,45,2,0,2,Ownership,Private,,
Chestnut Hill Waterworks,Brighton,02135,108,0,108,97,0,97,11,0,11,Ownership,Private,,
Cheverus School Apts,East Boston,02128,48,48,0,1,1,0,47,47,0,Rental,Private,Y,
Chinagate Apartments,Chinatown,02111,15,15,0,0,0,0,15,15,0,Rental,Private,,Y
Church St SRO,Dorchester,02122,12,12,0,0,0,0,12,12,0,Rental,Private,,
City Square Elderly Housing,Charlestown,02129,120,120,0,1,1,0,119,119,0,Rental,Private,Y,Y
Clarendon Square,South End,02116,60,0,60,51,0,51,9,0,9,Ownership,Private,,
Clarendon-Warren Condominium,South End,02116,31,0,31,21,0,21,10,0,10,Ownership,Private,,
Cleaves Court Apts,Jamaica Plain,02119,36,36,0,0,0,0,36,36,0,Rental,Private,,
Cliffmont Condominium,Roslindale,02131,90,0,90,89,0,89,1,0,1,Ownership,Private,,
CNY - Harborview Point (Parcel 4),Charlestown,02129,224,224,0,203,203,0,21,21,0,Rental,Private,,
Codman Commons,Dorchester,02124,28,0,28,11,0,11,17,0,17,Ownership,Private,,
Codman Square Apts (2-51),Dorchester,02124,102,102,0,0,0,0,102,102,0,Rental,Public,Y,
Collins (Margaret) Apts (2-26),Jamaica Plain,02130,44,44,0,0,0,0,44,44,0,Rental,Public,Y,
Columbia Road/Lighthouse,Dorchester,02125,4,4,0,0,0,0,4,4,0,Rental,Private,,
Columbia West,Dorchester,02125,57,57,0,0,0,0,57,57,0,Rental,Private,,
Columbia-Wood Apartments,Dorchester,02121,49,49,0,1,1,0,48,48,0,Rental,Private,,Y
Comaven Apartments,Allston,02134,89,89,0,0,0,0,89,89,0,Rental,Private,,Y
Commerce Apartments,Jamaica Plain,02130,60,60,0,0,0,0,60,60,0,Rental,Private,,
"Commonwealth (2-82,-95,-96,-97)",Brighton,02135,394,394,0,0,0,0,394,394,0,Rental,Public,Y,
Commonwealth Housing,Allston,02134,118,118,0,0,0,0,118,118,0,Rental,Private,,Y
Concord Houses,South End,02118,181,181,0,10,10,0,171,171,0,Rental,Private,Y,
Concord St. Elder Housing,South End,02118,40,40,0,0,0,0,40,40,0,Rental,Private,Y,Y
Condor-Havre Garden Apartments,East Boston,02128,7,7,0,0,0,0,7,7,0,Rental,Private,,
Continuum (Barry's Corner),Allston,02134,325,325,0,283,283,0,42,42,0,Rental,Private,,
Conway Court,Roslindale,02131,28,28,0,0,0,0,28,28,0,Rental,Private,,
Coppersmith Village Ownership,East Boston,02128,15,0,15,7,0,7,8,0,8,Ownership,Private,,
Coppersmith Village Rental,East Boston,02128,56,56,0,15,15,0,41,41,0,Rental,Private,,
Cortes Street SRO,Bay Village,02116,41,41,0,1,1,0,40,40,0,Rental,Private,,
Costello Homes,South Boston,02127,15,0,15,7,0,7,8,0,8,Ownership,Private,,
Cote Village Apartments,Mattapan,02126,52,52,0,0,0,0,52,52,0,Rental,Private,,
Cote Village Townhomes,Mattapan,02126,24,24,0,0,0,0,24,24,0,Rental,Private,,
Cottage Brook Apartments,Roxbury,02125,147,147,0,0,0,0,147,147,0,Rental,Private,,Y
Council of Elders,Roxbury,02119,145,145,0,1,1,0,144,144,0,Rental,Private,Y,Y
Court St SRO,Downtown,02108,96,96,0,0,0,0,96,96,0,Rental,Private,,
Courtyard at Cedar Grove,Dorchester,02124,18,0,18,16,0,16,2,0,2,Ownership,Private,,
Covenant House 202,Brighton,02135,242,242,0,1,1,0,241,241,0,Rental,Private,Y,Y
Cox Building,Roxbury,02119,31,31,0,0,0,0,31,31,0,Rental,Private,,Y
Crawford House Apts,Roxbury,02121,9,9,0,0,0,0,9,9,0,Rental,Private,,Y
Crawford Street Lodging House,Roxbury,02121,17,17,0,0,0,0,17,17,0,Rental - Supportive,Private,,
Creighton Commons Condominiums,Jamaica Plain,02130,16,0,16,0,0,0,16,0,16,Ownership,Private,,
Crittenton Hastings House,Brighton,02135,62,62,0,0,0,0,62,62,0,Rental,Private,,
Cummins Towers,Roslindale,02131,239,239,0,59,59,0,180,180,0,Rental,Private,,
D4 Police Station,South End,02136,26,0,26,24,0,24,2,0,2,Ownership,Private,,
Dacia Residence at Beauford Green,Roxbury,02125,29,0,29,0,0,0,29,0,29,Ownership,Private,,
Danube Apartments,Dorchester,02121,65,65,0,0,0,0,65,65,0,Rental,Private,,Y
DaRosa (VUP),Dorchester,02122,1,1,0,0,0,0,1,1,0,Rental,Private,,
Dartmouth Hotel,Charlestown,02129,71,71,0,7,7,0,64,64,0,Rental,Private,,
DARTMOUTH TCB,Roxbury,02118,83,83,0,0,0,0,83,83,0,Rental,Private,,
Davenport Commons,Roxbury,02120,60,0,60,48,0,48,12,0,12,Ownership,Private,,
Davis (VUP),Roxbury,02125,2,2,0,0,0,0,2,2,0,Rental,Private,,
Davison (2-34),Hyde Park,02136,47,47,0,1,1,0,46,46,0,Rental,Public,Y,
DeMarco (VUP),East Boston,02128,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Derne Street Lodging Home,Beacon Hill,02114,18,18,0,0,0,0,18,18,0,Rental,Private,,
Dexter Building,Downtown,02111,58,0,58,57,0,57,1,0,1,Ownership,Private,,
DiGirolamo (VUP),East Boston,02128,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Dillon (VUP),Dorchester,02122,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Dimock-Bragdon Apartments,Jamaica Plain,02119,54,54,0,0,0,0,54,54,0,Rental,Private,Y,Y
Dirigo Spice Building,South Boston,02127,17,0,17,16,0,16,1,0,1,Ownership,Private,,
Disilvio (VUP),East Boston,02128,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Distillery Project Phase I,South Boston,02127,28,28,0,24,24,0,4,4,0,Rental,Private,,
Ditson St Senior Housing,Dorchester,02122,40,40,0,0,0,0,40,40,0,Rental,Private,Y,
DNA Lofts,Dorchester,02125,59,0,59,51,0,51,8,0,8,Ownership,Private,,
Domicilia I & II,Dorchester,02122,10,10,0,0,0,0,10,10,0,Rental,Private,Y,Y
Domicilia III,Jamaica Plain,02130,8,8,0,0,0,0,8,8,0,Rental,Private,,Y
Dorchester House,Dorchester,02122,91,91,0,0,0,0,91,91,0,Rental,Private,Y,Y
Douglas Park,Roxbury,02118,166,166,0,36,36,0,130,130,0,Rental,Private,,
Dover Lofts,South End,02118,16,0,16,14,0,14,2,0,2,Ownership,Private,,
Drayton Homes,Dorchester,02125,12,0,12,0,0,0,12,0,12,Ownership,Private,,
Dudley Greenville,Roxbury,02119,43,43,0,0,0,0,43,43,0,Rental,Private,,
Dudley Street Apts,Roxbury,02119,26,26,0,0,0,0,26,26,0,Rental,Private,,
Dudley Terrace,Dorchester,02125,56,56,0,2,2,0,54,54,0,Rental,Private,,
Dudley Village Phase I (North),Dorchester,02125,24,24,0,0,0,0,24,24,0,Rental,Private,,
Dudley Village Phase II (South),Dorchester,02125,26,26,0,0,0,0,26,26,0,Rental,Private,,
Dumas|Mascot Neighborhood Homes,Dorchester,02124,7,3,4,2,1,1,5,2,3,Ownership/Rental,Private,,
Dunmore Place,Roxbury,02119,6,6,0,0,0,0,6,6,0,Rental,Private,,
Dwight St Apts,South End,02118,9,9,0,0,0,0,9,9,0,Rental,Private,,
Eagle Hill Rehab,East Boston,02128,17,17,0,0,0,0,17,17,0,Rental,Private,,
East Berkeley Street,South End,02118,35,11,24,12,0,12,23,11,12,Ownership/Rental,Private,,
East Canton St Apts,South End,02118,80,80,0,0,0,0,80,80,0,Rental,Private,Y,Y
East Springfield/Northampton Streets,South End,02118,10,0,10,1,0,1,9,0,9,Ownership,Private,,
Ebenezer Homes,South End,02118,32,32,0,0,0,0,32,32,0,Rental,Private,Y,Y
