Project_Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8
Capen Green,dorchester,2124.0,18,0,18,0.0,0.0,0.0,18,0,18.0,Ownership,Private,,
Cardinal Medeiros Manor,roxbury,2125.0,54,54,0,0.0,0.0,0.0,54,54,0.0,Rental,Private,Y,Y
Caritas Centre St,dorchester,2122.0,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,,
Caritas Centre St. II,dorchester,2124.0,11,11,0,0.0,0.0,0.0,11,11,0.0,Rental,Private,,
Caritas SRO Refinance,dorchester,2125.0,24,24,0,0.0,0.0,0.0,24,24,0.0,Rental,Private,,
Carroll (VUP),roxbury,2125.0,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
Carvalho (VUP),dorchester,2122.0,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,
Cary Cottage,roxbury,2119.0,10,10,0,0.0,0.0,0.0,10,10,0.0,Rental,Private,,
Casa Familias Unidas,roxbury,2119.0,9,9,0,0.0,0.0,0.0,9,9,0.0,Rental,Private,,
Cass House,roxbury,2121.0,111,111,0,0.0,0.0,0.0,111,111,0.0,Rental,Private,,
Central Boston Elder Services,roxbury,2119.0,57,57,0,0.0,0.0,0.0,57,57,0.0,Rental,Private,Y,
Ceylon Field Apts (orig p/o Parkchester 98u),dorchester,2121.0,66,66,0,0.0,0.0,0.0,66,66,0.0,Rental,Private,,
Chaisson (VUP),dorchester,2125.0,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
Charlame Park Homes 2A&B,roxbury,2121.0,41,41,0,0.0,0.0,0.0,41,41,0.0,Rental,Private,Y,Y
Charlame Park Homes I,roxbury,2119.0,92,92,0,0.0,0.0,0.0,92,92,0.0,Rental,Private,,Y
Church St SRO,dorchester,2122.0,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,,
Codman Commons,dorchester,2124.0,28,0,28,11.0,0.0,11.0,17,0,17.0,Ownership,Private,,
Codman Square Apts (2-51),dorchester,2124.0,102,102,0,0.0,0.0,0.0,102,102,0.0,Rental,Public,Y,
Columbia Road/Lighthouse,dorchester,2125.0,4,4,0,0.0,0.0,0.0,4,4,0.0,Rental,Private,,
Columbia West,dorchester,2125.0,57,57,0,0.0,0.0,0.0,57,57,0.0,Rental,Private,,
Columbia-Wood Apartments,dorchester,2121.0,49,49,0,1.0,1.0,0.0,48,48,0.0,Rental,Private,,Y
Cottage Brook Apartments,roxbury,2125.0,147,147,0,0.0,0.0,0.0,147,147,0.0,Rental,Private,,Y
Council of Elders,roxbury,2119.0,145,145,0,1.0,1.0,0.0,144,144,0.0,Rental,Private,Y,Y
Courtyard at Cedar Grove,dorchester,2124.0,18,0,18,16.0,0.0,16.0,2,0,2.0,Ownership,Private,,
Cox Building,roxbury,2119.0,31,31,0,0.0,0.0,0.0,31,31,0.0,Rental,Private,,Y
Crawford House Apts,roxbury,2121.0,9,9,0,0.0,0.0,0.0,9,9,0.0,Rental,Private,,Y
Crawford Street Lodging House,roxbury,2121.0,17,17,0,0.0,0.0,0.0,17,17,0.0,Rental - Supportive,Private,,
Dacia Residence at Beauford Green,roxbury,2125.0,29,0,29,0.0,0.0,0.0,29,0,29.0,Ownership,Private,,
Danube Apartments,dorchester,2121.0,65,65,0,0.0,0.0,0.0,65,65,0.0,Rental,Private,,Y
DaRosa (VUP),dorchester,2122.0,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,
DARTMOUTH TCB,roxbury,2118.0,83,83,0,0.0,0.0,0.0,83,83,0.0,Rental,Private,,
Davenport Commons,roxbury,2120.0,60,0,60,48.0,0.0,48.0,12,0,12.0,Ownership,Private,,
Davis (VUP),roxbury,2125.0,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,
Dillon (VUP),dorchester,2122.0,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
Ditson St Senior Housing,dorchester,2122.0,40,40,0,0.0,0.0,0.0,40,40,0.0,Rental,Private,Y,
DNA Lofts,dorchester,2125.0,59,0,59,51.0,0.0,51.0,8,0,8.0,Ownership,Private,,
Domicilia I & II,dorchester,2122.0,10,10,0,0.0,0.0,0.0,10,10,0.0,Rental,Private,Y,Y
Dorchester House,dorchester,2122.0,91,91,0,0.0,0.0,0.0,91,91,0.0,Rental,Private,Y,Y
Douglas Park,roxbury,2118.0,166,166,0,36.0,36.0,0.0,130,130,0.0,Rental,Private,,
Drayton Homes,dorchester,2125.0,12,0,12,0.0,0.0,0.0,12,0,12.0,Ownership,Private,,
Dudley Greenville,roxbury,2119.0,43,43,0,0.0,0.0,0.0,43,43,0.0,Rental,Private,,
Dudley Street Apts,roxbury,2119.0,26,26,0,0.0,0.0,0.0,26,26,0.0,Rental,Private,,
Dudley Terrace,dorchester,2125.0,56,56,0,2.0,2.0,0.0,54,54,0.0,Rental,Private,,
Dudley Village Phase I (North),dorchester,2125.0,24,24,0,0.0,0.0,0.0,24,24,0.0,Rental,Private,,
Dudley Village Phase II (South),dorchester,2125.0,26,26,0,0.0,0.0,0.0,26,26,0.0,Rental,Private,,
Dumas|Mascot Neighborhood Homes,dorchester,2124.0,7,3,4,2.0,1.0,1.0,5,2,3.0,Ownership/Rental,Private,,
Dunmore Place,roxbury,2119.0,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,
Edison Green,dorchester,2125.0,95,95,0,1.0,1.0,0.0,94,94,0.0,Rental,Private,Y,Y
Edson|Peacevale NHI,dorchester,2124.0,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,
Edson|Peacevale NHI (30 Milton),dorchester,2124.0,1,0,1,0.0,0.0,0.0,1,0,1.0,Rental,Private,,
Edward Everett Square,dorchester,2125.0,6,0,6,4.0,0.0,4.0,2,0,2.0,Ownership,Private,,
Egleston Crossing,roxbury,2119.0,64,64,0,1.0,1.0,0.0,63,63,0.0,Rental,Private,,
Elizabeth Stone House - Washington Westminster,roxbury,2119.0,32,32,0,0.0,0.0,0.0,32,32,0.0,Rental,Private,,
Elm Hill/Seaver St Conversion,roxbury,2121.0,18,18,0,15.0,15.0,0.0,3,3,0.0,Rental,Private,,
Epps (VUP),dorchester,2121.0,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
Erie-Ellington Homes,dorchester,2121.0,100,100,0,0.0,0.0,0.0,100,100,0.0,Rental,Private,,
Esperanza Walnut,roxbury,2119.0,42,42,0,0.0,0.0,0.0,42,42,0.0,Rental,Private,,Y
Fairfield Properties,roxbury,2119.0,30,30,0,0.0,0.0,0.0,30,30,0.0,Rental,Private,,
Fensgate Coop,fenway,2115.0,46,46,0,0.0,0.0,0.0,46,46,0.0,Cooperative,Private,,
Fenway Center Phase 1/Buildings 1 & 2,fenway,2215.0,316,316,0,289.0,289.0,0.0,27,27,0.0,Rental,Private,,
Fenway Condominiums,fenway,2115.0,55,55,0,33.0,33.0,0.0,22,22,0.0,Rental,Private,,
Fenway Condos,fenway,2215.0,3,0,3,0.0,0.0,0.0,3,0,3.0,Ownership,Private,,
Fenwick Gardens - Home Again,dorchester,2125.0,15,1,14,0.0,0.0,0.0,15,1,14.0,Ownership/Rental,Private,,
Fernald State School (689-?),dorchester,2125.0,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Public,,
Fieldstone Apartments,dorchester,2124.0,84,84,0,0.0,0.0,0.0,84,84,0.0,Rental,Private,,Y
Forest|Vine NHI 1,roxbury,2119.0,5,2,3,0.0,0.0,0.0,5,2,3.0,Ownership/Rental,Private,,
Forest|Vine NHI 2,roxbury,2119.0,3,0,3,0.0,0.0,0.0,3,0,3.0,Ownership,Private,,
Fort Hill Gardens,roxbury,2119.0,40,40,0,0.0,0.0,0.0,40,40,0.0,Rental,Private,,Y
Foster (VUP),roxbury,2121.0,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
Fountain Hill,roxbury,2119.0,46,0,46,26.0,0.0,26.0,20,0,20.0,Ownership,Private,,
Four Corners/Washington,dorchester,2121.0,35,35,0,0.0,0.0,0.0,35,35,0.0,Rental,Private,,
Fox Hall,dorchester,2125.0,15,15,0,0.0,0.0,0.0,15,15,0.0,Rental,Private,,
"Franklin Field Family (2-89A,90-93)",dorchester,2124.0,346,346,0,0.0,0.0,0.0,346,346,0.0,Rental,Public,Y,
Franklin Field South/Highland Pk Estates,dorchester,2124.0,22,4,18,0.0,0.0,0.0,22,4,18.0,Ownership/Rental,Private,,
Franklin Fld South II - HOME AGAIN,dorchester,2124.0,23,1,22,0.0,0.0,0.0,23,1,22.0,Ownership/Rental,Private,,
Franklin Hill (2-9),dorchester,2124.0,365,365,0,0.0,0.0,0.0,365,365,0.0,Rental,Private,,
Franklin Park Apts,dorchester,2121.0,220,220,0,0.0,0.0,0.0,220,220,0.0,Rental,Private,,Y
Franklin Park I,roxbury,2121.0,270,270,0,0.0,0.0,0.0,270,270,0.0,Rental,Private,,Y
Franklin Park II,roxbury,2121.0,136,136,0,0.0,0.0,0.0,136,136,0.0,Rental,Private,,
Gardner Crawford Thane,roxbury,2119.0,49,49,0,0.0,0.0,0.0,49,49,0.0,Rental,Private,,Y
"GARDNER, CRAWFORD, THANE",roxbury,2119.0,64,64,0,0.0,0.0,0.0,64,64,0.0,Rental,Private,,
Garrison Trotter Phase I - HOME AGAIN,roxbury,2121.0,18,2,16,6.0,0.0,6.0,12,2,10.0,Ownership/Rental,Private,,
Geneva Apartments,dorchester,2121.0,47,47,0,0.0,0.0,0.0,47,47,0.0,Rental,Private,,Y
Geneva Ave 202 - Pine Street,dorchester,2121.0,11,11,0,1.0,1.0,0.0,10,10,0.0,Rental,Private,Y,
Geneva Avenue Elderly Housing,dorchester,2121.0,45,45,0,0.0,0.0,0.0,45,45,0.0,Rental,Private,Y,
Gleason Street MIHI Package 2,dorchester,2121.0,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Private,,
Glenway|Roxton NHI,dorchester,2121.0,6,3,3,0.0,0.0,0.0,6,3,3.0,Ownership/Rental,Private,,
Gomes (VUP),dorchester,2124.0,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,
Grand families,dorchester,2124.0,27,27,0,1.0,1.0,0.0,26,26,0.0,Rental,Private,,
Granite 1B:VBC Apts.-Blue Hill,roxbury,2121.0,30,30,0,0.0,0.0,0.0,30,30,0.0,Rental,Private,,Y
Granite 3-Blue Hill,roxbury,2121.0,148,148,0,0.0,0.0,0.0,148,148,0.0,Rental,Private,,Y
Granite 4B,roxbury,2121.0,141,141,0,0.0,0.0,0.0,141,141,0.0,Rental,Private,,Y
Granite-Dorchester Bay,dorchester,2125.0,134,134,0,0.0,0.0,0.0,134,134,0.0,Rental,Private,,Y
Granite-Fields Corner,dorchester,2121.0,67,67,0,0.0,0.0,0.0,67,67,0.0,Rental,Private,,Y
Granite-La Concha/Nuestra,roxbury,2119.0,97,97,0,0.0,0.0,0.0,97,97,0.0,Rental,Private,,Y
Granite-Lena Park,dorchester,2121.0,143,143,0,0.0,0.0,0.0,143,143,0.0,Rental,Private,,Y
Granite-Quincy-Geneva,dorchester,2121.0,94,94,0,0.0,0.0,0.0,94,94,0.0,Rental,Private,,Y
Granite-Walnut Washington,roxbury,2119.0,65,65,0,0.0,0.0,0.0,65,65,0.0,Rental,Private,,Y
Granite-Washington Columbia I,dorchester,2121.0,326,326,0,0.0,0.0,0.0,326,326,0.0,Rental,Private,,Y
Grant Manor Apartments,roxbury,2118.0,179,179,0,0.0,0.0,0.0,179,179,0.0,Rental,Private,,Y
Green (VUP),dorchester,2121.0,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
Green (VUP) CDFI,dorchester,2121.0,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
Grove Hall Apts,dorchester,2121.0,104,104,0,0.0,0.0,0.0,104,104,0.0,Rental,Private,,Y
Habitat Arrowhead Site (REMS Land),dorchester,2121.0,19,0,19,0.0,0.0,0.0,19,0,19.0,Ownership,Private,,
Habitat Balina Pl,dorchester,2124.0,2,0,2,0.0,0.0,0.0,2,0,2.0,Ownership,Private,,
Habitat Fairland St,roxbury,2119.0,3,0,3,0.0,0.0,0.0,3,0,3.0,Ownership,Private,,
Habitat Regent Street,roxbury,2119.0,6,0,6,0.0,0.0,0.0,6,0,6.0,Ownership,Private,,
Habitat Woodbine St,roxbury,2119.0,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
Habitat-Woodville Street,roxbury,2119.0,4,0,4,0.0,0.0,0.0,4,0,4.0,Ownership,Private,,
Hamilton St Studios/Pine Street,dorchester,2125.0,52,52,0,0.0,0.0,0.0,52,52,0.0,Rental,Private,?,
Hammond Street,roxbury,2120.0,14,14,0,0.0,0.0,0.0,14,14,0.0,Rental,Private,,
Hampton House (2-44B),roxbury,2118.0,78,78,0,0.0,0.0,0.0,78,78,0.0,Rental,Public,Y,
Haraska (VUP),dorchester,2122.0,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
Harbor Point,dorchester,2125.0,350,350,0,0.0,0.0,0.0,350,350,0.0,Rental,Private,Y,Y
Hargrove (VUP),roxbury,2119.0,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,
Hartford Manor,roxbury,2125.0,18,18,0,0.0,0.0,0.0,18,18,0.0,Rental,Private,,
Hartwell Terrace,roxbury,2121.0,17,17,0,0.0,0.0,0.0,17,17,0.0,Rental,Private,Y,Y
Harvard Commons Coop,dorchester,2124.0,45,45,0,0.0,0.0,0.0,45,45,0.0,Rental,Private,,
Hazel Parks,dorchester,2124.0,48,0,48,0.0,0.0,0.0,48,0,48.0,Ownership,Private,,
Hearth at 4-Corners,dorchester,2121.0,54,54,0,0.0,0.0,0.0,54,54,0.0,Rental,Private,,
Hearth at Olmsted Green,dorchester,2124.0,59,59,0,0.0,0.0,0.0,59,59,0.0,Rental,Private,,
Hemenway Apartments,fenway,2115.0,183,183,0,0.0,0.0,0.0,183,183,0.0,Rental,Private,Y,Y
Highland Homes at Fort Hill - Home Again,roxbury,2119.0,18,0,18,4.0,0.0,4.0,14,0,14.0,Ownership,Private,,
Highland House,roxbury,2119.0,14,14,0,0.0,0.0,0.0,14,14,0.0,Rental,Private,,
Highland Park (2-89B),roxbury,2119.0,26,26,0,0.0,0.0,0.0,26,26,0.0,Rental,Public,,
Highland Park Estates - Home Again,roxbury,2119.0,6,1,5,0.0,0.0,0.0,6,1,5.0,Ownership/Rental,Private,,
Highland Park II (Affordable),roxbury,2119.0,11,1,10,3.0,0.0,3.0,8,1,7.0,Ownership/Rental,Private,,
Hoffman (VUP) CDFI,dorchester,2124.0,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
Holgate Apartments (2-29),roxbury,2120.0,81,81,0,1.0,1.0,0.0,80,80,0.0,Rental,Public,Y,
Holmes (VUP),dorchester,2121.0,2,2,0,1.0,1.0,0.0,1,1,0.0,Rental,Private,,
Homestead House,roxbury,2121.0,6,6,0,1.0,1.0,0.0,5,5,0.0,Rental,Private,,
Hope House (SPO) (Production),roxbury,2119.0,102,102,0,0.0,0.0,0.0,102,102,0.0,Rental,Private,,
Hope House II,dorchester,2125.0,24,24,0,0.0,0.0,0.0,24,24,0.0,Rental,Private,,
Hopkins-Capen-Mountain-Fuller,dorchester,2124.0,9,5,4,0.0,0.0,0.0,9,5,4.0,Ownership/Rental,Private,,
Howard Dacia Homes,roxbury,2125.0,26,26,0,0.0,0.0,0.0,26,26,0.0,Rental,Private,,
Howard/Woodward/Dean,roxbury,2125.0,9,0,9,0.0,0.0,0.0,9,0,9.0,Ownership,Private,,
Hub 25,dorchester,2124.0,278,278,0,242.0,242.0,0.0,36,36,0.0,Rental,Private,,
Humboldt Avenue Apts,roxbury,2119.0,20,20,0,0.0,0.0,0.0,20,20,0.0,Rental,Private,,
Humphreys St Housing Homeownership,dorchester,2125.0,7,0,7,0.0,0.0,0.0,7,0,7.0,Ownership,Private,,
Humphreys St Housing Rental,dorchester,2125.0,11,11,0,0.0,0.0,0.0,11,11,0.0,Rental,Private,,
Humphreys Street Homeowner,dorchester,2125.0,7,0,7,0.0,0.0,0.0,7,0,7.0,Ownership,Private,,
Hunt (VUP),dorchester,2121.0,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,
Huntington House,fenway,2115.0,88,88,0,0.0,0.0,0.0,88,88,0.0,Rental,Public,,
Hurley (VUP),dorchester,2122.0,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
Indigo Block (Rental),dorchester,2125.0,80,80,0,0.0,0.0,0.0,80,80,0.0,Rental,Private,,
Infill Apartments,roxbury,2119.0,13,13,0,0.0,0.0,0.0,13,13,0.0,Rental,Private,,
Infill Colaborative,roxbury,2120.0,4,0,4,3.0,0.0,3.0,1,0,1.0,Ownership,Private,,
Infill I,dorchester,2121.0,48,0,48,31.0,0.0,31.0,17,0,17.0,Ownership,Private,,
Infill I (MHFA) ?,dorchester,2124.0,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Public,,
Ingram (VUP),roxbury,2121.0,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,
Intervale St. HOME AGAIN,dorchester,2121.0,15,2,13,0.0,0.0,0.0,15,2,13.0,Ownership/Rental,Private,,
Intervale-Fayston,dorchester,2121.0,5,3,2,0.0,0.0,0.0,5,3,2.0,Ownership/Rental,Private,,
Intervale-Magnolia,dorchester,2121.0,88,88,0,0.0,0.0,0.0,88,88,0.0,Rental,Private,,Y
J.J. Meade (2-38),dorchester,2124.0,40,40,0,1.0,1.0,0.0,39,39,0.0,Rental,Public,Y,
Jackson (VUP),dorchester,2124.0,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
Jackson Commons,roxbury,2119.0,37,37,0,0.0,0.0,0.0,37,37,0.0,Rental,Private,,
Jackson Square Building M,roxbury,2119.0,44,44,0,0.0,0.0,0.0,44,44,0.0,Rental,Private,,
